Bait	PreyGene	#Rep	AvgP	BFDR
KRT8	DNM1L	3	0.2378	0.5556
LMNA	DNM1L	3	0.1197	0.658
MAPRE3	DNM1L	3	0.1471	0.6341
ACTB	PIK3C2A	3	0.0164	0.7877
CTNNA1	PIK3C2A	3	0.0018	0.8502
KRT8	PIK3C2A	3	0.0345	0.7461
LMNA	PIK3C2A	3	0.0006	0.8588
MAPRE3	PIK3C2A	3	0.0085	0.8211
KRT8	PLK4	3	0.3333	0.3843
ACTB	TRAF5	3	0.0015	0.852
CTNNA1	TRAF5	3	0.0012	0.8539
KRT8	TRAF5	3	0.0627	0.7113
ACTB	PLOD2	3	0.0368	0.7423
CTNNA1	PLOD2	3	0.0073	0.8256
KRT8	PLOD2	3	0.0022	0.8481
LMNA	PLOD2	3	0.0428	0.734
MAPRE3	PLOD2	3	0.0075	0.8248
ACTB	EXOC5	3	0.0017	0.8509
KRT8	EXOC5	3	0.02	0.7755
LMNA	ELL2	3	0.0676	0.7061
ACTB	NDUFA4	3	0.139	0.6413
KRT8	NDUFA4	3	0.0381	0.7403
LMNA	NDUFA4	3	0.157	0.6253
MAPRE3	NDUFA4	3	0.038	0.7404
ACTB	PSMD14	3	0.0115	0.8082
KRT8	PSMD14	3	0.7336	0.0405
LMNA	PSMD14	3	0.0036	0.8414
ACTB	BIN1	3	0.0005	0.8597
KRT8	BIN1	3	0.0031	0.8437
MAPRE3	BIN1	3	0	0.8672
ACTB	KPNA3	3	0.2572	0.5363
CTNNA1	KPNA3	3	0.024	0.766
KRT8	KPNA3	3	0.2603	0.5332
LMNA	KPNA3	3	0.27	0.5224
MAPRE3	KPNA3	3	0.1332	0.6462
ACTB	PES1	3	0.0006	0.8588
LMNA	PES1	3	0.0101	0.8144
KRT8	SDCBP	3	0.0195	0.7772
LMNA	SDCBP	3	0.0017	0.8509
KRT8	PITPNM1	3	0.3333	0.3843
KRT8	MPHOSPH10	3	0	0.8672
LMNA	MPHOSPH10	3	0	0.8672
ACTB	NOP56	3	0.0159	0.7897
CTNNA1	NOP56	3	0.0146	0.795
KRT8	NOP56	3	0.0892	0.6844
LMNA	NOP56	3	0.1815	0.6054
MAPRE3	NOP56	3	0.0141	0.7971
ACTB	DDX3X	3	0.2646	0.5288
CTNNA1	DDX3X	3	0.059	0.7152
KRT8	DDX3X	3	0.3276	0.4583
LMNA	DDX3X	3	0.1006	0.675
MAPRE3	DDX3X	3	0.1719	0.6137
LMNA	KPNA4	3	1	0
LMNA	NFIB	3	1	0
KRT8	E2F3	3	0.0035	0.8419
LMNA	E2F3	3	0.0028	0.8451
ACTB	PPP6C	3	0.0079	0.8232
KRT8	PPP6C	3	0.0391	0.7386
LMNA	PPP6C	3	0.28	0.5105
ACTB	PIK3C2B	3	0.2588	0.5346
KRT8	PIK3C2B	3	0.3085	0.479
ACTB	ACACB	3	0.0175	0.7836
CTNNA1	ACACB	3	0.0088	0.8198
KRT8	ACACB	3	0.0224	0.7694
LMNA	ACACB	3	0.0176	0.7832
MAPRE3	ACACB	3	0.005	0.8352
ACTB	SCD	3	0.0036	0.8414
KRT8	SCD	3	0.0049	0.8357
LMNA	SCD	3	0.9499	0.0034
ACTB	ARID1A	3	0	0.8672
KRT8	ARID1A	3	0	0.8672
LMNA	ARID1A	3	0.0024	0.847
LMNA	BHLHE40	3	0.6667	0.0712
ACTB	NCKAP5	3	0.0008	0.8571
KRT8	NCKAP5	3	0.0089	0.8194
MAPRE3	NCKAP5	3	0.6578	0.128
LMNA	NEMP1	3	0.3333	0.3843
ACTB	TXNDC9	3	0.694	0.0554
KRT8	TXNDC9	3	0.012	0.8063
LMNA	TXNDC9	3	0.064	0.7097
MAPRE3	TXNDC9	3	0.0028	0.8451
ACTB	DPYSL4	3	0.0068	0.8277
KRT8	DPYSL4	3	0.3167	0.4693
ACTB	UBFD1	3	0.0333	0.7478
CTNNA1	UBFD1	3	0.0189	0.7791
KRT8	UBFD1	3	0.0093	0.8179
LMNA	UBFD1	3	0.0209	0.773
MAPRE3	UBFD1	3	0.0048	0.8361
ACTB	CIT	3	0.0066	0.8285
KRT8	CIT	3	0.2779	0.5131
MAPRE3	CIT	3	0.0094	0.8174
CTNNA1	UTY	3	0.0034	0.8424
ACTB	CDC42EP2	3	0.0054	0.8334
KRT8	CDC42EP2	3	0.0127	0.8033
MAPRE3	CDC42EP2	3	0.0022	0.8481
ACTB	AP3D1	3	0.0136	0.7993
CTNNA1	AP3D1	3	0.0002	0.8634
KRT8	AP3D1	3	0.0154	0.7921
LMNA	AP3D1	3	0.0146	0.795
MAPRE3	AP3D1	3	0.0066	0.8285
LMNA	CCS	3	0.3151	0.4713
LMNA	ZNF195	3	0.9992	0
ACTB	ABLIM1	3	0.2761	0.5152
CTNNA1	ABLIM1	3	0.0024	0.847
KRT8	ABLIM1	3	0.0198	0.7761
MAPRE3	ABLIM1	3	0.0037	0.8409
ACTB	DVL1	3	0.0059	0.8315
KRT8	DVL1	3	0.3521	0.3434
MAPRE3	DVL1	3	0.0007	0.8579
ACTB	DVL2	3	0.4276	0.2318
CTNNA1	DVL2	3	0.2252	0.567
KRT8	DVL2	3	0.4639	0.2025
LMNA	DVL2	3	0.264	0.5296
MAPRE3	DVL2	3	0.3711	0.3074
ACTB	CHD1	3	0.0012	0.8539
KRT8	CHD1	3	0.001	0.8552
LMNA	CHD1	3	0.0447	0.7317
LMNA	CHD2	3	0.0169	0.7858
LMNA	GOSR2	3	0.0119	0.8066
ACTB	EI24	3	0.3333	0.3843
LMNA	EI24	3	0.3333	0.3843
KRT8	KMT2D	3	0.0034	0.8424
LMNA	KMT2D	3	0.0052	0.8344
KRT8	RGPD8	3	0.2871	0.5023
ACTB	RIOK3	3	0.1421	0.6385
CTNNA1	RIOK3	3	0.1302	0.6499
KRT8	RIOK3	3	0.1167	0.6605
LMNA	RIOK3	3	0.0689	0.7047
MAPRE3	RIOK3	3	0.1234	0.6553
ACTB	IMPA2	3	0.0299	0.753
KRT8	IMPA2	3	0.1012	0.6744
LMNA	IMPA2	3	0.0029	0.8445
