Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
KRT8	ADSL	ADSL	0.579|0.897|1.005	2.481	0.827	3	0.940|1.311|1.366|.|0.223|.|.|.|.	0.002	0.004	0.002	0.004	0.002	-7.133	1.056	0.953	
KRT8	CLIP1	CLIP1	1.277|1.089|1.570	3.937	1.312	3	2.213|1.965|2.099|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-16.143	0.628	0.984	
KRT8	ALDH1B1	ALDH1B1	0.419|0.490|0.391	1.300	0.433	3	0.383|0.536|0.461|0.234|0.474|0.226|0.225|0.214|0.205	0.001	0.002	0.001	0.002	0.001	-7.987	1.418	0.962	
KRT8	POLR2B	POLR2B	3.043|3.150|3.909	10.101	3.367	3	3.257|3.431|4.176|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.285	0.935	0.977	
KRT8	SDHA	SDHA	1.037|1.091|1.519	3.647	1.216	3	0.895|0.712|1.206|0.432|0.505|0.652|0.350|.|.	0.017	0.045	0.017	0.045	0.017	-6.007	1.937	0.859	
KRT8	MAT2A	MAT2A	1.928|1.745|2.514	6.187	2.062	3	1.862|2.288|2.486|1.576|1.933|1.458|1.421|1.450|1.461	0.000	0.001	0.000	0.001	0.000	-9.851	1.189	0.968	
KRT8	CPS1	CPS1	3.184|3.477|3.450	10.112	3.371	3	4.866|3.460|2.993|1.681|1.834|1.575|1.452|1.358|1.363	0.003	0.003	0.003	0.003	0.003	-6.360	1.639	0.951	
KRT8	RRM2	RRM2	1.370|1.402|2.058	4.830	1.610	3	1.699|1.669|1.904|.|.|.|.|.|0.381	0.003	0.007	0.003	0.007	0.003	-6.290	1.344	0.947	
KRT8	HIVEP2	HIVEP2	0.408|0.256|0.770	1.434	0.478	3	0.576|0.838|0.472|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.783	0.974	
KRT8	DNAJA1	DNAJA1	1.116|1.252|1.723	4.092	1.364	3	1.049|1.062|1.621|0.482|0.644|0.326|0.547|0.534|0.427	0.021	0.051	0.021	0.051	0.021	-5.490	2.076	0.830	
KRT8	AKT2	AKT2	0.293|0.378|0.626	1.297	0.432	3	0.379|0.434|0.495|.|.|.|.|.|.	0.000	0.001	0.000	0.001	0.000	-13.365	0.998	0.969	
KRT8	UQCRC1	UQCRC1	1.318|1.483|1.604	4.405	1.468	3	1.324|2.148|3.809|2.013|2.447|1.833|2.044|2.008|1.944	0.000	0.000	0.000	0.000	0.000	-14.101	0.701	0.983	
KRT8	HNRNPH3	HNRNPH3	0.450|1.010|0.466	1.926	0.642	3	1.470|1.459|1.066|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.487	0.984	
KRT8	HNRNPH1	HNRNPH1	1.986|1.906|2.088	5.980	1.993	3	1.883|2.295|2.588|1.148|1.385|1.312|1.129|1.252|1.270	0.000	0.001	0.000	0.001	0.000	-8.117	1.316	0.967	
KRT8	YWHAB	YWHAB	0.957|1.034|0.985	2.976	0.992	3	0.959|1.051|1.395|.|0.311|0.464|.|0.194|.	0.007	0.008	0.007	0.008	0.007	-5.074	1.700	0.931	
KRT8	STIP1	STIP1	1.766|1.884|2.424	6.073	2.024	3	2.254|2.480|2.853|1.271|1.383|1.141|1.069|1.155|1.250	0.001	0.002	0.001	0.002	0.001	-8.852	1.313	0.964	
KRT8	S100A11	S100A11	0.313|0.538|0.520	1.371	0.457	3	0.522|0.701|0.700|.|.|.|0.286|.|.	0.000	0.000	0.000	0.000	0.000	-14.569	0.879	0.977	
KRT8	INPP5B	INPP5B	0.423|0.541|0.571	1.535	0.512	3	0.577|0.569|0.641|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.874	0.860	0.979	
KRT8	PRDX2	PRDX2	1.817|1.477|1.895	5.189	1.730	3	0.867|1.819|2.336|1.052|1.443|1.133|1.136|1.866|1.173	0.000	0.001	0.000	0.001	0.000	-9.253	1.273	0.967	
KRT8	PYCR1	PYCR1	0.399|0.540|0.557	1.496	0.499	3	0.548|0.270|0.297|.|.|.|.|.|.	0.001	0.002	0.001	0.002	0.001	-8.960	1.413	0.961	
KRT8	GBP1	GBP1	0.279|0.289|0.369	0.937	0.312	3	0.517|0.556|0.746|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.522	0.985	
