Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
CSTF2T	64449.973	34332.266	79515.734	0	0	0	159291.7	112799.33	100853.2	0	0	0	0	0	60987.312	11504.553	24865.254	0	8033.045	0	15278.666	0	0	0
DDX47	15426.468	38841.76	17701.797	0	0	0	14462.95	20123.389	42843.82	0	0	11675.146	0	53924.258	0	12648.752	0	0	0	0	0	0	0	0
MAGT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27610.912	0	0	0	0	0	0
TSPYL1	12711.196	0	13366.595	0	0	0	45468.945	21491.77	25564.475	0	0	0	0	0	0	16495.395	28010.223	17288.621	0	0	0	0	0	0
SMG9	216800.97	188991.22	395040.38	0	10138.224	0	438816.2	422254.28	604903.1	0	0	0	313459.97	239273.75	467103.56	17098.824	17802.584	24204.848	106140.805	98325.34	57475.266	0	0	0
C11orf54	0	0	0	24418.81	12510.702	0	3960.4434	15676.525	21804.566	17664.883	34949.836	0	0	0	0	0	19271.387	0	0	0	0	12855.85	21263.91	13276.595
DNTTIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7705.989	0	0	0	0	0	0	0	0
ANAPC1	585226.25	391702.16	622384.56	0	0	17934.602	1018560.75	979635.1	1145864.8	0	0	0	1165360.2	1218927.4	1569427.6	210873.06	490252.03	288799.66	156391.28	106335.03	67735.484	0	0	0
IRF2BPL	0	0	90559	0	0	0	117929.875	153268.61	59743.004	0	0	0	0	0	0	37736.445	40078.64	17551.445	0	0	0	0	0	0
UNC93B1	0	0	0	0	0	0	0	0	28163.15	0	8358.844	21759.871	0	28505.188	0	0	0	0	0	0	0	0	0	0
POLR3F	0	0	9862.549	0	0	0	266820.06	103064.26	182178.8	0	0	0	0	0	0	133216.36	188008.03	106527.33	0	0	0	0	0	0
KIF13A	123674.78	0	160429.83	0	0	0	272365.28	243900.02	203098.72	0	0	0	370678.62	188687.67	216007.48	0	0	0	17619.16	22421.082	7718.1914	0	0	0
ASCC2	78517.02	28785.72	183562.9	0	0	0	44492.273	126205.59	154589.75	0	0	0	23913.186	34937.31	69801.25	0	0	0	12728.726	35204.625	52525.46	0	0	0
RBSN	0	0	0	0	0	0	15490.48	30718.033	29254.863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDT1	0	0	0	0	0	0	0	9258.457	0	0	0	0	0	0	0	26602.293	44769.734	0	0	0	0	0	0	0
EHD4	16263.519	0	16787.652	5989.6816	16516.434	0	77400.34	0	16581.63	0	0	0	29381.771	0	17321.342	26444.076	0	0	0	0	0	0	0	0
VPS33B	21024.172	16884.758	38293.234	0	0	0	30688.385	0	19668.357	0	0	0	0	0	170854.84	0	0	0	0	0	0	0	0	0
VPS16	0	0	0	0	0	0	0	0	0	0	0	0	10864.056	13358.961	0	0	7427.0996	0	0	0	0	0	0	0
TRIOBP	35973.004	0	64584.312	0	0	0	44084.195	32927.86	20995.893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPC1	0	0	0	0	0	0	0	14687.42	65747.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLK	665277.4	422212.16	766530.56	0	0	6092.8564	803439.25	920685.8	865748.8	0	0	0	420955	536629.44	629389.94	0	0	0	67419.41	43988.227	48830.633	0	0	0
PPIL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12836.372	9111.673	0	0	0	0	0	0	0	0
SLC38A1	124311.81	0	0	0	0	0	0	56674.42	55738.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCL3	95896.21	75110.45	91704.555	0	0	0	118478.05	108239.82	120581.914	0	0	0	54427.887	60670.316	99514.664	12456.212	68231.99	12178.4375	14545.798	15137.769	0	0	0	0
RAB3GAP2	1099088.8	1003809.4	1319156.2	14877.963	8598.974	8280.244	1813096.4	1631626.8	1983885.4	0	0	0	1104102	1170490.5	1407783.5	165005.33	267604.6	164766.52	78706.28	49108.297	44676.383	0	0	7393.451
ADNP	364621.66	200619.7	445989.88	0	8977.1045	11747.307	2800886.5	2392485.5	3323776.8	0	0	0	292280.47	104155.39	448749.94	1765783.5	2817823.8	1588346	522798	480848.66	347572.75	29487.031	23082.807	30718.639
DHX36	231094.02	228768.42	359408.06	28486.125	29055.418	0	491007.3	545410.56	686901	15553.736	24991.885	21597.475	362073.47	407093.84	421084.03	276390.38	512011	214656.64	95448.664	63013.812	94688.99	6687.158	0	10093.49
PPA2	175557.6	0	52961.188	36730.613	40132.113	0	101711.65	136795.78	178054.28	52440.637	77568.56	46996.44	5440.9756	0	0	30807.969	8361.774	18166.912	14560.3955	0	0	38022.477	49930.027	20413.648
SPNS1	0	0	0	0	0	0	0	0	14705.209	0	0	0	49216.83	62859.55	67406.9	10520.49	0	0	0	0	0	0	0	0
ZNF106	22273.322	15181.571	53490.844	0	0	0	701362.44	807779	809693.7	0	0	0	58419.914	60368.586	75220.95	640486.4	801681.8	379189.8	81325.62	67217.234	81902.586	0	0	8115.2295
PNN	0	0	0	0	0	0	120543.13	87387.945	155469.38	0	0	0	0	0	16269.559	14047.25	88173.875	0	0	0	0	0	0	0
