Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
MAPRE3	CDC20	CDC20	0.406|0.359|0.406	1.170	0.390	3	0.673|0.801|1.300|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.829	0.439	0.997	
MAPRE3	CDC25C	CDC25C	1.414|1.061|0.973	3.447	1.149	3	2.867|2.816|3.530|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-16.608	0.376	0.997	
MAPRE3	CDC27	CDC27	1.350|1.179|1.297	3.826	1.275	3	1.157|1.424|1.921|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.661	0.869	0.996	
MAPRE3	CDC37	CDC37	1.432|1.388|1.441	4.261	1.420	3	3.081|3.201|2.731|0.648|0.928|.|.|0.776|0.880	0.000	0.000	0.000	0.000	0.000	-8.882	1.008	0.994	
MAPRE3	CDC37L1	CDC37L1	0.581|0.501|0.470	1.551	0.517	3	2.036|2.041|3.127|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.220	0.998	
MAPRE3	CDC42BPA	CDC42BPA	0.419|0.304|0.462	1.184	0.395	3	1.250|1.387|1.804|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.270	0.998	
MAPRE3	CDC42BPB	CDC42BPB	1.263|1.401|1.360	4.024	1.341	3	6.515|6.814|6.860|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.199	0.998	
MAPRE3	CDC42BPG	CDC42BPG	0.310|0.163|.	1.446	0.482	3	0.358|0.269|.|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.093	1.554	0.996	
MAPRE3	CDC42EP2	CDC42EP2	1.368|1.538|1.286	4.193	1.398	3	1.542|1.224|1.806|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.354	0.929	0.995	
MAPRE3	CDC42EP3	CDC42EP3	0.221|.|0.291	1.485	0.495	3	0.850|0.921|1.304|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.491	0.998	
MAPRE3	CDC5L	CDC5L	1.427|1.866|1.852	5.145	1.715	3	4.933|5.025|5.065|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.504	0.342	0.997	
MAPRE3	CDC6	CDC6	0.830|1.016|0.600	2.446	0.815	3	.|.|.|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.088	0.838	0.996	
MAPRE3	CDC7	CDC7	0.369|0.270|0.500	1.138	0.379	3	0.503|0.478|0.992|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.310	0.612	0.997	
MAPRE3	CDC73	CDC73	2.992|1.374|1.071	5.437	1.812	3	5.101|3.000|3.085|.|0.290|.|.|0.272|0.406	0.001	0.002	0.001	0.002	0.001	-7.281	1.692	0.983	
