Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
TOM1	17.67342377	10.17918301	32.01651382	7.067090034	3.868313313	8.213305473	23.48404121	27.62505722	55.65297318	3.982555151	11.39765167	0	18.5534153	21.05492592	28.0229454	3.522995472	5.440507412	5.512681007	3.974001408	4.258313656	5.442577839	4.081331253	5.080770493	3.731020212
H2BC12;H2BC12L;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13	278.5061951	262.0618591	461.4980164	97.59755707	32.06919479	69.6660614	391.5759888	583.0509644	221.3916779	78.13788605	75.22888947	246.5358429	321.1390076	275.9249268	242.417511	479.9399719	1072.200562	296.8510742	119.4575806	29.45840263	89.84853363	27.38547516	65.40448761	36.43680191
PFKFB2	26.90123749	30.7907753	35.55950928	0	15.43937492	0	39.02002716	52.52819824	73.02412415	0	0	0	25.03901863	26.46378708	69.36387634	1.606136084	0	0	11.47954369	0	21.88275146	0	0	0
CCDC22	149.9214172	148.3816986	180.2420502	6.823791027	10.31892204	7.510864258	124.7688599	114.8186874	117.3558502	0	0	0	285.1867981	274.4898071	336.2978821	10.88576412	27.13387108	9.063010216	35.83918381	37.6741333	27.13796616	0	0	0
PQBP1	27.02450562	17.44851494	40.14865875	0	5.102164268	0	129.3617859	123.1733856	109.1071243	0	0	0	40.76233673	27.96068382	48.60527802	134.4429626	135.2006531	74.11746216	24.15554619	6.805832863	17.47686958	0	0	3.494466782
PRAF2	184.4101868	163.3630371	235.5403442	23.51807404	38.93790436	53.1142807	139.2049866	279.3205261	313.4477539	22.22608185	30.32672501	38.8768158	344.4360352	263.5118713	394.9961243	176.4139709	327.0132141	136.9763947	69.42153931	83.32510376	82.16357422	19.35824776	22.35613823	21.95759964
DKC1	27.20556641	30.0392971	48.18359756	9.514057159	8.730118752	10.56012821	112.542305	133.8295288	216.369278	4.717347622	8.390179634	6.755999088	28.4451828	23.41484451	24.5888443	24.43463326	53.65067673	26.59194756	18.68303299	16.63139343	15.31220341	9.399847031	4.295380592	8.161735535
EIF5B	145.4077606	145.1973877	137.5391846	25.18195343	32.84144592	28.51482582	251.5626221	261.7600403	201.423172	8.760241508	8.636383057	18.57062531	135.7274628	110.7408752	151.1455231	40.34511948	68.17593384	31.29285622	58.3997345	67.51049805	57.31020737	16.74380684	20.8468132	21.62880325
EDF1	148.298233	127.4580612	233.1370544	13.98793411	18.55485916	28.87039948	151.5662689	152.220047	109.0886536	0	0	7.762848377	89.97756958	55.79436874	97.83857727	285.7561951	487.4288635	163.7725372	68.16671753	81.41281891	55.56391907	0	3.337702751	3.79175806
KIN	18.30647278	10.56308174	490.8842773	5.934536934	33.33177185	0	547.2766113	558.3894653	668.5919189	5.461692333	9.502313614	24.64570427	1413.671265	7.080591679	612.8146973	208.3804474	462.8963013	277.6247864	6.372724056	453.8779907	4.329456329	6.950862408	5.935392857	11.34586334
