Bait,Prey,log_fold_change,snr,mean_diff,median_diff,replicate_fold_change_sd,bait_cv,bait_control_sd_ratio,zero_or_neg_fc,composite_score,global_cv
ACTB,CORO1C,3.1951534582421734,7.716129426454738,197113.87555555554,215793.86,1.1324444304039534,0.12364607725652273,0.954069135184751,1,1.2559601102258846,1.4179037369325609
ACTB,PIP,4.592374126918243,102.87497209196063,10393.043555555554,0.0,822.9997767356851,1.4142135623730951,290.9743615224088,1,1.2469182359311775,4.045928394600892
ACTB,MAP1B,0.67506809625182,1.207132682736882,155414.11111111118,386365.1,0.22473619800312886,0.14075375940492033,0.1699084631957631,1,1.2410275595781497,0.9052562428460224
ACTB,ENAH,3.9573618428382713,10.959566067781171,178011.43333333335,182391.0,1.9729698500511963,0.12700947177243366,1.3919686971239744,1,1.2256591096781244,1.8966568088231663
ACTB,MYCLP1,4.565461251418913,99.10750990225031,10011.776888888888,0.0,792.8600792180024,1.4142135623730954,280.3183692735765,1,1.2129842277727818,4.79583152331272
ACTB,TMOD3,2.585937666857325,4.458763348137366,197763.60100000002,221391.83,0.9592262094026662,0.1597632752924581,0.7123466362523923,1,1.1964628097364283,1.2198894115233259
ACTB,CFTR,4.549871657012849,96.98860062909012,9797.343555555555,0.0,775.9088050327207,1.4142135623730951,274.3251888104939,1,1.1938652688526952,4.143161434712646
ACTB,SLC8A2,7.624292251837459,69.75826139338632,3511.873555555556,4636.12,142.71714608142122,0.7233283898567157,50.45813089288202,1,1.1915611272503392,1.369260378153989
ACTB,COL1A2,4.536095813845552,95.15394733334904,9611.67688888889,0.0,761.2315786667922,1.414213562373095,269.1360056643148,1,1.1772905262388704,4.529917337209861
ACTB,ATL1,4.5216060562644635,93.26165232723906,9420.17688888889,0.0,746.0932186179124,1.4142135623730947,263.7837871410116,1,1.1601741440434594,4.795831523312719
ACTB,PLCH1,7.516984940721116,64.75792536418605,3258.8568888888885,1925.05,188.14320773289435,1.0271896240803162,66.51866901105944,1,1.1365707348353944,3.5271307228901194
ACTB,VCL,3.309641571553709,7.411796316721723,169231.30666666664,187477.92,0.6361067825171552,0.06415478832133517,0.47550222378013385,1,1.1359286167031841,1.3583492161878585
