Protein	BirA_1	BirA_2	BirA_3	BirA_4	PSMC2_1	PSMC2_2	PSMC2_3	PSMC2_4	PSMA4_1	PSMA4_2	PSMA4_3	PSMA4_4
Q99873	234772.6875	213749.8438	190357.6406	260035.2344	469933.5625	563823.875	557634.1875	517078.0625	126967.0547	776395.25	630023.6875	357955.1563
Q99933	46767.48438	49631.51563	88240.71094	76540.64063	128871.3359	144478.2813	146079.4531	120853.1719	82844.26563	130621.9375	152738.0625	109482.3594
Q99959	330894.5	476549.6875	390558.3125	319411.5	133496.5938	208211.4063	162842.5625	215361.5625	141071.6563	245627.2188	206878.75	127930.4844
Q99961	105537.7578	98585.3125	106098.5625	91942.75	168872.0938	198750.0781	161687.9219	202236.4688	167326.2813	202664.0938	195796.3125	183991.1875
Q99962	3068.985596	10445.45703	51406.22266	9008.37207	64984.13672	67914.01563	66682.125	50134.12891	27423.61523	56732.39063	60894.81641	53050.41406
Q99986	136003.5	131989.5313	144604.8438	106778.6016	48294.39063	49227.67969	37070.27344	37248.58984	62828.26953	49000.35938	37624.69141	74404.65625
Q99996	104118.2813	59315.17578	76304.5	91861.71875	82654.14063	105133	70502.125	89402.88281	225951.7656	71851.89844	74687.48438	176467.4688
Q9BPU6	149502.2813	152215.5938	108412.8125	123610.7188	282789.7188	272636.4063	323942.5625	289534.9375	207955.625	254786.6563	232282.1094	157133.9375
Q9BPW8	149379.875	260692.25	197711.6406	165685.1094	83142.22656	77059.04688	41950.72656	80667.67969	64095.71484	57983.44141	60178.66406	81820.25781
Q9BPX3	65953.01563	75518.19531	93966.95313	90668.375	89368.04688	136843.0313	92242.01563	117297.5781	107070.5234	124643.0625	128279.25	123256.4844
Q9BPX5	103437.5	77090.84375	58963.75	77021.67969	124409.9531	159412.2813	173709.7656	167843.7656	358529.8438	295802.3438	15247.39941	49633.66016
Q9BPX6	60517.50391	89193.35938	71570.22656	57433.11719	133243.5	116033.4063	137970.2344	130613.3594	162650.4375	75663.92188	118592.3594	100657.6563
Q9BPZ7	69315.10156	87765.04688	68158.76563	77184.78125	120052.7656	102695.8125	146730.4063	124301.375	107313.3359	129678.1563	100789.9844	54808.92969
Q9BQ24	105868.6094	186027.5625	122494.125	113601.0781	50979.32813	70377.8125	61798.63281	69700.11719	141274.3438	78229.14844	16223.57617	29021.50781
