Bait	PreyGene	#Rep	#Pep	AvgP	BFDR
LMNA	CBX4	3	6	0.9195	0.0402
MAPRE3	CBX4	3	6	0.8525	0.0602
ACTB	CBX5	3	5	0.6469	0.1334
CTNNA1	CBX5	3	5	0.1791	0.3915
KRT8	CBX5	3	5	0.5766	0.1658
LMNA	CBX5	3	5	0.8488	0.0616
MAPRE3	CBX5	3	5	0.1860	0.3872
LMNA	CBX8	3	2	0.4383	0.2339
ACTB	CC2D1A	3	21	0.9668	0.0217
CTNNA1	CC2D1A	3	21	0.4573	0.2241
KRT8	CC2D1A	3	21	0.9762	0.0140
LMNA	CC2D1A	3	21	0.2872	0.3251
MAPRE3	CC2D1A	3	21	0.9634	0.0241
ACTB	CC2D1B	3	7	0.3364	0.2859
CTNNA1	CC2D1B	3	7	0.0036	0.5262
KRT8	CC2D1B	3	7	0.3581	0.2761
LMNA	CC2D1B	3	7	0.0792	0.4674
MAPRE3	CC2D1B	3	7	0.0952	0.4535
ACTB	CC2D2A	3	13	0.7394	0.0964
CTNNA1	CC2D2A	3	13	0.0361	0.4999
KRT8	CC2D2A	3	13	0.8910	0.0488
LMNA	CC2D2A	3	13	0.0439	0.4940
MAPRE3	CC2D2A	3	13	0.3913	0.2582
ACTB	CCAR1	3	11	0.0736	0.4718
KRT8	CCAR1	3	11	0.0108	0.5190
LMNA	CCAR1	3	11	0.4292	0.2384
MAPRE3	CCAR1	3	11	0.0002	0.5326
ACTB	CCAR2	3	15	0.9194	0.0402
CTNNA1	CCAR2	3	15	0.1578	0.4076
KRT8	CCAR2	3	15	0.9609	0.0255
LMNA	CCAR2	3	15	0.9670	0.0216
MAPRE3	CCAR2	3	15	0.9441	0.0328
ACTB	CCDC102A	3	10	0.9014	0.0458
CTNNA1	CCDC102A	3	10	0.1042	0.4464
KRT8	CCDC102A	3	10	0.9471	0.0317
LMNA	CCDC102A	3	10	0.2421	0.3513
MAPRE3	CCDC102A	3	10	0.6999	0.1096
CTNNA1	CCDC120	3	1	0.0035	0.5264
KRT8	CCDC120	3	1	0.3141	0.3077
ACTB	CCDC124	3	5	0.7701	0.0863
KRT8	CCDC124	3	5	0.4812	0.2119
MAPRE3	CCDC124	3	5	0.4679	0.2184
ACTB	CCDC137	3	1	0.2580	0.3415
KRT8	CCDC137	3	1	0.4125	0.2479
LMNA	CCDC137	3	1	0.6706	0.1216
ACTB	CCDC138	3	7	0.5072	0.1968
KRT8	CCDC138	3	7	0.9706	0.0190
MAPRE3	CCDC138	3	7	0.5266	0.1879
ACTB	CCDC14	3	15	0.1131	0.4375
KRT8	CCDC14	3	15	0.9920	0.0017
MAPRE3	CCDC14	3	15	0.3843	0.2621
ACTB	CCDC152	3	1	0.0584	0.4834
KRT8	CCDC152	3	1	0.1737	0.3947
LMNA	CCDC152	3	1	0.3188	0.3040
ACTB	CCDC174	3	10	0.1565	0.4085
LMNA	CCDC174	3	10	0.9627	0.0244
MAPRE3	CCDC174	3	10	0.1961	0.3806
ACTB	CCDC18	3	34	0.8205	0.0703
KRT8	CCDC18	3	34	0.9890	0.0032
LMNA	CCDC18	3	34	0.0311	0.5035
MAPRE3	CCDC18	3	34	0.5626	0.1715
ACTB	CCDC186	3	8	0.7870	0.0810
CTNNA1	CCDC186	3	8	0.1312	0.4252
KRT8	CCDC186	3	8	0.6782	0.1188
MAPRE3	CCDC186	3	8	0.2077	0.3728
ACTB	CCDC22	3	21	0.9722	0.0177
CTNNA1	CCDC22	3	21	0.0745	0.4711
KRT8	CCDC22	3	21	0.9890	0.0032
LMNA	CCDC22	3	21	0.0515	0.4885
MAPRE3	CCDC22	3	21	0.3287	0.2977
CTNNA1	CCDC25	3	1	0.0018	0.5286
KRT8	CCDC25	3	1	0.4786	0.2130
LMNA	CCDC25	3	1	0.2198	0.3640
MAPRE3	CCDC25	3	1	0.0021	0.5282
ACTB	CCDC34	3	2	0.3903	0.2587
KRT8	CCDC34	3	2	0.4564	0.2246
LMNA	CCDC34	3	2	0.4471	0.2290
MAPRE3	CCDC34	3	2	0.4585	0.2233
ACTB	CCDC43	3	3	0.5660	0.1700
CTNNA1	CCDC43	3	3	0.0526	0.4875
KRT8	CCDC43	3	3	0.6057	0.1521
LMNA	CCDC43	3	3	0.0767	0.4695
MAPRE3	CCDC43	3	3	0.2689	0.3355
ACTB	CCDC47	3	6	0.0826	0.4647
KRT8	CCDC47	3	6	0.1666	0.4005
LMNA	CCDC47	3	6	0.9692	0.0200
ACTB	CCDC50	3	8	0.8917	0.0486
CTNNA1	CCDC50	3	8	0.3151	0.3066
KRT8	CCDC50	3	8	0.9775	0.0127
LMNA	CCDC50	3	8	0.1596	0.4061
MAPRE3	CCDC50	3	8	0.5452	0.1788
KRT8	CCDC57	3	2	0.3332	0.2932
LMNA	CCDC57	3	2	0.1663	0.4013
ACTB	CCDC6	3	12	0.9694	0.0199
CTNNA1	CCDC6	3	12	0.2181	0.3653
KRT8	CCDC6	3	12	0.9653	0.0229
LMNA	CCDC6	3	12	0.5601	0.1726
MAPRE3	CCDC6	3	12	0.4305	0.2375
ACTB	CCDC66	3	3	0.0678	0.4758
KRT8	CCDC66	3	3	0.1703	0.3972
LMNA	CCDC66	3	3	0.0000	0.5341
MAPRE3	CCDC66	3	3	0.2288	0.3587
LMNA	CCDC71L	3	1	0.1915	0.3836
KRT8	CCDC77	3	8	0.9763	0.0139
MAPRE3	CCDC77	3	8	0.3033	0.3148
ACTB	CCDC85C	3	5	0.6005	0.1546
CTNNA1	CCDC85C	3	5	0.3034	0.3147
KRT8	CCDC85C	3	5	0.9093	0.0432
MAPRE3	CCDC85C	3	5	0.3146	0.3072
ACTB	CCDC88A	3	58	0.9604	0.0258
CTNNA1	CCDC88A	3	58	0.4849	0.2100
KRT8	CCDC88A	3	58	0.9733	0.0166
LMNA	CCDC88A	3	58	0.0239	0.5087
MAPRE3	CCDC88A	3	58	0.8986	0.0466
ACTB	CCDC88C	3	22	0.4362	0.2348
CTNNA1	CCDC88C	3	22	0.4824	0.2114
KRT8	CCDC88C	3	22	0.7290	0.0998
MAPRE3	CCDC88C	3	22	0.2138	0.3682
ACTB	CCDC93	3	7	0.9899	0.0027
KRT8	CCDC93	3	7	0.0827	0.4646
KRT8	CCDC97	3	6	0.0566	0.4848
LMNA	CCDC97	3	6	0.7942	0.0789
ACTB	CCHCR1	3	10	0.3609	0.2747
KRT8	CCHCR1	3	10	0.9537	0.0291
LMNA	CCHCR1	3	10	0.0648	0.4782
MAPRE3	CCHCR1	3	10	0.1390	0.4202
ACTB	CCNA2	3	2	0.0707	0.4739
LMNA	CCNA2	3	2	0.5199	0.1910
MAPRE3	CCNA2	3	2	0.0424	0.4951
ACTB	CCNB1	3	13	0.7770	0.0841
CTNNA1	CCNB1	3	13	0.4389	0.2335
KRT8	CCNB1	3	13	0.9137	0.0419
LMNA	CCNB1	3	13	0.3884	0.2598
MAPRE3	CCNB1	3	13	0.9490	0.0310
ACTB	CCNB2	3	3	0.3576	0.2762
KRT8	CCNB2	3	3	0.5616	0.1719
MAPRE3	CCNB2	3	3	0.3298	0.2969
LMNA	CCNE2	3	2	0.3471	0.2813
LMNA	CCNK	3	3	0.2684	0.3359
ACTB	CCNT1	3	15	0.2981	0.3184
KRT8	CCNT1	3	15	0.3599	0.2752
LMNA	CCNT1	3	15	0.9699	0.0195
MAPRE3	CCNT1	3	15	0.7388	0.0966
ACTB	CCP110	3	16	0.7299	0.0995
CTNNA1	CCP110	3	16	0.1243	0.4300
KRT8	CCP110	3	16	0.9746	0.0154
LMNA	CCP110	3	16	0.0715	0.4733
MAPRE3	CCP110	3	16	0.9570	0.0276
ACTB	CCS	3	1	0.4264	0.2402
CTNNA1	CCS	3	1	0.1715	0.3962
KRT8	CCS	3	1	0.2129	0.3690
LMNA	CCS	3	1	0.3726	0.2685
MAPRE3	CCS	3	1	0.0719	0.4730
KRT8	CCSER2	3	8	0.5000	0.2009
MAPRE3	CCSER2	3	8	1.0000	0.0000
ACTB	CCT2	3	29	0.9707	0.0189
CTNNA1	CCT2	3	29	0.4767	0.2142
KRT8	CCT2	3	29	0.9200	0.0400
LMNA	CCT2	3	29	0.6284	0.1417
MAPRE3	CCT2	3	29	0.4387	0.2337
ACTB	CCT3	3	14	0.9387	0.0345
CTNNA1	CCT3	3	14	0.4419	0.2319
KRT8	CCT3	3	14	0.9484	0.0312
LMNA	CCT3	3	14	0.7972	0.0778
MAPRE3	CCT3	3	14	0.5424	0.1803
ACTB	CCT4	3	12	0.9284	0.0378
CTNNA1	CCT4	3	12	0.3847	0.2619
KRT8	CCT4	3	12	0.9341	0.0359
LMNA	CCT4	3	12	0.7691	0.0866
MAPRE3	CCT4	3	12	0.4535	0.2259
ACTB	CCT5	3	22	0.9464	0.0320
CTNNA1	CCT5	3	22	0.5541	0.1753
KRT8	CCT5	3	22	0.9478	0.0316
LMNA	CCT5	3	22	0.6446	0.1345
MAPRE3	CCT5	3	22	0.5798	0.1644
ACTB	CCT6A	3	18	0.9733	0.0166
CTNNA1	CCT6A	3	18	0.7872	0.0809
KRT8	CCT6A	3	18	0.9516	0.0301
LMNA	CCT6A	3	18	0.8964	0.0471
MAPRE3	CCT6A	3	18	0.8494	0.0613
LMNA	CCT6B	3	1	0.6514	0.1312
ACTB	CCT7	3	18	0.9419	0.0335
CTNNA1	CCT7	3	18	0.7121	0.1052
KRT8	CCT7	3	18	0.9136	0.0419
LMNA	CCT7	3	18	0.8351	0.0653
MAPRE3	CCT7	3	18	0.5802	0.1641
ACTB	CCT8	3	42	0.9737	0.0163
CTNNA1	CCT8	3	42	0.8251	0.0686
KRT8	CCT8	3	42	0.9456	0.0323
LMNA	CCT8	3	42	0.8906	0.0490
MAPRE3	CCT8	3	42	0.8877	0.0499
ACTB	CCZ1;CCZ1B	3	18	0.8896	0.0493
CTNNA1	CCZ1;CCZ1B	3	18	0.0917	0.4565
KRT8	CCZ1;CCZ1B	3	18	0.9716	0.0183
LMNA	CCZ1;CCZ1B	3	18	0.7870	0.0810
MAPRE3	CCZ1;CCZ1B	3	18	0.5148	0.1936
ACTB	CD2AP	3	28	0.9658	0.0225
CTNNA1	CD2AP	3	28	0.7815	0.0830
KRT8	CD2AP	3	28	0.9551	0.0284
LMNA	CD2AP	3	28	0.5221	0.1899
MAPRE3	CD2AP	3	28	0.9296	0.0374
LMNA	CD2BP2	3	6	0.9044	0.0448
ACTB	CD44	3	3	0.3518	0.2788
CTNNA1	CD44	3	3	0.0311	0.5035
KRT8	CD44	3	3	0.1236	0.4305
MAPRE3	CD44	3	3	0.0000	0.5341
ACTB	CDA	3	2	0.1623	0.4044
CTNNA1	CDA	3	2	0.3196	0.3036
KRT8	CDA	3	2	0.3228	0.3012
LMNA	CDA	3	2	0.5684	0.1689
MAPRE3	CDA	3	2	0.3086	0.3115
ACTB	CDC123	3	8	0.9182	0.0405
CTNNA1	CDC123	3	8	0.2249	0.3610
KRT8	CDC123	3	8	0.9349	0.0357
LMNA	CDC123	3	8	0.5067	0.1970
MAPRE3	CDC123	3	8	0.3638	0.2733
ACTB	CDC16	3	12	0.8940	0.0478
CTNNA1	CDC16	3	12	0.1493	0.4136
KRT8	CDC16	3	12	0.9754	0.0147
LMNA	CDC16	3	12	0.8994	0.0464
MAPRE3	CDC16	3	12	0.6504	0.1316
ACTB	CDC20	3	4	0.3476	0.2811
KRT8	CDC20	3	4	0.6677	0.1227
LMNA	CDC20	3	4	0.2605	0.3402
MAPRE3	CDC20	3	4	0.0841	0.4632
ACTB	CDC23	3	4	0.1216	0.4320
KRT8	CDC23	3	4	0.4633	0.2208
LMNA	CDC23	3	4	0.0017	0.5289
MAPRE3	CDC23	3	4	0.0079	0.5220
KRT8	CDC25B	3	4	0.1092	0.4410
LMNA	CDC25B	3	4	0.6475	0.1330
ACTB	CDC25C	3	9	0.8448	0.0628
CTNNA1	CDC25C	3	9	0.2270	0.3596
KRT8	CDC25C	3	9	0.9487	0.0311
LMNA	CDC25C	3	9	0.3182	0.3044
MAPRE3	CDC25C	3	9	0.5619	0.1716
ACTB	CDC27	3	14	0.3808	0.2643
CTNNA1	CDC27	3	14	0.0130	0.5173
KRT8	CDC27	3	14	0.6211	0.1450
LMNA	CDC27	3	14	0.5536	0.1757
MAPRE3	CDC27	3	14	0.9593	0.0265
ACTB	CDC37	3	9	0.9182	0.0405
CTNNA1	CDC37	3	9	0.2857	0.3263
KRT8	CDC37	3	9	0.9441	0.0328
LMNA	CDC37	3	9	0.9048	0.0447
MAPRE3	CDC37	3	9	0.5600	0.1727
ACTB	CDC37L1	3	3	0.6301	0.1408
KRT8	CDC37L1	3	3	0.6181	0.1462
LMNA	CDC37L1	3	3	0.1629	0.4038
MAPRE3	CDC37L1	3	3	0.1172	0.4349
LMNA	CDC40	3	10	0.9485	0.0312
ACTB	CDC42BPA	3	24	0.9580	0.0272
CTNNA1	CDC42BPA	3	24	0.3006	0.3169
KRT8	CDC42BPA	3	24	0.9716	0.0183
LMNA	CDC42BPA	3	24	0.1556	0.4093
MAPRE3	CDC42BPA	3	24	0.3307	0.2962
ACTB	CDC42BPB	3	25	0.8924	0.0483
CTNNA1	CDC42BPB	3	25	0.0472	0.4913
KRT8	CDC42BPB	3	25	0.9708	0.0188
LMNA	CDC42BPB	3	25	0.1710	0.3966
MAPRE3	CDC42BPB	3	25	0.2325	0.3564
ACTB	CDC42BPG	3	2	0.0980	0.4517
KRT8	CDC42BPG	3	2	0.5441	0.1795
MAPRE3	CDC42BPG	3	2	0.1041	0.4465
ACTB	CDC42EP1	3	6	0.5334	0.1848
CTNNA1	CDC42EP1	3	6	0.2199	0.3638
KRT8	CDC42EP1	3	6	0.3491	0.2802
LMNA	CDC42EP1	3	6	0.0892	0.4585
MAPRE3	CDC42EP1	3	6	0.0056	0.5242
ACTB	CDC42EP2	3	3	0.4442	0.2307
CTNNA1	CDC42EP2	3	3	0.1347	0.4229
KRT8	CDC42EP2	3	3	0.8421	0.0634
LMNA	CDC42EP2	3	3	0.3793	0.2650
MAPRE3	CDC42EP2	3	3	0.6884	0.1148
ACTB	CDC42EP3	3	4	0.2571	0.3422
CTNNA1	CDC42EP3	3	4	0.0176	0.5140
KRT8	CDC42EP3	3	4	0.4484	0.2284
LMNA	CDC42EP3	3	4	0.0053	0.5245
MAPRE3	CDC42EP3	3	4	0.0148	0.5160
ACTB	CDC42EP4	3	3	0.2670	0.3365
KRT8	CDC42EP4	3	3	0.0350	0.5006
LMNA	CDC42EP4	3	3	0.0243	0.5084
MAPRE3	CDC42EP4	3	3	0.0046	0.5253
ACTB	CDC45	3	8	0.0833	0.4638
KRT8	CDC45	3	8	1.0000	0.0000
LMNA	CDC45	3	8	0.9167	0.0411
ACTB	CDC5L	3	23	0.3423	0.2834
CTNNA1	CDC5L	3	23	0.0110	0.5188
KRT8	CDC5L	3	23	0.2978	0.3188
LMNA	CDC5L	3	23	0.8563	0.0590
MAPRE3	CDC5L	3	23	0.2294	0.3583
MAPRE3	CDC6	3	2	0.6667	0.1232
LMNA	CDC7	3	4	0.7168	0.1035
MAPRE3	CDC7	3	4	0.2821	0.3283
ACTB	CDC73	3	21	0.3012	0.3164
CTNNA1	CDC73	3	21	0.1029	0.4479
KRT8	CDC73	3	21	0.3212	0.3024
LMNA	CDC73	3	21	0.9623	0.0247
MAPRE3	CDC73	3	21	0.6286	0.1416
ACTB	CDCA2	3	24	0.5206	0.1906
CTNNA1	CDCA2	3	24	0.0347	0.5008
KRT8	CDCA2	3	24	0.2332	0.3560
LMNA	CDCA2	3	24	0.9507	0.0304
MAPRE3	CDCA2	3	24	0.3287	0.2977
ACTB	CDCA5	3	3	0.2210	0.3634
CTNNA1	CDCA5	3	3	0.0001	0.5332
KRT8	CDCA5	3	3	0.1985	0.3790
LMNA	CDCA5	3	3	0.6428	0.1356
MAPRE3	CDCA5	3	3	0.2425	0.3511
ACTB	CDCA7L	3	5	0.0339	0.5014
CTNNA1	CDCA7L	3	5	0.0024	0.5279
KRT8	CDCA7L	3	5	0.0126	0.5176
LMNA	CDCA7L	3	5	0.6727	0.1207
MAPRE3	CDCA7L	3	5	0.0029	0.5270
ACTB	CDCA8	3	9	0.8788	0.0526
CTNNA1	CDCA8	3	9	0.0950	0.4537
KRT8	CDCA8	3	9	0.9465	0.0320
LMNA	CDCA8	3	9	0.9751	0.0150
MAPRE3	CDCA8	3	9	0.9695	0.0198
CTNNA1	CDH2	3	2	0.9998	0.0000
ACTB	CDIPT	3	4	0.7945	0.0788
CTNNA1	CDIPT	3	4	0.2668	0.3365
KRT8	CDIPT	3	4	0.9533	0.0293
LMNA	CDIPT	3	4	0.7604	0.0894
MAPRE3	CDIPT	3	4	0.5768	0.1658
ACTB	CDK1	3	15	0.9072	0.0438
CTNNA1	CDK1	3	15	0.0881	0.4597
KRT8	CDK1	3	15	0.9686	0.0205
LMNA	CDK1	3	15	0.8089	0.0740
MAPRE3	CDK1	3	15	0.6564	0.1292
LMNA	CDK11A	3	2	0.1734	0.3950
ACTB	CDK11B	3	18	0.4597	0.2225
CTNNA1	CDK11B	3	18	0.0164	0.5147
KRT8	CDK11B	3	18	0.2989	0.3180
LMNA	CDK11B	3	18	0.9718	0.0181
MAPRE3	CDK11B	3	18	0.3114	0.3096
ACTB	CDK12	3	11	0.0349	0.5006
KRT8	CDK12	3	11	0.0099	0.5200
LMNA	CDK12	3	11	0.6380	0.1375
ACTB	CDK13	3	33	0.3663	0.2719
CTNNA1	CDK13	3	33	0.0308	0.5038
KRT8	CDK13	3	33	0.2865	0.3256
LMNA	CDK13	3	33	0.9602	0.0260
MAPRE3	CDK13	3	33	0.1815	0.3901
ACTB	CDK16	3	2	0.4404	0.2328
KRT8	CDK16	3	2	0.3557	0.2768
MAPRE3	CDK16	3	2	0.0015	0.5293
ACTB	CDK17	3	7	0.6655	0.1266
CTNNA1	CDK17	3	7	0.0127	0.5176
KRT8	CDK17	3	7	0.6533	0.1304
LMNA	CDK17	3	7	0.0534	0.4869
MAPRE3	CDK17	3	7	0.0881	0.4597
ACTB	CDK2	3	7	0.7965	0.0782
CTNNA1	CDK2	3	7	0.0605	0.4818
KRT8	CDK2	3	7	0.9764	0.0137
LMNA	CDK2	3	7	0.7279	0.1001
MAPRE3	CDK2	3	7	0.3261	0.2990
ACTB	CDK4	3	5	0.4448	0.2303
CTNNA1	CDK4	3	5	0.1490	0.4137
KRT8	CDK4	3	5	0.5017	0.1997
LMNA	CDK4	3	5	0.3344	0.2866
ACTB	CDK5	3	3	0.0014	0.5295
CTNNA1	CDK5	3	3	0.0008	0.5308
KRT8	CDK5	3	3	0.3536	0.2778
LMNA	CDK5	3	3	0.0646	0.4784
MAPRE3	CDK5	3	3	0.0027	0.5273
ACTB	CDK5RAP1	3	7	0.1186	0.4339
CTNNA1	CDK5RAP1	3	7	0.0017	0.5289
KRT8	CDK5RAP1	3	7	0.8750	0.0538
LMNA	CDK5RAP1	3	7	0.1177	0.4345
ACTB	CDK5RAP2	3	80	0.9025	0.0454
CTNNA1	CDK5RAP2	3	80	0.1974	0.3797
KRT8	CDK5RAP2	3	80	0.9765	0.0136
LMNA	CDK5RAP2	3	80	0.1045	0.4461
MAPRE3	CDK5RAP2	3	80	0.9779	0.0121
ACTB	CDK5RAP3	3	2	0.1164	0.4356
KRT8	CDK5RAP3	3	2	0.0658	0.4775
LMNA	CDK5RAP3	3	2	0.0222	0.5101
ACTB	CDK6	3	4	0.0966	0.4526
CTNNA1	CDK6	3	4	0.0285	0.5054
KRT8	CDK6	3	4	0.7675	0.0872
LMNA	CDK6	3	4	0.3069	0.3129
MAPRE3	CDK6	3	4	0.1105	0.4397
ACTB	CDK7	3	8	0.1494	0.4135
LMNA	CDK7	3	8	0.9700	0.0194
ACTB	CDK9	3	4	0.0091	0.5208
KRT8	CDK9	3	4	0.0919	0.4564
LMNA	CDK9	3	4	0.6541	0.1300
MAPRE3	CDK9	3	4	0.0135	0.5169
ACTB	CDKAL1	3	6	0.8193	0.0706
CTNNA1	CDKAL1	3	6	0.1668	0.3992
KRT8	CDKAL1	3	6	0.8493	0.0613
LMNA	CDKAL1	3	6	0.8829	0.0514
MAPRE3	CDKAL1	3	6	0.4092	0.2500
ACTB	CDKL5	3	3	0.0017	0.5289
KRT8	CDKL5	3	3	0.0568	0.4846
MAPRE3	CDKL5	3	3	0.2015	0.3769
ACTB	CDKN2A	3	8	0.7557	0.0907
CTNNA1	CDKN2A	3	8	0.4013	0.2534
KRT8	CDKN2A	3	8	0.8539	0.0597
LMNA	CDKN2A	3	8	0.6781	0.1189
MAPRE3	CDKN2A	3	8	0.4376	0.2343
ACTB	CDKN2AIP	3	17	0.2049	0.3750
CTNNA1	CDKN2AIP	3	17	0.0141	0.5164
KRT8	CDKN2AIP	3	17	0.3851	0.2617
LMNA	CDKN2AIP	3	17	0.9134	0.0420
MAPRE3	CDKN2AIP	3	17	0.4237	0.2419
CTNNA1	CDKN2C	3	1	0.3228	0.3012
KRT8	CDKN2C	3	1	0.3313	0.2957
ACTB	CDR2	3	12	0.9500	0.0306
CTNNA1	CDR2	3	12	0.0470	0.4913
KRT8	CDR2	3	12	0.9767	0.0133
LMNA	CDR2	3	12	0.1724	0.3955
MAPRE3	CDR2	3	12	0.4583	0.2234
ACTB	CDR2L	3	8	0.6482	0.1327
KRT8	CDR2L	3	8	0.9822	0.0079
LMNA	CDR2L	3	8	0.0592	0.4827
MAPRE3	CDR2L	3	8	0.1216	0.4320
ACTB	CDSN	3	3	0.2196	0.3642
CTNNA1	CDSN	3	3	0.1080	0.4424
KRT8	CDSN	3	3	0.1067	0.4438
LMNA	CDSN	3	3	0.4324	0.2368
LMNA	CDT1	3	7	0.9140	0.0418
ACTB	CDV3	3	4	0.6952	0.1117
CTNNA1	CDV3	3	4	0.2022	0.3766
KRT8	CDV3	3	4	0.6725	0.1208
LMNA	CDV3	3	4	0.2740	0.3325
MAPRE3	CDV3	3	4	0.3994	0.2545
ACTB	CDYL	3	9	0.0346	0.5009
LMNA	CDYL	3	9	0.8604	0.0578
MAPRE3	CDYL	3	9	0.1321	0.4248
CTNNA1	CEBPB	3	4	0.0267	0.5067
KRT8	CEBPB	3	4	0.2059	0.3742
LMNA	CEBPB	3	4	0.7408	0.0959
MAPRE3	CEBPB	3	4	0.0579	0.4838
ACTB	CEBPZ	3	26	0.5903	0.1595
CTNNA1	CEBPZ	3	26	0.0772	0.4690
KRT8	CEBPZ	3	26	0.6190	0.1459
LMNA	CEBPZ	3	26	0.8540	0.0597
MAPRE3	CEBPZ	3	26	0.7311	0.0992
ACTB	CELF1	3	5	0.2050	0.3749
CTNNA1	CELF1	3	5	0.0868	0.4608
KRT8	CELF1	3	5	0.3132	0.3084
LMNA	CELF1	3	5	0.4030	0.2526
MAPRE3	CELF1	3	5	0.2137	0.3684
ACTB	CEMIP2	3	9	0.2448	0.3496
CTNNA1	CEMIP2	3	9	0.0779	0.4683
LMNA	CEMIP2	3	9	0.5780	0.1653
MAPRE3	CEMIP2	3	9	0.0464	0.4921
KRT8	CENPC	3	8	0.0665	0.4770
LMNA	CENPC	3	8	0.2834	0.3276
MAPRE3	CENPC	3	8	0.7665	0.0875
ACTB	CENPE	3	48	0.4412	0.2323
CTNNA1	CENPE	3	48	0.0223	0.5100
KRT8	CENPE	3	48	0.8542	0.0596
LMNA	CENPE	3	48	0.0199	0.5121
MAPRE3	CENPE	3	48	0.9455	0.0324
ACTB	CENPF	3	89	0.7186	0.1029
CTNNA1	CENPF	3	89	0.8273	0.0679
KRT8	CENPF	3	89	0.7688	0.0867
LMNA	CENPF	3	89	0.9773	0.0129
MAPRE3	CENPF	3	89	0.9288	0.0377
ACTB	CENPH	3	7	0.5925	0.1583
KRT8	CENPH	3	7	0.9389	0.0345
LMNA	CENPH	3	7	0.7671	0.0873
MAPRE3	CENPH	3	7	0.1189	0.4338
KRT8	CENPI	3	3	0.0505	0.4894
LMNA	CENPI	3	3	0.0755	0.4703
MAPRE3	CENPI	3	3	0.0048	0.5251
ACTB	CENPK	3	3	0.0786	0.4677
KRT8	CENPK	3	3	0.2276	0.3593
LMNA	CENPK	3	3	0.0413	0.4961
ACTB	CENPL	3	1	0.0073	0.5226
KRT8	CENPL	3	1	0.2000	0.3781
LMNA	CENPL	3	1	0.2053	0.3748
KRT8	CENPM	3	3	0.6666	0.1246
LMNA	CENPM	3	3	0.5554	0.1746
LMNA	CENPO	3	1	0.1373	0.4214
LMNA	CENPT	3	4	0.3198	0.3033
LMNA	CENPU	3	1	0.0017	0.5289
ACTB	CEP104	3	10	0.0667	0.4767
KRT8	CEP104	3	10	0.1333	0.4239
MAPRE3	CEP104	3	10	1.0000	0.0000
ACTB	CEP120	3	9	0.0007	0.5310
KRT8	CEP120	3	9	0.9065	0.0441
MAPRE3	CEP120	3	9	0.0377	0.4988
MAPRE3	CEP126	3	1	0.6664	0.1259
ACTB	CEP128	3	3	0.1111	0.4387
KRT8	CEP128	3	3	0.6666	0.1246
ACTB	CEP131	3	39	0.2574	0.3419
CTNNA1	CEP131	3	39	0.0107	0.5191
KRT8	CEP131	3	39	0.9942	0.0009
LMNA	CEP131	3	39	0.0394	0.4978
MAPRE3	CEP131	3	39	0.5872	0.1610
ACTB	CEP135	3	13	0.0939	0.4548
KRT8	CEP135	3	13	0.9852	0.0055
MAPRE3	CEP135	3	13	0.3654	0.2725
ACTB	CEP152	3	47	0.9662	0.0223
CTNNA1	CEP152	3	47	0.5538	0.1756
KRT8	CEP152	3	47	0.9723	0.0177
LMNA	CEP152	3	47	0.3928	0.2575
MAPRE3	CEP152	3	47	0.9354	0.0355
ACTB	CEP162	3	19	0.0069	0.5230
KRT8	CEP162	3	19	0.4917	0.2060
LMNA	CEP162	3	19	0.0273	0.5063
MAPRE3	CEP162	3	19	0.9677	0.0210
ACTB	CEP164	3	8	0.0491	0.4902
KRT8	CEP164	3	8	0.9696	0.0197
MAPRE3	CEP164	3	8	0.0905	0.4574
ACTB	CEP170	3	65	0.9572	0.0275
CTNNA1	CEP170	3	65	0.5437	0.1797
KRT8	CEP170	3	65	0.9705	0.0190
LMNA	CEP170	3	65	0.3639	0.2733
MAPRE3	CEP170	3	65	0.9753	0.0148
ACTB	CEP170B	3	20	0.2460	0.3487
KRT8	CEP170B	3	20	0.3650	0.2728
MAPRE3	CEP170B	3	20	0.9758	0.0143
ACTB	CEP192	3	45	0.8808	0.0519
CTNNA1	CEP192	3	45	0.1992	0.3786
KRT8	CEP192	3	45	0.9761	0.0141
LMNA	CEP192	3	45	0.1015	0.4490
MAPRE3	CEP192	3	45	0.8870	0.0501
ACTB	CEP250	3	28	0.1493	0.4136
KRT8	CEP250	3	28	0.9399	0.0342
MAPRE3	CEP250	3	28	0.0090	0.5209
ACTB	CEP290	3	25	0.1380	0.4209
KRT8	CEP290	3	25	0.9524	0.0297
MAPRE3	CEP290	3	25	0.7993	0.0770
ACTB	CEP295	3	41	0.3033	0.3148
KRT8	CEP295	3	41	0.9841	0.0062
LMNA	CEP295	3	41	0.3404	0.2840
MAPRE3	CEP295	3	41	0.6550	0.1296
ACTB	CEP350	3	84	0.9616	0.0251
CTNNA1	CEP350	3	84	0.6657	0.1265
KRT8	CEP350	3	84	0.9741	0.0159
LMNA	CEP350	3	84	0.3406	0.2839
MAPRE3	CEP350	3	84	0.9659	0.0225
ACTB	CEP41	3	2	0.3333	0.2872
KRT8	CEP41	3	2	0.4987	0.2024
MAPRE3	CEP41	3	2	0.1667	0.3994
ACTB	CEP43	3	14	0.7254	0.1008
CTNNA1	CEP43	3	14	0.0952	0.4535
KRT8	CEP43	3	14	0.6832	0.1169
LMNA	CEP43	3	14	0.0396	0.4976
MAPRE3	CEP43	3	14	0.9866	0.0047
