Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PDHA1	HAUS5	HAUS5	.|0.097|0.088	1.016	0.339	3	1.416|1.720|1.565|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.217	0.924	
PDHA1	USP19	USP19	.|0.454|.	2.114	0.705	3	.|0.671|.|.|0.150|.	0.004	0.011	0.004	0.011	0.004	-4.469	2.219	0.844	
PDHA1	UBR5	UBR5	.|0.348|0.437	1.615	0.538	3	1.944|1.950|2.714|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.248	0.924	
PDHA1	KIF20A	KIF20A	.|0.163|1.101	2.094	0.698	3	1.297|1.584|1.301|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.503	0.907	
PDHA1	KAT7	KAT7	.|0.172|0.437	1.439	0.480	3	1.168|0.755|0.332|.|0.179|.	0.003	0.008	0.003	0.008	0.003	-8.317	1.002	0.853	
PDHA1	VAPB	VAPB	.|0.203|0.555	1.589	0.530	3	1.139|1.549|0.729|0.479|0.589|0.513	0.000	0.000	0.000	0.000	0.000	-15.279	0.701	0.910	
PDHA1	SMC2	SMC2	.|0.765|1.238	2.833	0.944	3	2.261|2.657|1.859|0.242|0.490|0.894	0.011	0.024	0.011	0.024	0.011	-4.652	0.918	0.807	
PDHA1	IPO7	IPO7	.|0.291|0.937	2.057	0.686	3	3.473|2.923|2.838|.|0.219|.	0.006	0.015	0.006	0.015	0.006	-6.399	0.433	0.833	
PDHA1	CD2BP2	CD2BP2	.|0.402|.	2.062	0.687	3	1.220|1.722|1.258|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.497	0.927	
PDHA1	NSA2	NSA2	.|0.245|0.519	1.594	0.531	3	.|0.299|0.407|.|.|.	0.005	0.013	0.005	0.013	0.005	-8.408	1.523	0.840	
PDHA1	SEC24B	SEC24B	.|0.220|0.270	1.320	0.440	3	0.897|0.710|0.756|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.561	0.924	
PDHA1	HERC2	HERC2	.|0.314|.	1.974	0.658	3	2.177|2.109|2.207|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.304	0.927	
PDHA1	AP2A1	AP2A1	.|0.300|.	1.960	0.653	3	0.353|.|0.820|0.125|.|.	0.000	0.000	0.000	0.000	0.000	-7.601	1.976	0.894	
PDHA1	MBD3	MBD3	.|0.546|.	2.206	0.735	3	2.222|1.673|1.126|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.456	0.927	
PDHA1	PAK4	PAK4	.|0.352|0.236	1.418	0.473	3	0.705|0.452|0.971|0.374|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.810	0.919	
PDHA1	PNP	PNP	.|0.463|0.333	1.626	0.542	3	.|1.253|.|.|0.209|.	0.000	0.001	0.000	0.001	0.000	-9.604	1.059	0.890	
PDHA1	FGB	FGB	.|0.201|0.244	1.274	0.425	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.512	0.924	
PDHA1	TP53	TP53	.|0.180|.	1.840	0.613	3	1.420|2.370|1.676|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.345	0.927	
PDHA1	KRT8	KRT8	.|0.532|.	2.192	0.731	3	1.544|2.284|1.998|.|0.290|0.476	0.001	0.003	0.001	0.003	0.001	-5.728	0.735	0.871	
PDHA1	CDK1	CDK1	.|0.248|0.313	1.390	0.463	3	3.717|3.450|3.005|0.345|1.444|1.117	0.000	0.000	0.000	0.000	0.000	-10.565	0.278	0.905	
PDHA1	H1-0	H1-0	.|0.420|0.451	1.701	0.567	3	.|0.534|.|.|0.088|.	0.040	0.069	0.040	0.069	0.040	-2.915	2.619	0.712	
PDHA1	CTSD	CTSD	.|0.332|.	1.992	0.664	3	.|.|.|.|0.489|0.571	0.000	0.000	0.000	0.000	0.000	-9.923	1.257	0.908	
PDHA1	LYN	LYN	.|0.334|0.426	1.590	0.530	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.639	0.919	
