Protein	Empty_1	Empty_2	Empty_3	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
EYA4	0	8488.309	0	30261.793	0	0	0	0	19362.441	0	0	4895.199	0	0	21786.16
CEP43	0	0	0	62811.25	189759.88	136204.1	0	0	0	0	0	0	20027.057	0	38204.7
BRD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POP4	0	0	0	29650.383	49504.79	0	0	0	0	0	0	0	22464.328	9764.069	0
HERC2	0	0	0	353400.9	336527	361202.28	105176.34	145503.55	185287.31	0	15971.101	0	510651.9	356921.3	423507
ESRRB	0	0	0	24899.832	27883.521	23747.164	0	0	0	0	0	0	0	0	0
SNAP29	0	0	0	0	48467.09	0	362957.62	443570.38	473631.88	0	0	0	343033.2	655456.7	322229.1
OXSR1	0	0	0	0	15417.101	8853.105	10511.457	0	16408.572	0	0	0	0	0	21165.877
SEMA4F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB36	0	0	0	0	0	0	19201.562	26374.787	22970.23	0	0	0	42603.71	42136.117	63673.633
HSPA4L	89786.88	127310.37	68746.91	91782.78	96637.06	110285.24	178217.16	227216.17	236064.84	77279.44	93561.875	118702.18	192751.31	326646.3	251051.11
PTBP3	0	0	0	6329.782	0	0	0	0	0	0	0	0	11526.873	0	0
AP2A1	0	0	0	19261.55	0	71346.05	6043276	4615996.5	4829246.5	0	14847.094	0	153942.19	322860.6	191179.02
WIZ	0	0	6511.0215	94401.9	0	141238.9	0	0	0	5946.4307	0	0	3167.642	15001.193	6574.2397
ZMYM6	0	0	0	34734.17	66545.875	127286.55	0	0	0	0	0	0	0	0	0
STAU1	27275.064	36161.535	18326.832	960779.1	770585.4	734861.7	154361.19	135182.23	208227.84	22286.55	45943.438	52814.62	331657.3	245039.27	281052.47
TTC4	0	45375.973	13914.285	197460.64	222839.39	191040.36	221526.02	69739.516	51215.93	25404.492	75481.85	34066.348	112731.055	139280.27	131209.1
BAG2	0	8696.895	0	75362.1	101830.67	74879.73	107579.97	154166.92	79692	0	0	0	79713.305	12902.045	30542.105
BAG3	0	0	0	17456.441	25262.793	0	30812.473	13432.429	0	0	0	0	0	0	0
MAP4K4	0	0	0	56016.383	72132.37	9202.349	563231.56	437648.62	565787.9	0	0	0	87847.13	29882.871	67010.375
CRYZL1	0	0	0	0	22328.404	18198.684	0	0	0	0	0	0	0	0	0
AIFM1	0	0	0	0	0	0	0	0	17178.578	13716.653	58444.34	12238.801	49384.25	65467.375	76818.21
LATS1	0	0	0	0	53563.96	72496.734	899794.94	735601.56	918954.25	0	0	0	94776.83	167006.95	111671.664
BPNT1	217651.92	313613.06	194577.98	16334.747	45935.754	39117.63	106026.61	122352.13	74871.45	184768.56	252043.89	307350.3	195507.56	359907.38	243956.78
FADS2	0	0	0	0	0	0	0	143453.61	0	0	0	0	18033.984	0	0
GPANK1	0	0	0	202773.66	237478.02	171837.36	0	0	0	0	0	0	10549.542	27418.834	0
TXNDC12	585363.3	570418.2	534509.06	649670.8	876485.9	638358.8	1525913.4	1796844	1203593.8	576783.94	396121.56	780833.2	1711924	1999872.6	1833227.5
ECD	0	0	0	173558.16	152325.47	182506.61	36740.484	44573.547	79931.02	0	0	0	72380.53	53126.375	258477.84
SYF2	0	0	0	296907.2	314936.25	261121.66	3120.102	7391.219	6942.473	0	0	3883.2678	9726.902	6788.9697	9633.887
CBX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ONECUT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3	0	0	0	365119.94	231834.84	123021.51	0	3418.7815	0	0	38601.992	0	0	0	14293.861
PTTG1	0	0	0	66295.49	65594.3	69450.84	0	0	15731.664	0	0	0	132935.4	75160.19	108560.98
CLPTM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZBED1	0	0	0	0	91730.01	40008.617	10167.62	0	0	0	0	0	0	0	0
MOCS2	155980.19	236950.73	153494.81	229304.6	395971.34	267219.56	139268.72	271266.34	201117.23	196982.78	186624.06	217226.34	534252.56	371723.3	471587.9
TOMM40	33223.957	21579.58	21494.36	88082.21	98762.22	60245.367	80059.484	75625.04	157232.9	71752.36	45943.17	90134.77	53598.254	168228.12	76867.336
PAK4	21143.025	0	0	58208.664	28582.799	97076.625	2298635.5	2457767.2	414618.2	0	19129.078	8040.5625	265072.22	182526.95	183560.67
DNAL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHEK2	16827.791	20471.94	19288.125	71917.34	87426.09	54218.79	39831.78	38239.105	26294.594	15584.237	15159.263	0	138014.62	117421.31	131134.31
ACTL6A	0	0	0	0	22559.578	0	12123.482	0	0	0	0	0	14246.019	13034.75	0
CCNE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSD2	44984.316	0	0	246934.73	255998.12	109042.266	0	0	0	0	0	109451.2	14880.884	0	0
MOCS2	30705.135	36445.637	31783.662	0	0	0	93471.57	0	58722.887	20723.516	40207.863	42958.43	0	0	0
LDHA	63230	88507.33	81116.24	995261.4	445900.25	450684.62	1035442.1	991539.25	980300.06	360711.06	448973.16	715265.5	625930.4	846524.94	779086.94
GLUD1	35584.02	0	30729.533	108894.02	287790.4	295102.1	779349.75	532995.3	595568.2	1764650.5	2740443.8	3065693.2	758796.4	490456.7	428337.47
DHFR	22907.537	28997.094	30986.07	64533.55	112634.875	47991.97	66002.26	77781.84	57518.125	42229.86	83878.945	61306.92	114409.33	129171.03	122456.87
CYB5R3	0	0	0	27048.324	57861.555	39322.664	154344.27	192859.47	212894.84	0	0	0	303163.94	259591.84	266220.5
GSR	3252866	4333010.5	3178697.5	4889661.5	5828633	5184260.5	5081836	6711423	4542680	3930892.8	4398918.5	4256679	9439322	7745149.5	8768381
