Bait	PreyGene	#Rep	AvgP	BFDR
PDHA1	PSMA7	3	0.3333	0.2529
EGFR	SCAMP3	3	1.0000	0.0000
PDHA1	SCAMP3	3	0.0170	0.4919
RAB11A	SCAMP3	3	1.0000	0.0000
EGFR	BACH1	3	0.0018	0.5312
RAB11A	BACH1	3	0.0328	0.4698
PDHA1	BCKDK	3	1.0000	0.0000
EGFR	MGST3	3	0.0686	0.4341
PDHA1	MGST3	3	0.0914	0.4150
RAB11A	MGST3	3	0.6728	0.1085
EGFR	GIPC1	3	0.6955	0.0965
PDHA1	GIPC1	3	0.0329	0.4696
RAB11A	GIPC1	3	0.6272	0.1526
RAB11A	IKBKB	3	0.0000	0.5549
EGFR	RGS12	3	1.0000	0.0000
RAB11A	RGS12	3	0.4508	0.2071
EGFR	TIMM23	3	0.3333	0.2529
PDHA1	TIMM23	3	0.3762	0.2347
RAB11A	TIMM23	3	0.2997	0.3215
EGFR	HAT1	3	0.3558	0.2439
PDHA1	HAT1	3	0.0674	0.4353
RAB11A	HAT1	3	0.5340	0.1809
EGFR	CASK	3	0.8888	0.0111
PDHA1	CASK	3	0.0685	0.4342
RAB11A	CASK	3	0.7120	0.0869
RAB11A	PLD2	3	0.3205	0.3142
EGFR	MYL12B	3	0.7176	0.0840
PDHA1	MYL12B	3	0.6334	0.1500
RAB11A	MYL12B	3	0.7859	0.0467
EGFR	AURKA	3	0.8364	0.0251
RAB11A	AURKA	3	0.6034	0.1590
RAB11A	RAB29	3	0.6667	0.1110
EGFR	CLGN	3	0.3333	0.2529
EGFR	VPS26C	3	0.1066	0.4042
RAB11A	VPS26C	3	0.1541	0.3760
RAB11A	PPP1R12A	3	0.2296	0.3458
EGFR	SLC27A2	3	0.0115	0.5021
RAB11A	SLC27A2	3	0.3042	0.3203
EGFR	GAK	3	0.0067	0.5133
RAB11A	GAK	3	0.0661	0.4362
EGFR	HNRNPDL	3	0.5168	0.1858
PDHA1	HNRNPDL	3	0.4501	0.2075
RAB11A	HNRNPDL	3	0.5114	0.1870
EGFR	XPO1	3	0.7683	0.0563
PDHA1	XPO1	3	0.4631	0.2027
RAB11A	XPO1	3	0.7929	0.0432
EGFR	BTAF1	3	0.0000	0.5549
RAB11A	BTAF1	3	0.0002	0.5476
EGFR	ARHGEF10	3	0.0903	0.4158
RAB11A	ARHGEF10	3	0.9957	0.0002
EGFR	ZNF646	3	0.3333	0.2529
EGFR	SPTBN2	3	1.0000	0.0000
PDHA1	SPTBN2	3	0.3333	0.2529
RAB11A	SPTBN2	3	0.0559	0.4463
EGFR	SEC16A	3	0.6908	0.0998
PDHA1	SEC16A	3	0.2448	0.3405
RAB11A	SEC16A	3	0.7125	0.0862
EGFR	PLXNB2	3	0.9996	0.0000
RAB11A	PLXNB2	3	0.9962	0.0002
EGFR	AREL1	3	1.0000	0.0000
RAB11A	AREL1	3	0.3333	0.2529
EGFR	U2SURP	3	0.6372	0.1489
PDHA1	U2SURP	3	0.7745	0.0527
RAB11A	U2SURP	3	0.8121	0.0331
EGFR	SYNJ2	3	0.4437	0.2101
RAB11A	SYNJ2	3	0.0276	0.4755
EGFR	GARRE1	3	0.6667	0.1110
RAB11A	GARRE1	3	0.6060	0.1585
EGFR	PFAS	3	0.0405	0.4617
PDHA1	PFAS	3	0.0045	0.5203
RAB11A	PFAS	3	0.3598	0.2420
RAB11A	DCLK1	3	0.0190	0.4887
EGFR	CEP290	3	0.0000	0.5549
RAB11A	CEP290	3	0.0000	0.5549
EGFR	ANKRD28	3	0.0000	0.5549
RAB11A	ANKRD28	3	0.0000	0.5549
EGFR	ARHGEF11	3	0.5379	0.1794
RAB11A	ARHGEF11	3	0.0183	0.4896
EGFR	ZNF536	3	0.0000	0.5549
RAB11A	ZNF536	3	0.0000	0.5549
EGFR	PRORP	3	0.0800	0.4240
PDHA1	PRORP	3	1.0000	0.0000
RAB11A	PRORP	3	0.0814	0.4233
EGFR	DEGS1	3	0.2306	0.3456
RAB11A	DEGS1	3	0.8938	0.0104
EGFR	SCAMP1	3	1.0000	0.0000
RAB11A	SCAMP1	3	1.0000	0.0000
RAB11A	SCAMP2	3	0.6667	0.1110
EGFR	ARPC1B	3	0.1266	0.3906
RAB11A	ARPC1B	3	0.0830	0.4220
EGFR	ARPC2	3	0.3333	0.2529
EGFR	ARPC3	3	1.0000	0.0000
EGFR	BET1	3	0.5062	0.1890
PDHA1	BET1	3	0.0822	0.4228
RAB11A	BET1	3	0.8640	0.0167
PDHA1	POLR1C	3	0.3333	0.2529
RAB11A	POLR1C	3	0.3333	0.2529
EGFR	PGRMC2	3	0.9937	0.0003
PDHA1	PGRMC2	3	0.0294	0.4741
RAB11A	PGRMC2	3	1.0000	0.0000
EGFR	CETN3	3	0.0059	0.5159
RAB11A	CETN3	3	0.0092	0.5074
EGFR	WDR46	3	0.0232	0.4811
RAB11A	WDR46	3	0.3273	0.3110
EGFR	NKRF	3	0.3311	0.3086
PDHA1	NKRF	3	0.1017	0.4077
RAB11A	NKRF	3	0.5851	0.1650
EGFR	GNPAT	3	0.0026	0.5269
RAB11A	GNPAT	3	0.3813	0.2327
RAB11A	ZNF185	3	0.6667	0.1110
EGFR	RER1	3	0.0179	0.4905
RAB11A	RER1	3	0.0193	0.4883
EGFR	SURF4	3	0.9078	0.0082
PDHA1	SURF4	3	0.5118	0.1868
RAB11A	SURF4	3	0.8902	0.0109
EGFR	MAPK13	3	0.3324	0.3080
EGFR	SPTLC1	3	1.0000	0.0000
RAB11A	SPTLC1	3	1.0000	0.0000
EGFR	SPTLC2	3	0.6667	0.1110
EGFR	OGT	3	0.3036	0.3205
RAB11A	OGT	3	0.4561	0.2052
EGFR	PMM2	3	0.5499	0.1753
PDHA1	PMM2	3	0.3770	0.2341
RAB11A	PMM2	3	0.5053	0.1892
EGFR	PPM1G	3	0.2371	0.3440
PDHA1	PPM1G	3	0.3647	0.2396
RAB11A	PPM1G	3	0.6080	0.1579
EGFR	INPPL1	3	0.3836	0.2321
RAB11A	INPPL1	3	0.0580	0.4438
EGFR	FANCA	3	0.0000	0.5549
RAB11A	FANCA	3	0.0031	0.5245
EGFR	EIF3D	3	0.3264	0.3118
PDHA1	EIF3D	3	0.0923	0.4142
RAB11A	EIF3D	3	0.7281	0.0784
EGFR	EIF3H	3	0.4667	0.2014
PDHA1	EIF3H	3	0.0203	0.4859
RAB11A	EIF3H	3	0.4992	0.1908
EGFR	NVL	3	0.0013	0.5343
PDHA1	NVL	3	0.0000	0.5549
RAB11A	NVL	3	0.0005	0.5421
EGFR	IPO8	3	0.0690	0.4338
RAB11A	IPO8	3	0.1034	0.4068
EGFR	STX7	3	1.0000	0.0000
RAB11A	STX7	3	1.0000	0.0000
EGFR	ABCC4	3	0.1390	0.3843
RAB11A	ABCC4	3	0.4260	0.2163
EGFR	YKT6	3	1.0000	0.0000
RAB11A	YKT6	3	1.0000	0.0000
EGFR	NUP42	3	0.0090	0.5080
RAB11A	NUP42	3	0.3403	0.2504
EGFR	PDPK1	3	0.5408	0.1785
RAB11A	PDPK1	3	0.0298	0.4736
RAB11A	TAPBP	3	0.3333	0.2529
RAB11A	KDM6A	3	0.0013	0.5343
EGFR	DHX15	3	0.0296	0.4737
PDHA1	DHX15	3	0.0048	0.5194
RAB11A	DHX15	3	0.1918	0.3596
EGFR	RNMT	3	0.7036	0.0917
PDHA1	RNMT	3	0.3622	0.2408
RAB11A	RNMT	3	0.8575	0.0184
EGFR	ZZEF1	3	0.0088	0.5086
RAB11A	ZZEF1	3	0.0000	0.5549
EGFR	TTI1	3	0.0141	0.4971
RAB11A	TTI1	3	0.2648	0.3329
EGFR	PLXNB1	3	1.0000	0.0000
RAB11A	PLXNB1	3	0.6667	0.1110
PDHA1	RRP8	3	0.0478	0.4552
RAB11A	RRP8	3	0.4626	0.2030
EGFR	PJA2	3	0.0001	0.5502
RAB11A	PJA2	3	0.0522	0.4498
EGFR	SIPA1L1	3	0.0816	0.4232
RAB11A	SIPA1L1	3	0.9924	0.0004
EGFR	CYB5B	3	0.0024	0.5279
RAB11A	CYB5B	3	0.1469	0.3803
EGFR	PRPF4	3	0.0163	0.4934
RAB11A	PRPF4	3	0.0241	0.4802
EGFR	PHGDH	3	0.6783	0.1067
PDHA1	PHGDH	3	0.1030	0.4071
RAB11A	PHGDH	3	0.8302	0.0273
EGFR	DYNC1LI2	3	0.1218	0.3940
PDHA1	DYNC1LI2	3	0.0002	0.5476
RAB11A	DYNC1LI2	3	0.2557	0.3367
EGFR	PSMD3	3	0.6339	0.1498
PDHA1	PSMD3	3	0.1793	0.3649
RAB11A	PSMD3	3	0.7051	0.0910
EGFR	PAPSS1	3	0.2403	0.3425
RAB11A	PAPSS1	3	0.0113	0.5029
EGFR	ZW10	3	0.0593	0.4423
PDHA1	ZW10	3	0.0000	0.5549
RAB11A	ZW10	3	0.0061	0.5153
RAB11A	MAP3K13	3	0.6667	0.1110
RAB11A	SART1	3	0.0000	0.5549
RAB11A	GPAA1	3	0.3333	0.2529
EGFR	HSPA12A	3	1.0000	0.0000
RAB11A	HSPA12A	3	0.6667	0.1110
RAB11A	CCP110	3	0.0001	0.5502
RAB11A	ADCY6	3	0.3333	0.2529
EGFR	PPIP5K2	3	0.0091	0.5078
RAB11A	PPIP5K2	3	0.0087	0.5091
EGFR	MAP3K7	3	0.0001	0.5502
RAB11A	MAP3K7	3	0.0733	0.4305
EGFR	EEF1E1	3	1.0000	0.0000
PDHA1	EEF1E1	3	0.9961	0.0002
RAB11A	EEF1E1	3	1.0000	0.0000
EGFR	WDR62	3	0.0043	0.5208
PDHA1	WDR62	3	0.0000	0.5549
RAB11A	WDR62	3	0.0463	0.4568
EGFR	HNRNPR	3	0.6324	0.1503
PDHA1	HNRNPR	3	0.2634	0.3335
RAB11A	HNRNPR	3	0.6246	0.1531
EGFR	PRPF3	3	0.0000	0.5549
RAB11A	PRPF3	3	0.0007	0.5396
EGFR	TXNL1	3	0.4897	0.1945
PDHA1	TXNL1	3	0.0522	0.4498
RAB11A	TXNL1	3	0.6132	0.1566
EGFR	TPD52L2	3	0.7878	0.0457
RAB11A	TPD52L2	3	0.1966	0.3576
EGFR	EMC8	3	0.3103	0.3178
PDHA1	EMC8	3	0.4520	0.2068
RAB11A	EMC8	3	0.6291	0.1516
EGFR	SYNJ1	3	1.0000	0.0000
RAB11A	SYNJ1	3	0.0460	0.4573
EGFR	EIF4G3	3	0.0000	0.5549
RAB11A	EIF4G3	3	0.0005	0.5421
EGFR	PPIH	3	0.9996	0.0000
RAB11A	PPIH	3	0.3333	0.2529
EGFR	SUV39H1	3	1.0000	0.0000
RAB11A	OIP5	3	0.3333	0.2529
EGFR	EPB41L2	3	0.8642	0.0167
PDHA1	EPB41L2	3	0.2148	0.3522
RAB11A	EPB41L2	3	0.6700	0.1098
EGFR	LAMTOR5	3	0.1617	0.3729
PDHA1	LAMTOR5	3	0.0959	0.4119
RAB11A	LAMTOR5	3	0.5584	0.1728
EGFR	B4GAT1	3	0.6667	0.1110
EGFR	FOXO3	3	0.0000	0.5549
RAB11A	FOXO3	3	0.0096	0.5062
EGFR	AKAP10	3	0.0835	0.4215
RAB11A	AKAP10	3	1.0000	0.0000
EGFR	DENR	3	0.1936	0.3587
PDHA1	DENR	3	0.0250	0.4791
RAB11A	DENR	3	0.4988	0.1911
EGFR	XPOT	3	0.7194	0.0832
PDHA1	XPOT	3	0.2963	0.3228
RAB11A	XPOT	3	0.7977	0.0409
EGFR	DNPH1	3	0.2822	0.3276
RAB11A	DNPH1	3	0.4874	0.1949
EGFR	TIMM44	3	0.7780	0.0508
PDHA1	TIMM44	3	0.9103	0.0078
RAB11A	TIMM44	3	0.8326	0.0265
RAB11A	PRC1	3	0.3333	0.2529
RAB11A	RGS10	3	0.3117	0.3173
EGFR	ZNF207	3	0.0229	0.4818
PDHA1	ZNF207	3	0.0141	0.4971
PDHA1	NDUFB5	3	0.3333	0.2529
RAB11A	GET3	3	1.0000	0.0000
EGFR	BUB1	3	0.0004	0.5436
RAB11A	BUB1	3	0.0001	0.5502
EGFR	BUB3	3	0.3725	0.2358
PDHA1	BUB3	3	0.0499	0.4523
RAB11A	BUB3	3	0.6890	0.1006
EGFR	ACTN4	3	0.8632	0.0171
PDHA1	ACTN4	3	0.4742	0.1989
RAB11A	ACTN4	3	0.6647	0.1380
PDHA1	GATC	3	0.6667	0.1110
EGFR	HTATSF1	3	0.0325	0.4704
PDHA1	HTATSF1	3	0.0000	0.5549
RAB11A	HTATSF1	3	0.0470	0.4558
EGFR	AP1G1	3	0.6667	0.1110
RAB11A	AP1G1	3	1.0000	0.0000
EGFR	STX6	3	1.0000	0.0000
RAB11A	STX6	3	1.0000	0.0000
EGFR	SGTA	3	0.3333	0.2529
RAB11A	SGTA	3	1.0000	0.0000
EGFR	ENSA	3	0.0952	0.4123
