Protein	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	HEK293_1	HEK293_2	HEK293_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
SCP2	47662.47	0	0	47780.543	72208.64	24969.266	0	6287.9194	5363.6416	0	0	8084.4126	93459.53	45772.047	90330.66
UBA1	1954993.9	1988203.8	1615790.1	1907589.2	2036720.5	1811519.2	885114.25	1368733	1127225.4	930292.1	1294235.9	1430412	3473338.2	2603728.5	3455897.2
NME2	0	0	0	0	33708.855	0	0	0	0	0	0	0	68459.625	0	28281.951
ENPP1	24388.521	30871.459	0	0	0	0	0	0	0	0	0	0	29953.377	0	33216.625
FDXR	0	0	0	40290.234	0	6543.811	0	0	0	0	0	0	32106.758	45864.285	47686.273
HNRNPA2B1	374511.72	735530.7	633802.1	228267.88	268982.25	169427.47	29965.73	56059.266	67449.7	144060.44	310484.34	175711.94	357353.75	400908.75	333175.72
	1.45E+08	9.76E+07	1.24E+08	1.11E+08	1.28E+08	1.10E+08	1.04E+08	1.13E+08	1.06E+08	2.06E+08	1.57E+08	1.57E+08	1.49E+08	1.34E+08	1.60E+08
CBL	0	0	0	0	18189.36	0	0	0	0	0	0	0	0	0	23405.41
PRKACB	0	0	0	0	13433.214	0	0	0	0	0	0	0	15486.773	12814.119	18801.928
UQCRC2	439476.78	485202.78	465034.3	307609.62	261057.73	284131	106633.58	139295.89	84558.305	219028.9	323806.22	384670.34	611910.4	372427.97	591421.56
TGM1	0	0	0	0	0	0	0	9780.165	9486.946	0	41225.332	0	0	0	0
FECH	76303.03	133242.5	142631.69	91361.32	77695.09	74047.44	70114.19	104285.73	82037.64	63501.586	145973.67	192599.8	225780.62	169773.88	281067.38
ITGA6	83030.164	0	0	32287.062	24766.703	19694.78	0	0	0	0	0	0	0	20873.44	0
SFPQ	526986.44	563562.56	556245.2	254629.22	171600.88	183463.1	241111.22	20024.438	68113.375	7469.3975	135184.69	66076.42	234926.25	142564.73	143542.31
TUBG1	25575.422	31989.586	0	134868.75	84857.05	207300.45	0	0	0	4992.218	27352.027	0	83112.555	97389.484	124685.18
PPIB	31460.738	27654.145	11155.66	128228.78	121449.555	400976.6	12911.928	25266.607	22322.734	25169.162	26713.717	62366.895	0	0	0
ME2	0	0	0	0	0	0	0	0	0	166214.38	258604.88	249177.62	0	0	0
GLDC	183542.2	187762.31	102143.64	0	0	8749.473	33015.508	62852.723	30741.352	11711.887	60075.707	97545.47	272391.25	341017.38	223752.4
WARS1	90539.33	66480.664	71758.57	21861.541	28860.98	0	0	0	0	0	0	0	60554.82	72051.625	51527.95
RPS3	1193207.8	1152233.9	1525481.9	2579557.2	2169490.5	2508047	589139.44	724731.44	791672.56	694461.6	1250537.1	1780652.2	1735681.2	2322823.2	2180691.5
RPS6KB1	50021.773	43881.562	0	0	0	0	0	0	0	0	0	0	21915.42	0	0
JAK1	0	32252.498	0	371884.53	291691.5	428357.62	0	0	0	0	0	0	172857.11	74790.586	114659.28
PTPRG	0	0	0	64947.477	35678.234	71672.61	0	0	0	0	0	0	34770.94	0	9541.832
MCC	21713.814	21481.215	42909.43	68174.234	105276.45	169158.67	0	0	0	0	0	0	0	0	6893.569
AHCY	758764.5	253090.48	285941.06	630810.6	806524.6	414377.6	161017.53	216152.39	160108.66	360379.56	353310.2	395925.2	628124.9	661316.06	732122.9
CFL1	1112372.9	1548719.9	1238703.5	1286467.9	1388613.9	1252499.6	799343.06	782744.3	707132.25	996293.94	983936.6	1273626.2	2137383.5	1616147.2	1638183.2
EIF4B	96919.78	93345.08	88893.664	16077.689	0	0	0	5634.413	0	0	0	0	25093.65	35894.742	24452.121
ATP2B4	0	0	0	34212.24	0	0	0	0	0	0	0	0	0	0	0
DGKA	0	0	0	0	0	0	0	44520.984	0	0	0	0	0	0	0
VAMP1	68370.03	15902.828	84575.6	0	0	0	0	0	0	0	0	0	0	0	0
DTYMK	0	0	0	0	0	0	0	0	0	0	10151.309	10242.855	0	284700.34	0
RRM1	482009.8	525463.94	432054.12	398625.47	467905.2	261449.06	162283.64	275061.62	286716.06	95371.92	120997.164	241534.42	753960.56	724887.6	848861.2
CHM	0	0	0	0	0	0	0	0	0	0	0	0	15266.483	9430.412	11288.049
KDELR1	46750.652	82215.84	70308.87	8271.305	15585.272	9537.633	0	0	0	0	0	0	99782.47	0	57795.695
NR2F2	0	0	0	0	29979.125	0	0	0	0	0	0	0	0	8722.85	0
EEF1B2	133887.02	295044.7	243465.27	131254.53	196289.12	150646.12	50175.773	79767.33	46482.273	52177.98	49817.36	119694.766	248633.4	252181.9	231648.92
ATP5PB	0	0	0	0	0	0	0	0	0	37116.18	88509.19	68274.91	0	0	0
AKAP5	0	0	0	9003.357	0	9722.545	0	0	0	0	0	0	0	0	0
ACP1	108864.34	133820.44	120514.98	217288.06	234292	202286.47	121407.94	201979.8	187629.81	106890.28	120463.22	142453.69	296330.6	84227.91	246405.78
PRKCH	0	0	0	0	9973.974	0	0	0	0	0	0	0	29623.441	20698.594	24653.879
ACAT1	231801.73	187999	131252.53	132161.02	154378.17	143102.42	21415.412	16335.368	11792.2	86780.56	106102.195	144212.98	251648.3	208090.47	213519.78
POLR2A	621835.3	947104.5	519259.5	212191.73	202997.55	260571.94	0	0	0	8148.0195	16773.854	29603.594	501560.3	254033.92	273296.5
CDK2	109102.68	146837.12	167161.62	217468.22	210089.38	212526.39	0	0	0	0	0	0	150779.52	86519.82	122862.25
APC	584665.3	457611.56	673936	1167227	958247.4	1341112.8	0	0	820.6325	0	0	0	90198.54	56096.574	17788.46
MCM3	377553.12	440415.62	339721.3	482059.56	461828.53	583837.06	224609.81	266515.84	250570.88	180836.52	318147.5	307693.03	326567.06	544646.25	396064.16
AZGP1	0	0	0	0	0	0	0	0	0	0	31771.484	0	0	0	0
MPST	58483.9	0	0	15134.1875	25258.668	0	0	0	6399.2153	0	0	0	0	43093.008	0
RPS12	97119.74	0	55151.848	271327.16	237613.77	173828.19	102732.32	142410.88	110734.83	133413.58	166688.12	184285.9	157434.64	219515.38	182210.8
BRD2	257465.25	444400	306130.34	160382.11	155767.14	93127.984	0	0	0	40685.37	220509.14	131254.62	603343.2	294891.16	445143.7
DNAJB1	97361.914	0	0	34933.125	0	0	0	0	0	0	0	0	0	80798.78	61254.117
ATP5F1A	1355490	1582775.5	1759932.8	1859979.5	1663881.8	1661209.9	313645.94	408449	439254.2	698602.4	1045083.9	1064676.4	1868060.6	2256755.8	1865146.1
PSMA2	34187.082	16420.678	15808.039	10843.773	0	0	0	0	0	0	7343.8877	0	13482.25	10093.967	0
PSMA4	211245.03	142276.42	121659.805	322230.8	171743.8	301088	0	13085.142	15843.927	0	44916.125	0	180649	412975.72	153511.97
MSN	41477.383	64699.938	49713.07	205578.1	114737.945	260059.45	0	0	0	0	0	0	20823.383	7463.588	0
PTPN3	0	0	0	101304.95	139540.14	191436.88	0	0	0	0	0	0	82132.06	92181.09	109730.89
DDX6	342389.7	266448.25	301090.84	320857.88	271608.47	350064.62	0	0	13946.371	22693.9	79593.805	55751.035	237541.95	139999.58	271385.3
CTNNA2	0	26050.764	0	158398	208682	227631.22	0	0	0	0	0	6202.774	58627.695	126105	25405.475
DNMT1	1268285.4	1514083.2	1417468.9	335326.5	234119.9	221138.97	88739.27	162630.22	81711.17	43229.227	98990.13	121454.25	394318.03	562676.06	339563.03
U2AF2	1307963.2	1967137.1	1918689.9	341044.9	414823	430726.9	7249.1265	10607.483	24084.264	30562.652	175975.81	211387.2	380603.03	544785	373259.47
RPL13	247924.58	286843.2	313189.72	842403.56	921237.2	742028.7	304682.16	670121	483229.8	366714.94	448389.47	613120.6	526041.6	793744.2	710241.3
CHML	0	8589.829	0	0	0	0	0	0	0	0	0	0	249036.97	446666.88	615093.94
HMGB2	0	0	0	14652.943	0	0	0	0	0	0	0	0	0	0	0
PTBP1	2810928	2362169.2	2069598.6	1477597.5	1981147.4	1400121.1	701278.5	1004964.25	767438.4	1055229.2	968996.6	865974	3013807.2	2185361.2	2445289.5
TARS1	72454.53	99475.55	44586.94	33490.047	27323.582	22345.125	0	18478.271	0	0	0	10311.957	62353.07	23473.809	31527.338
VARS1	625981.3	600937.7	407499.22	353621.6	479893.38	400608.72	9771.792	24050.984	36384.168	51874.535	128752.125	60526.914	423549.97	369544.1	598955.8
EEF1G	818705.3	906197.25	741302.8	1186624.6	1648037	998158.8	383213.38	568778	456449.47	677038.8	758825.6	894003.9	1318896.5	1291874.1	1337263.9
ACVR2A	0	0	0	0	0	0	0	0	0	0	0	0	31218.09	29411.055	25615.836
STOM	44565.883	85008.016	42178.984	739445.25	774114	795035.6	0	0	0	0	0	0	509912.78	621900.25	450123.3
AK4	0	0	0	0	0	0	0	0	0	9520.227	103612.914	101259.56	0	0	0
YWHAQ	671639.7	775254	671346.56	649646.44	855732.25	638928.56	190593.4	292640.62	248791.73	213073.61	308421.4	319168.22	1032573.25	649697.94	995258.44
MAPK3	63756.61	83586.375	73990.555	54425.71	22123.889	42894.766	0	0	0	0	0	0	119859.56	37108.266	40911.477
MARK3	0	0	0	199625.38	168369.84	214037.64	0	0	0	0	0	0	82833.53	47987.727	62534.883
ARNT	456731.78	586127.3	483985.5	3839.0078	0	0	0	0	0	0	0	0	0	0	0
CERS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL10	376477.97	354030.72	351250.1	626057.4	556611.2	570404.94	169070.33	222810.25	263423.4	135561.6	212365.67	328045.06	618575.44	512766.75	615885.94
RPA1	500878.38	803596.06	687371.2	324879.22	221842.8	201462.6	0	0	0	17942.264	31392.268	77738.66	264428.6	140958.31	177401.17
CAD	4739215.5	5439826.5	5530156	3104079	2883750	3320075.8	230543.66	291348.78	385833.97	341599.03	796492.9	944415.06	4920196.5	5078684.5	5094779.5
MAP4	578388.3	672490.06	506746.28	503573.9	468466.9	384538.03	113566.78	153556.89	183040.95	11568.778	102999.59	249346.48	549896.8	936768.6	898742.56
CANX	283314.88	346839.22	262367.53	611659.5	683845.56	661747.8	13256.105	14839.488	35025.297	58121.88	58819.32	128417.05	472981.97	404491.97	446004.1
PIK3R1	0	0	0	190849.9	198017.62	173661.03	0	0	0	0	0	0	0	20531.95	8537.48
PSMA5	0	0	0	47143.695	22854.475	27578.824	0	0	7521.6855	0	0	0	0	9260.197	24512.64
PSMB5	0	0	0	11530.339	0	0	0	0	0	0	0	0	0	0	0
ABCD3	294708.4	282064.53	262347.9	258048.92	199681.6	294609.2	0	0	0	0	15182.598	37579.562	402056.7	460049.75	434202.66
ITPRID2	81703.805	346581.3	127686.44	0	12630.397	0	0	0	0	0	0	252675.38	8156.122	23131.637	7417.676
NDUFS1	0	38858.535	39589.355	37207.98	15448.91	0	0	0	0	119315.54	746488.9	1224709.5	95812.79	26012.27	65968.13
POLD1	256324.6	366681.1	253373.92	67145.63	40612.656	186413.97	0	0	0	0	0	18068.43	44290.473	83187.76	104758.86
MAPK1	75315.484	111647.47	115056.02	205580.94	206177.67	216156.75	0	0	0	0	28007.229	66160.086	141209.56	170094.45	97450.8
RXRB	0	35829.812	42912.523	0	0	0	0	0	0	0	0	0	0	0	0
ERCC5	941862.75	986507.7	1023574.9	0	0	0	0	0	0	0	0	0	0	0	0
RBL1	39954.43	67712.56	46659.18	0	0	0	0	0	0	0	0	0	0	0	0
GTF2E2	54977.383	46726.062	34912.95	0	0	0	0	0	0	0	0	0	0	0	0
TPP2	183375.88	351644.75	369354.12	280908.34	287761.8	158538.23	29088.059	93325.7	39922.066	14491.11	56894.703	30758.59	780575.56	363644.38	418795.9
EPHA2	75133.09	142553.2	174451.81	2138804	2359697.8	2325292.8	0	4450.132	0	0	0	0	3005110.2	2888552.5	3106546
EPHA3	0	0	0	612298	589410.5	786546.9	0	0	0	0	0	0	812615.56	988937.8	861142.4
SHC1	49236.043	63238.934	105732.84	1102413.8	1156961.6	1352502.8	4853.6133	0	0	0	16056.679	30886.68	135112.17	92391.39	119757.92
MPG	0	40461.062	0	0	0	0	0	0	0	0	0	0	0	0	0
KDM5A	147231.17	64439.617	27574.252	0	0	0	0	0	0	0	0	0	0	0	0
TKT	254455.11	224622.61	182181.48	111691.44	141094.62	134095.12	13813.137	34529.223	43470.836	33530.562	69938.03	65339.324	170326.22	83515.016	109878.98
NOS1	0	230344.7	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINB3	0	0	0	0	0	0	0	0	0	0	38195.312	0	0	0	0
RBMS1	55596.4	0	0	30379.645	0	0	0	0	0	0	0	0	0	0	0
PML	91132.56	12986.379	0	0	0	0	0	0	0	0	0	0	0	0	0
TYK2	0	0	0	12065.715	10701.167	12396.094	0	0	0	0	0	0	0	2560.8613	0
EEF1D	30452.115	0	28570.8	0	0	0	0	0	0	0	0	0	0	0	12809.712
PDHA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARCKS	300037.84	258187.98	251843.25	335733	413671.03	307255.16	45515.05	85577.695	63242.906	5003.5713	51985.543	74502.3	615057.1	329831.7	571159.4
ALDH4A1	0	0	0	0	0	0	0	0	0	0	22939.033	0	0	0	0
ERP29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX6	803601.4	1058784	1292958.8	1217668.9	1198187	1288279.2	425711.66	381694.34	212259.2	417516.1	639742.8	606430.75	1706470.9	1250299.5	1328903.4
PRDX5	152285.58	124954.62	88972.375	47376.742	53493.7	30003.535	73992.65	85731.445	48688.03	27412.586	103417.39	93149.59	169621.25	171083.52	179228.55
PRDX3	438886.34	388217.28	338907.75	741526.56	751519.5	602711.5	841807	1080217.4	853411.9	413193.56	623185.2	750006.4	1012513.25	1019105.5	1146362.4
RPL12	104701.484	123430.05	138660.89	235236.25	304995.88	216048.97	0	0	0	197569.88	200931.33	149847.7	183124.19	192288.33	184467.75
ECHS1	0	0	0	102607.59	182369.1	84453.31	0	0	0	243626.81	105698.055	120236.95	27157.475	102398.14	23386.496
CMPK1	121744.62	161765.5	130232.234	73164.34	113712.66	85743.08	0	5826.8813	0	41335.63	29759.914	22685.715	205682.31	114194.53	172491.84
PEBP1	37784.18	22755.854	0	49086.945	29589.111	81043.81	0	19099.477	0	58095.402	86058.2	63419.836	155307.34	80830.53	107142.41
PDIA3	118796.9	169818.72	297658.22	655602.1	706011.4	582788	210358.38	302331.56	250690	113046.45	195647.36	390389.7	708304.6	692159.44	967192.75
PPP2R1A	453793.66	407965.72	428361.12	399214.75	328858.9	366379.72	48036.137	75739.24	39805.375	74981.41	103797.33	111828.64	511345.34	304686.5	472184.22
CDC27	22195.27	0	0	28802.648	0	31344.555	0	0	0	0	0	0	15710.994	27228.031	13050.612
WEE1	158959.56	128765.62	67652.84	0	0	0	0	0	0	0	0	0	0	0	0
CDC25C	30247.568	49961.98	77067.77	32811.914	41108.668	43732.68	0	0	0	0	0	0	83958.63	34060.926	100363.77
PPIF	0	0	0	15319.062	0	30250.111	11271.401	0	0	26370.824	30275.443	107949.09	35354.766	27400.957	34406.29
NKTR	161815.28	151553.17	135263.64	0	89327.44	0	0	0	0	0	0	0	170005.45	83665.555	140255
NMT1	65528.527	36141.836	0	11801.579	0	9566.564	0	0	0	0	15076.883	0	30974.924	0	19106.957
HMOX2	293242.03	318465.88	320665.22	742602.1	562095.44	597395.94	0	21014.012	25501.598	0	0	13259.682	964626.75	985242.25	860284.44
ADSS2	153868.77	292127.66	139051.5	200479.69	286351.44	223643.84	89500.33	76914.64	109568.27	91636.29	123194.11	154793.69	467594.2	369924.22	557124.75
ADSL	72492.016	46746.215	38018.895	23877.432	20396.29	57826.58	0	6411.924	0	31342.547	12937.501	30115.693	67208.555	69846.29	56168.06
CLIP1	0	24131.145	11761.198	0	0	0	0	0	0	0	0	0	0	0	0
SRI	0	0	0	16008.051	30576.484	0	7623.9463	22772.75	15926.66	0	0	11733.442	75297.3	48217.547	27075.11
SERPINB1	27713.941	0	0	0	39182.92	37984.363	60422.64	91230.914	73933.625	50881.42	0	0	119160.89	16966.56	84312.26
SLC7A1	0	0	0	9944.586	0	0	0	0	0	0	0	0	17952.67	37851.63	18093.816
ALDH1B1	13561.148	31131.91	0	0	15429.686	9374.1875	0	0	0	33387.34	282419.6	144079.2	49751.703	23070.836	39640.4
POLR2B	1053386.2	1450396.6	1127668.1	516549.44	414765.75	417675.16	0	0	0	14178.028	43579.97	98221.46	547147.8	474081.16	466501.4
SDHA	37506	0	10567.677	0	0	0	0	0	0	14434.446	91208.664	185102.73	0	0	10763.584
GDI1	65404.383	0	8461.825	0	0	0	0	0	0	0	0	38296.293	7983.119	0	5634.848
MAPK4	193650.1	220095.94	158470.02	0	0	101739.39	0	0	0	0	0	0	0	0	12535.098
MAT2A	506318.84	580581.5	604157.6	622049.44	805029.9	532590.1	381102.2	500866.03	401873.1	380988.7	500788.44	520274.25	887397.7	772542.1	927766.25
HOXA10	0	0	0	0	17807.842	0	0	13311.877	0	0	0	0	0	0	56422.133
PRKAR2B	39263.04	0	0	0	0	0	0	0	0	0	0	0	6412.297	0	0
CPS1	0	0	11287.697	0	0	0	0	0	0	25721.855	204551.22	452203.7	0	0	0
RRM2	313742.28	332084.88	296679.78	300105.84	300321.28	352374.56	115281.96	124961.84	68737.25	98723.086	85276.766	53363.727	342204.94	363432.2	337821.38
HIVEP2	43146.08	173051.8	80591.266	0	0	0	0	0	0	0	0	0	0	0	0
DNAJA1	117558.58	202419.12	142475.69	104618.14	184285.34	145534.12	15838.144	25779.875	0	7731.114	13210.791	7648.8213	229387.69	85598.22	136220.58
AKT1	18424.203	26020.305	18812.7	16437.477	26773.514	45162.117	0	0	0	0	0	0	16777.133	0	0
AKT2	92313.58	107142.75	61731.75	160651.22	107828.07	194614.83	0	0	0	0	9327.428	4873.2817	62593.285	40760.664	32073.701
UQCRC1	595404.3	535509.5	465105.75	351135.4	411468.6	294840.34	512752.25	605287.75	422105.97	351507.53	344477.9	399695.6	1169654.5	775379.44	951247.3
HIBADH	0	0	0	0	0	0	0	0	0	0	0	20693.863	0	0	0
ATIC	0	23257.334	31378.06	83903.62	0	65734.266	0	0	0	0	0	0	14968.822	0	0
HNRNPH3	0	0	0	0	0	0	0	0	0	0	10612.592	0	0	0	16075.379
HNRNPH1	368099.03	714308.75	638683.4	557847.8	602872.44	393708.12	278277.16	356565.94	295661.03	348649.66	472741.03	498765.38	739262.3	666734.25	778641.5
CASP14	0	0	39212.805	0	0	0	0	42380.15	70470.375	0	145672.08	0	0	0	0
YWHAB	93551.21	82846.875	109276.94	154326.52	173738.27	169851.8	0	0	0	19560.443	33342.54	21285.684	71111.984	113839.05	66526.25
STIP1	1086232.8	1126372.9	906779.44	672189.8	639309.94	447445.12	142139.89	231557.58	180174.62	274845.62	356304	338521.53	829427.2	778885.25	869288
S100A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9547.529
INPP5B	10452.02	30810.57	51618.688	0	0	0	0	0	0	0	0	0	497294.22	447345.7	524319.8
PRDX2	2433024.5	2013240.5	1231596.6	1065431.4	1265320	832367	317629.6	868069.4	557682.3	197464.14	415010.7	294423.22	2175330	1266929.2	1793613.2
ARRB2	0	0	0	0	0	0	0	0	0	0	0	0	10568.13	0	0
GK	31157.688	11430.05	17274.18	140815	22343.826	124331.55	0	0	0	0	0	11528.969	205186.81	181054.61	206770.62
GRK4	0	0	0	5737.6606	0	0	0	0	0	0	0	0	7540.952	0	0
DCTD	0	0	0	30673.672	35091.03	38949.387	0	0	0	6224.589	0	0	0	38821.18	69833.8
PYCR1	18502.969	0	0	0	0	0	0	0	0	30527.531	156905.97	192200.44	7680.1504	0	0
ELF1	18094.662	0	15891.259	0	0	0	0	0	0	0	0	0	0	0	0
GTF2H1	12014.389	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STX2	0	0	0	0	0	0	0	0	0	0	0	0	0	8624.324	0
RPL9	243988.56	307842.06	395057.3	267550.62	230466.72	391518.78	126562.74	148627.39	120878.8	159470.33	168674.92	237498.8	370163.62	376225.2	391794.78
CDH5	0	0	0	1499.6211	0	0	0	2133.3296	2368.1187	3557.0725	0	2244.3215	10024.66	9339.537	0
KIF5B	367669.66	438926.16	466148.8	856020.8	759744	831033.75	0	0	0	32819.69	63507.242	82909.62	831968.7	912520.6	918762.94
CSTF2	135444.4	144211.3	193492.31	323427.4	409652.8	501985.6	0	0	0	0	0	0	0	116099.77	0
DUT	272524	305322.5	383225.72	354712.84	2099578.8	287865.9	237934.38	256917.6	253128.62	130493.98	423378.28	595092.5	479015.9	380166.88	409177.3
GUCY1A2	0	0	0	0	25344.496	0	0	0	0	0	0	0	5012.7246	0	0
ABCC1	10451.801	0	0	91683.78	70837.734	66055.25	0	0	0	0	0	0	182335.72	107397.94	154858.27
KDELR2	104956.84	111478.016	94390.414	10791.51	45693.363	32569.492	0	0	0	0	3916.8464	4288.7563	69356.45	29981.969	8925.115
TTK	794315.6	656589.25	719533	690870	585319.2	786038.6	0	0	0	0	0	19472.762	467097.44	669637.56	819924
MCM4	1687846.9	2277174	1737708	543687.56	416189.72	524644.9	0	0	0	24107.793	73058.16	41427.883	848862.5	739828.4	681778.1
MCM5	176256.45	171418.64	135814.3	343830.8	250224.86	171163.77	0	0	11092.209	17534.938	83886.555	125937.03	354907.12	187958.8	263197.5
MCM7	790218.9	929559.8	935900.3	861383.06	635182.5	916696.06	54046.547	67075.91	132710.78	88782.805	151296.38	207611.25	907968	715604.7	821539.1
SHMT1	183939.75	184079.94	253421.48	82887.664	92789.41	93970.46	0	0	0	0	0	0	115248.17	154665.8	190648.42
SHMT2	63608.33	101768.53	82388.47	233100.72	205712.31	172881.23	0	0	8297.405	388161.25	558674.56	580636.25	122498.85	105805.38	121243.36
HSPA1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA4	96045.414	112803.64	120640.81	156256.14	116325.18	140666.84	8226.652	11683.159	0	10221.322	0	29734.812	98167.96	133228.81	91539.92
MPI	95990.64	62503.3	68553.27	0	16315.803	0	0	7829.967	0	0	30975.271	22174.867	137132	78333.63	89729.734
PRSS3	152560.75	156416.45	175033.31	193125.78	196281.72	184745.62	385792.7	349657	220815.3	222651.89	253625.3	183301.84	282535.3	217648.69	286889.72
PFN2	458856.6	318555.22	291284.5	204328.06	199586.66	142572.1	281984	348861.5	311633.7	118246.266	127545.85	233814.34	479244.44	557335.6	496367.9
CA8	51330.676	64828.074	49632.92	19874.037	27005.26	17533.592	0	27850.176	40295.29	35508.4	9353.147	46164.617	123848.18	107364.78	114747.72
CTNNA1	188097.11	279210.56	332042.66	2996125.2	2806044	3492325.2	0	0	0	0	0	7173.7827	455405	472429.44	402488.66
CTNNB1	0	0	0	81424.125	64503.844	15847.616	0	0	0	0	0	0	0	60072.984	0
NOS2	0	0	0	0	0	0	0	0	0	0	15586.49	0	47032.516	36253.65	574782.9
PHB	479422.75	584419.94	506733.9	591291.5	654941.6	630227	196103.7	284733.78	247970.64	369990.16	521763.38	485622	691546.44	799054	822857.6
SERPINB6	1099691.5	1230101.1	1163233.5	1048039.8	1508088.6	949568.6	139004.83	192575.16	577286.2	793531.9	936715.94	811223.2	1944887.2	1402608.2	1673880.6
NF2	53551.113	21014.05	126367.234	280901.66	170037.05	301218.12	0	0	0	0	0	0	83628.164	42725.57	75638.64
RDX	0	0	0	58932.785	58256.89	80112.84	0	0	0	0	0	0	0	0	0
RPA3	0	0	19135.906	10207.422	0	0	0	0	0	0	0	0	0	0	0
RFC4	15976.043	93418.86	58811.473	54943.57	82232.19	42104.992	0	11708.699	0	27311.7	29025.885	0	129644.1	72665.58	99757.94
RFC2	107988.79	206726.53	280850.25	263212.47	208028.06	224208.36	54857.688	69910.2	68653.05	73884.695	40539.535	139465.86	336831.38	306388.28	383129.8
RFC1	223015.23	370931.66	322651.12	43342.78	34657.816	44607.812	0	0	0	0	0	21249.883	172115.67	124465.17	141306.42
RPL22	55997.58	116622.76	156598.25	553690.5	598688	544006.94	233300.4	296389.8	263553.38	307135.47	378784.06	470971.12	369205.56	719619.06	613472.6
GTF2F1	279016.28	419955.12	382649.1	61818.94	54073.242	48843.53	0	21501.78	8187.4053	19627.479	51140.023	48997.19	127559.39	65271.152	105470.34
SPR	0	0	0	0	9877.834	0	0	0	0	0	0	0	0	0	0
KRT9	7223726	4719097.5	7623343	2979415.5	9009308	6385106.5	2197069.8	8651026	2495985	2.39E+07	6.37E+07	5722177.5	7976783	2685544.2	6165582
IRS1	12383.333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH9	6414489	6509723.5	6555306	5317442	4700325	5901067.5	147716.34	181234.39	174282.48	485113.62	613449.56	833775.75	4058093.5	3554080.8	4026684.2
MYH10	728286.44	897222.5	953208.75	1375749.9	615208.06	947240.4	3408.103	0	0	16402.998	17630.48	31705.469	380565.62	447741.28	407317.62
COPB2	33969.36	0	0	130037.96	80868	93056.44	0	0	0	0	0	11510.631	62799.6	0	66395.375
SOAT1	48570.785	55092.11	120525.28	348795.06	386119.38	389111.5	0	0	0	0	0	0	591499.4	523822.97	494322.72
ADD1	230660.03	269422.72	154916.72	1189754.5	1125084.8	1286443.6	0	8169.2354	0	0	0	12920.146	312761.44	247105.66	220262.08
ADD2	0	14433.984	11652.4375	238608.12	212000.56	382262.4	0	0	0	0	0	0	0	0	0
FUS	28905.137	43237.47	80626.7	0	28503.926	23095.875	12291.939	9925.977	0	0	0	20258.459	0	52413.96	37156.402
NUP214	1822531.6	2391346.5	2167657.2	514588.2	629400.7	652918.06	0	0	0	0	0	6047.776	776518.9	657041.8	723021.44
DEK	163001.33	132373.81	94107.98	221301.39	120715.7	133706.19	78661.81	86591.71	82342.39	94017.59	114867.625	131034.06	290974.47	225055.5	274221.66
ATP7B	12113.516	0	0	0	0	31487.887	0	0	0	0	0	0	163553.11	118891.47	143686.36
GLRX	28033.543	0	0	0	0	0	0	12828.708	14630.972	0	10345.714	0	0	0	0
AHR	75820	84137.45	93410.17	0	0	0	0	0	0	0	0	0	18278.305	0	0
KRT2	934540	1085031.2	1.14E+07	759040.2	2801590.2	1108033.8	342956.9	1.43E+07	1.24E+07	8449353	1.13E+07	1234476	3055559	1690126.9	2079037.9
HMGCL	87139.53	0	0	55547.312	59337.85	39881.9	40301.844	49034.53	42986.703	34563.273	48783.812	44497.21	178461.84	198686.83	166595.84
FLT4	0	0	0	0	0	0	0	0	0	0	0	0	0	40711.76	0
PSMC2	2196792.5	2187445.5	2361197	1913873.8	1652797.5	2110460.2	0	0	8599.217	19805.576	50528.34	27378.44	1642986.6	1771877.9	1611044.4
ARL2	0	0	0	35589.695	25064.307	26550.688	0	0	0	15915.142	161206.05	146717.25	24814.773	44893.656	25417.127
ARL3	35667.37	23405.797	18129.896	66524.836	22902.135	23307.635	6343.9614	15569.311	0	8329.363	0	27336.46	46125.125	84381.39	105073.445
ATP5F1C	152905.69	84927.76	99790.86	199639.45	204173.19	188430.11	22474.027	11824.819	17925.355	107261.12	190973.61	269065.84	106452.77	216281.5	141780.38
ATP6V1E1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPOX	93694.8	172284.78	111457.63	22475.643	91860.8	26225.672	38719.457	104158.67	42286.156	0	19342.646	24820.639	308072.12	285162.97	311397.88
RPL4	1290567.5	2191596.5	1406819.4	1435068.5	2124591.8	1832282.8	522166.56	1601616.6	628901.44	599726.44	758761.94	1002634.3	1768936.2	2395838	1505514.6
NUDT1	11361.58	0	0	0	0	0	0	0	0	0	0	0	23838.924	11657.609	18454.758
LONP1	80747.32	155160.45	73614.3	71819.86	64058.23	22236.582	0	0	0	41715.484	343443.44	201759.6	346704.7	153595.78	332705.97
PGM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
