Protein	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	HEK293_1	HEK293_2	HEK293_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
ASF1A	26544.414	0	0	34644.266	55393.38	37720.375	21616.389	26690.7	23118.432	38206.086	46831.68	47016.46	0	69980.61	118017.92
DRG1	193867.47	219949.45	195378.56	171135.55	194333.81	211523.97	12537.973	27243.887	19299.18	51318.062	113982.3	111838.516	185116.25	215328.88	207836.06
BTRC	23843.18	14570.813	10268.802	11522.098	4381.4355	5248.048	0	0	0	0	0	0	0	2805.9146	0
NCKAP1	375503.28	302689.22	205744.75	879996.56	1017345.5	548357.44	0	0	0	7189.3335	0	0	1433133.9	681139.9	784859.25
PKIG	0	0	0	0	0	0	17324.719	21576.545	17375.137	22083.037	25538.297	28518.342	0	0	0
EXOC6B	0	0	0	3582.2798	0	0	0	0	0	0	0	0	195884.4	393041.16	307503.8
AKAP2	44413.656	53343.89	44065.24	39951.906	71685.984	71502.81	0	0	0	0	0	0	15489.332	0	0
SSX2IP	972544.6	1110395.2	1371934.9	269500	249736.5	256684.58	0	0	0	0	11137.303	10860.496	230623.02	311132.47	239088.97
DIP2C	0	0	25783.814	12768.648	0	72305.55	0	0	0	0	0	0	0	0	0
ICE1	708905.9	863459.8	729755.75	0	0	0	0	0	0	0	0	0	0	0	39439.664
EFR3B	0	0	0	399730	376150.2	405788.06	0	0	0	0	0	0	0	0	0
MYRF	0	0	0	0	0	0	0	0	0	0	0	0	48399.46	98437.5	71957.66
ATP11B	0	0	0	0	0	0	0	0	0	0	0	0	0	12220.092	0
DNAJC16	18974.049	0	0	11777.48	10422.593	9586.502	0	0	0	0	63149.34	0	82558.58	49436.227	72530.695
SBNO2	311154.2	255959.42	299513.56	0	0	0	0	0	0	0	0	0	0	0	0
INPP5F	9472.2295	4393.4487	32438.525	153090.67	68623.16	135788.58	0	0	0	0	0	0	715547.56	761354.4	870904.4
FNDC3A	0	2961.894	0	85535.62	48445.742	147837.55	0	0	0	0	0	0	0	49475.53	48932.613
NISCH	60415.59	0	15329.967	114792.25	49750.484	199531.27	0	0	0	0	0	0	114131.805	79686.08	57938.793
NINL	0	0	25957.277	0	0	0	0	0	0	0	0	0	0	0	6295.3394
PIKFYVE	40778.5	147130.06	65565.07	0	438.258	0	0	0	0	0	0	0	186314.55	72962.266	154213.88
WDR37	16081.013	0	0	0	4563.893	0	0	0	0	0	0	0	11792.662	0	0
EPB41L3	507668.5	467145.88	536949.94	3469823.2	3362131	4138245	0	0	0	0	0	0	771148.94	715135.5	718035.6
USP20	0	0	45471.08	39103.938	0	0	0	0	0	0	0	0	0	31534.78	0
DIS3	86582.45	126645.836	69260.27	90658.61	55013.14	113333.46	6133.961	7868.7563	8827.221	12088.275	0	19517.844	74444.555	33782.082	100281.266
TRAPPC8	0	20838.39	0	0	26053.617	29552.709	0	0	0	0	0	6157.3813	662088.75	841230.3	725013.8
LRCH1	28644.766	32503.367	45304.6	39721.156	12012.835	47835.688	0	0	0	0	0	0	0	0	0
KLHL20	0	0	0	34818.395	0	33744.637	0	0	0	0	0	0	0	0	0
RCL1	147411.02	58132.867	80273.53	58356.094	63351.04	23332.748	0	0	0	0	0	0	60049.04	49077.414	69064.32
ATP8A1	0	0	0	0	0	0	0	0	0	0	0	0	49871.29	22977.873	23043.836
GSTK1	28989.982	0	29298.695	60900.293	33451.918	17249.492	0	4340.9277	22896.834	39126.79	101276.84	96131.56	60852.01	22401.498	20117.404
MRPS28	36264.234	15956.633	19130.975	0	41423.055	39817.902	0	0	0	157851.88	281179.88	445069.6	15107.334	35165.207	13171.615
DDX52	273814.06	274817.38	259988.66	84744.09	128728.125	75924.45	0	11032.869	10254.723	5080.6255	15680	20968.17	194064.12	111274.086	156112.44
MRPS17	0	0	0	16738.559	0	0	0	0	0	41411.4	56081.977	78790.35	0	47825.016	45895.945
MRPS7	0	0	0	0	0	0	0	0	0	94171.66	97767.09	132583.08	0	0	0
POLDIP2	26122.863	69526.83	111317.45	183439.64	139156.12	135488.05	3476.283	0	0	360681.22	721435.6	797482.25	97866.96	186364.78	95298.19
AP3M1	332396.6	465541.66	164980.27	546079.94	473841.97	520514.44	11177.141	9633.227	12449.139	54072.07	192819.89	233356.6	447760.03	362128.25	383754.06
LEMD3	257234.19	618681.7	332914.78	533982.56	562457	676147.5	0	5316.356	14577.045	0	7324.0547	19549.516	919868.1	1013733.94	1057926.2
CARHSP1	172785.42	249903.62	183179.12	148279.5	387939.84	53339.305	173918.17	189484.12	119736.43	274361.66	268515.94	238505.7	464878.06	359229.44	387445.2
COG6	0	43239	50963.723	47253.9	12543.552	14410.4375	0	0	0	0	0	0	21111.9	0	12276.489
THRAP3	684747.25	925492.3	859505.4	38557.72	0	29280.137	0	0	0	0	9476.65	0	110762.984	45581.09	24469.512
WBP11	33079.473	32312.824	0	0	0	0	0	0	0	0	0	0	0	0	0
TDRKH	0	24410.367	0	0	0	0	0	0	0	0	13737.377	0	175183.45	276599.25	239176.97
MED16	0	32066.182	0	0	0	0	0	0	0	0	0	0	0	0	0
NOP58	537914.75	784748.75	559432.06	688226.9	651649.1	478554	238015.14	258293.42	219647.44	188669.9	249967.92	361109.22	886762.8	623452.9	719989.4
GIT1	178669.11	207756.95	174171.66	49414.82	41752.383	60255.547	0	0	0	0	0	0	19405.434	8988.925	0
ZNF281	1486629.1	1234767.1	1037560.56	41852.695	19194.812	0	0	0	0	0	0	0	132736.73	28683.963	57850.04
ARL2BP	37866.7	0	33755.434	115495.19	162038.5	85894.64	77982.05	102919.53	65111.83	36963.3	70114.35	96897.21	104486.9	136008.66	169110.97
SUGT1	403011.06	566452.25	700931.75	247298.3	262085.56	299544.84	72867.95	84225.8	88419.914	61393.89	106649.625	112193.41	285468.78	289232.78	389399.97
MTO1	113168.76	88014.78	74508.04	0	0	0	0	0	0	0	14400.192	52398.125	45530.957	32373.678	0
