Bait	PreyGene	#Rep	#Pep	#Frag	AvgP	BFDR
MAPRE3	DNAJC13	3	68	26|26|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13|13|25|13|13|26|13|13|13|12|13|26|13|13|13|13|13|26|13|13|13|26|13|13|13|13|26|13|13|13|13|26|13|13|13|13|13|13|13|13|26|13|13|13|13|13|10|13	0.9167	0.0343
LMNA	DNAJC14	3	1	13	0.3333	0.2523
ACTB	DNAJC16	3	12	13|13|13|13|13|13|13|13|13|13|26|13	0.0549	0.4722
KRT8	DNAJC16	3	12	13|13|13|13|13|13|13|13|13|13|26|13	0.1096	0.4389
LMNA	DNAJC16	3	12	13|13|13|13|13|13|13|13|13|13|26|13	0.9998	0.0000
MAPRE3	DNAJC16	3	12	13|13|13|13|13|13|13|13|13|13|26|13	0.0545	0.4722
ACTB	DNAJC17	3	8	13|13|13|13|13|13|13|13	0.3827	0.2396
KRT8	DNAJC17	3	8	13|13|13|13|13|13|13|13	0.2363	0.3530
LMNA	DNAJC17	3	8	13|13|13|13|13|13|13|13	0.9770	0.0132
MAPRE3	DNAJC17	3	8	13|13|13|13|13|13|13|13	0.0723	0.4654
ACTB	DNAJC2	3	4	13|13|13|13	0.3277	0.3069
KRT8	DNAJC2	3	4	13|13|13|13	0.3242	0.3139
LMNA	DNAJC2	3	4	13|13|13|13	0.1092	0.4396
ACTB	DNAJC21	3	8	13|13|13|13|26|13|13|13	0.9530	0.0255
CTNNA1	DNAJC21	3	8	13|13|13|13|26|13|13|13	0.6309	0.1363
KRT8	DNAJC21	3	8	13|13|13|13|26|13|13|13	0.9639	0.0219
LMNA	DNAJC21	3	8	13|13|13|13|26|13|13|13	0.6592	0.1168
MAPRE3	DNAJC21	3	8	13|13|13|13|26|13|13|13	0.8784	0.0446
CTNNA1	DNAJC25	3	1	13	0.3331	0.2825
CTNNA1	DNAJC30	3	2	13|13	0.1590	0.4098
MAPRE3	DNAJC30	3	2	13|13	0.1667	0.3865
KRT8	DNAJC5G	3	1	13	0.3333	0.2523
ACTB	DNAJC6	3	2	13|13	0.1667	0.3865
LMNA	DNAJC6	3	2	13|13	0.1666	0.3904
MAPRE3	DNAJC6	3	2	13|13	0.1666	0.3904
ACTB	DNAJC7	3	7	13|13|13|26|13|13|13	0.9538	0.0253
CTNNA1	DNAJC7	3	7	13|13|13|26|13|13|13	0.8233	0.0619
KRT8	DNAJC7	3	7	13|13|13|26|13|13|13	0.9795	0.0110
LMNA	DNAJC7	3	7	13|13|13|26|13|13|13	0.9512	0.0260
MAPRE3	DNAJC7	3	7	13|13|13|26|13|13|13	0.6925	0.1051
LMNA	DNAJC8	3	1	26	0.8857	0.0423
ACTB	DNAJC9	3	8	13|13|13|13|13|26|13|11	0.8659	0.0490
CTNNA1	DNAJC9	3	8	13|13|13|13|13|26|13|11	0.1508	0.4143
KRT8	DNAJC9	3	8	13|13|13|13|13|26|13|11	0.5167	0.1787
LMNA	DNAJC9	3	8	13|13|13|13|13|26|13|11	0.9657	0.0211
MAPRE3	DNAJC9	3	8	13|13|13|13|13|26|13|11	0.6298	0.1369
MAPRE3	DNASE1L3	3	1	13	0.3332	0.2754
MAPRE3	DNHD1	3	1	13	0.3333	0.2523
ACTB	DNM1	3	2	13|13	0.1664	0.3977
KRT8	DNM1	3	2	13|13	0.1666	0.3904
ACTB	DNM1L	3	23	13|13|13|13|13|26|13|13|25|13|13|13|13|12|13|26|13|13|26|13|13|26|13	0.9491	0.0266
CTNNA1	DNM1L	3	23	13|13|13|13|13|26|13|13|25|13|13|13|13|12|13|26|13|13|26|13|13|26|13	0.1570	0.4113
KRT8	DNM1L	3	23	13|13|13|13|13|26|13|13|25|13|13|13|13|12|13|26|13|13|26|13|13|26|13	0.9557	0.0248
LMNA	DNM1L	3	23	13|13|13|13|13|26|13|13|25|13|13|13|13|12|13|26|13|13|26|13|13|26|13	0.4293	0.2193
