Bait	PreyGene	#Rep	#Pep	#Frag	AvgP	BFDR
ACTB	A2M	3	6	13|13|13|13|13|13	0.3333	0.2523
ACTB	A2ML1	3	5	13|13|13|13|13	0.3333	0.2523
ACTB	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.8267	0.0610
CTNNA1	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.5426	0.1664
KRT8	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.7754	0.0767
LMNA	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.9801	0.0106
MAPRE3	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.2868	0.3390
ACTB	AAGAB	3	5	13|13|13|13|13	0.8480	0.0545
KRT8	AAGAB	3	5	13|13|13|13|13	0.9664	0.0207
MAPRE3	AAGAB	3	5	13|13|13|13|13	0.1493	0.4148
ACTB	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.9652	0.0213
CTNNA1	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.4452	0.2083
KRT8	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.9657	0.0211
LMNA	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.1966	0.3772
MAPRE3	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.7284	0.0943
LMNA	AAMDC	3	1	13	0.6663	0.1126
ACTB	AAR2	3	6	13|13|12|13|26|13	0.6027	0.1464
KRT8	AAR2	3	6	13|13|12|13|26|13	0.9972	0.0007
LMNA	AAR2	3	6	13|13|12|13|26|13	0.6873	0.1064
ACTB	AARD	3	2	13|13	0.1667	0.3865
LMNA	AARD	3	2	13|13	0.1639	0.4039
ACTB	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.8707	0.0471
CTNNA1	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.0911	0.4557
KRT8	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.8017	0.0693
LMNA	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.0902	0.4561
MAPRE3	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.3003	0.3348
ACTB	AARS2	3	5	13|13|13|13|13	0.2047	0.3741
CTNNA1	AARS2	3	5	13|13|13|13|13	0.1108	0.4356
KRT8	AARS2	3	5	13|13|13|13|13	0.4544	0.2056
LMNA	AARS2	3	5	13|13|13|13|13	0.3248	0.3129
ACTB	AARSD1	3	5	13|13|13|13|13	0.1070	0.4438
CTNNA1	AARSD1	3	5	13|13|13|13|13	0.3189	0.3220
KRT8	AARSD1	3	5	13|13|13|13|13	0.1111	0.4265
LMNA	AARSD1	3	5	13|13|13|13|13	0.1111	0.4265
LMNA	AASDH	3	6	13|13|13|13|13|13	0.9906	0.0037
MAPRE3	AASDH	3	6	13|13|13|13|13|13	0.1068	0.4442
ACTB	AASDHPPT	3	6	13|13|26|13|13|13	0.8307	0.0599
KRT8	AASDHPPT	3	6	13|13|26|13|13|13	0.9490	0.0267
LMNA	AASDHPPT	3	6	13|13|26|13|13|13	0.9603	0.0232
ACTB	AATF	3	9	13|13|12|13|13|13|13|12|13	0.0629	0.4691
LMNA	AATF	3	9	13|13|12|13|13|13|13|12|13	0.3158	0.3255
MAPRE3	AATF	3	9	13|13|12|13|13|13|13|12|13	0.0496	0.4742
CTNNA1	ABCA10	3	1	13	0.3314	0.2994
LMNA	ABCA12	3	2	12|13	0.1665	0.3953
MAPRE3	ABCA12	3	2	12|13	0.1666	0.3904
ACTB	ABCA3	3	1	13	0.3333	0.2523
ACTB	ABCA4	3	2	13|13	0.1667	0.3865
LMNA	ABCA4	3	2	13|13	0.1664	0.3977
MAPRE3	ABCA5	3	2	13|13	0.1667	0.3865
ACTB	ABCA7	3	3	13|13|13	0.1091	0.4398
MAPRE3	ABCA7	3	3	13|13|13	0.1109	0.4348
ACTB	ABCB10	3	2	13|13	0.1424	0.4167
KRT8	ABCB10	3	2	13|13	0.6642	0.1143
LMNA	ABCB10	3	2	13|13	0.1115	0.4264
MAPRE3	ABCB11	3	1	13	0.3333	0.2523
ACTB	ABCB4	3	2	11|13	0.1667	0.3865
LMNA	ABCB4	3	2	11|13	0.1666	0.3904
CTNNA1	ABCB5	3	4	13|13|13|13	0.1110	0.4327
LMNA	ABCB5	3	4	13|13|13|13	0.1105	0.4369
KRT8	ABCB6	3	2	13|13	0.3331	0.2825
ACTB	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.1928	0.3790
CTNNA1	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.1934	0.3787
KRT8	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.8389	0.0572
LMNA	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.9921	0.0030
MAPRE3	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.1248	0.4226
ACTB	ABCB8	3	1	13	0.3328	0.2902
ACTB	ABCC1	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13	0.5150	0.1794
CTNNA1	ABCC1	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13	0.1353	0.4188
KRT8	ABCC1	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13	0.9749	0.0152
LMNA	ABCC1	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13	0.5383	0.1691
MAPRE3	ABCC1	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13	0.0597	0.4705
KRT8	ABCC12	3	2	13|12	0.1665	0.3953
LMNA	ABCC12	3	2	13|12	0.1666	0.3904
ACTB	ABCC2	3	2	13|13	0.1667	0.3865
LMNA	ABCC2	3	2	13|13	0.1665	0.3953
KRT8	ABCC3	3	3	13|13|13	0.3325	0.2937
LMNA	ABCC3	3	3	13|13|13	0.1111	0.4265
KRT8	ABCC4	3	2	13|13	0.1666	0.3904
LMNA	ABCC5	3	1	11	0.3325	0.2937
ACTB	ABCD1	3	19	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.6343	0.1347
CTNNA1	ABCD1	3	19	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.0621	0.4695
KRT8	ABCD1	3	19	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.9777	0.0125
LMNA	ABCD1	3	19	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.3428	0.2505
MAPRE3	ABCD1	3	19	13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13|13	0.2382	0.3525
KRT8	ABCD2	3	1	13	0.3333	0.2523
ACTB	ABCD3	3	19	13|13|26|13|13|13|12|13|26|13|13|13|13|13|13|26|13|26|13	0.7041	0.1019
CTNNA1	ABCD3	3	19	13|13|26|13|13|13|12|13|26|13|13|13|13|13|13|26|13|26|13	0.2579	0.3464
KRT8	ABCD3	3	19	13|13|26|13|13|13|12|13|26|13|13|13|13|13|13|26|13|26|13	0.9898	0.0042
LMNA	ABCD3	3	19	13|13|26|13|13|13|12|13|26|13|13|13|13|13|13|26|13|26|13	0.8972	0.0391
MAPRE3	ABCD3	3	19	13|13|26|13|13|13|12|13|26|13|13|13|13|13|13|26|13|26|13	0.5336	0.1714
ACTB	ABCE1	3	12	13|13|13|13|13|13|13|13|25|13|13|13	0.9755	0.0146
CTNNA1	ABCE1	3	12	13|13|13|13|13|13|13|13|25|13|13|13	0.3926	0.2365
KRT8	ABCE1	3	12	13|13|13|13|13|13|13|13|25|13|13|13	0.9651	0.0214
LMNA	ABCE1	3	12	13|13|13|13|13|13|13|13|25|13|13|13	0.0531	0.4728
MAPRE3	ABCE1	3	12	13|13|13|13|13|13|13|13|25|13|13|13	0.7848	0.0740
ACTB	ABCF1	3	20	26|13|13|26|26|13|26|12|13|13|13|13|13|13|13|13|13|13|13|13	0.9713	0.0180
CTNNA1	ABCF1	3	20	26|13|13|26|26|13|26|12|13|13|13|13|13|13|13|13|13|13|13|13	0.8351	0.0583
KRT8	ABCF1	3	20	26|13|13|26|26|13|26|12|13|13|13|13|13|13|13|13|13|13|13|13	0.9727	0.0170
LMNA	ABCF1	3	20	26|13|13|26|26|13|26|12|13|13|13|13|13|13|13|13|13|13|13|13	0.8961	0.0393
MAPRE3	ABCF1	3	20	26|13|13|26|26|13|26|12|13|13|13|13|13|13|13|13|13|13|13|13	0.9465	0.0272
ACTB	ABCF2	3	17	13|13|13|26|13|13|26|13|13|13|13|13|13|13|13|26|13	0.9731	0.0166
CTNNA1	ABCF2	3	17	13|13|13|26|13|13|26|13|13|13|13|13|13|13|13|26|13	0.6917	0.1054
KRT8	ABCF2	3	17	13|13|13|26|13|13|26|13|13|13|13|13|13|13|13|26|13	0.9794	0.0112
LMNA	ABCF2	3	17	13|13|13|26|13|13|26|13|13|13|13|13|13|13|13|26|13	0.6782	0.1082
MAPRE3	ABCF2	3	17	13|13|13|26|13|13|26|13|13|13|13|13|13|13|13|26|13	0.9342	0.0300
ACTB	ABCF3	3	20	13|13|13|13|13|13|13|26|26|13|13|13|13|13|13|13|13|13|13|13	0.9670	0.0203
CTNNA1	ABCF3	3	20	13|13|13|13|13|13|13|26|26|13|13|13|13|13|13|13|13|13|13|13	0.0949	0.4540
KRT8	ABCF3	3	20	13|13|13|13|13|13|13|26|26|13|13|13|13|13|13|13|13|13|13|13	0.9739	0.0159
LMNA	ABCF3	3	20	13|13|13|13|13|13|13|26|26|13|13|13|13|13|13|13|13|13|13|13	0.1916	0.3795
MAPRE3	ABCF3	3	20	13|13|13|13|13|13|13|26|26|13|13|13|13|13|13|13|13|13|13|13	0.5997	0.1472
ACTB	ABHD12	3	3	13|10|13	0.3225	0.3170
CTNNA1	ABHD12	3	3	13|10|13	0.3083	0.3306
KRT8	ABHD12	3	3	13|10|13	0.2152	0.3666
LMNA	ABHD12	3	3	13|10|13	0.5494	0.1622
MAPRE3	ABHD12	3	3	13|10|13	0.3104	0.3292
ACTB	ABHD14B	3	1	13	0.3191	0.3217
KRT8	ABHD14B	3	1	13	0.2391	0.3523
KRT8	ABHD18	3	1	13	0.3327	0.2916
ACTB	ABHD8	3	1	13	0.3333	0.2523
ACTB	ABI1	3	8	13|13|13|13|13|13|13|13	0.9882	0.0052
CTNNA1	ABI1	3	8	13|13|13|13|13|13|13|13	0.7801	0.0751
KRT8	ABI1	3	8	13|13|13|13|13|13|13|13	0.9804	0.0104
LMNA	ABI1	3	8	13|13|13|13|13|13|13|13	0.1574	0.4111
MAPRE3	ABI1	3	8	13|13|13|13|13|13|13|13	0.7776	0.0759
ACTB	ABI2	3	2	13|13	0.4957	0.1867
CTNNA1	ABI2	3	2	13|13	0.1616	0.4070
KRT8	ABI2	3	2	13|13	0.8276	0.0607
LMNA	ABI3BP	3	1	13	0.3325	0.2937
ACTB	ABL1	3	10	13|13|13|13|13|13|13|13|13|13	0.9851	0.0070
KRT8	ABL1	3	10	13|13|13|13|13|13|13|13|13|13	0.2586	0.3462
LMNA	ABL1	3	10	13|13|13|13|13|13|13|13|13|13	0.1256	0.4224
MAPRE3	ABL1	3	10	13|13|13|13|13|13|13|13|13|13	0.2554	0.3473
ACTB	ABL2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.8674	0.0485
CTNNA1	ABL2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.0458	0.4758
KRT8	ABL2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.4011	0.2334
LMNA	ABL2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.1547	0.4126
MAPRE3	ABL2	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.3089	0.3301
ACTB	ABLIM1	3	25	13|13|13|13|13|13|13|13|13|13|26|13|13|13|26|26|26|26|13|13|13|26|13|13|26	0.9922	0.0028
CTNNA1	ABLIM1	3	25	13|13|13|13|13|13|13|13|13|13|26|13|13|13|26|26|26|26|13|13|13|26|13|13|26	0.2571	0.3468
KRT8	ABLIM1	3	25	13|13|13|13|13|13|13|13|13|13|26|13|13|13|26|26|26|26|13|13|13|26|13|13|26	0.9341	0.0300
LMNA	ABLIM1	3	25	13|13|13|13|13|13|13|13|13|13|26|13|13|13|26|26|26|26|13|13|13|26|13|13|26	0.1454	0.4159
MAPRE3	ABLIM1	3	25	13|13|13|13|13|13|13|13|13|13|26|13|13|13|26|26|26|26|13|13|13|26|13|13|26	0.4873	0.1915
ACTB	ABLIM3	3	13	13|13|13|13|13|13|13|13|13|13|13|13|13	0.9964	0.0010
CTNNA1	ABLIM3	3	13	13|13|13|13|13|13|13|13|13|13|13|13|13	0.5804	0.1521
KRT8	ABLIM3	3	13	13|13|13|13|13|13|13|13|13|13|13|13|13	0.8864	0.0422
LMNA	ABLIM3	3	13	13|13|13|13|13|13|13|13|13|13|13|13|13	0.0768	0.4637
MAPRE3	ABLIM3	3	13	13|13|13|13|13|13|13|13|13|13|13|13|13	0.2510	0.3484
ACTB	ABR	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.9740	0.0159
CTNNA1	ABR	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.2488	0.3491
KRT8	ABR	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.9238	0.0324
LMNA	ABR	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.6697	0.1098
MAPRE3	ABR	3	12	13|13|13|13|13|13|13|13|13|13|13|13	0.5181	0.1782
ACTB	ABRACL	3	1	13	0.3324	0.2946
LMNA	ABRAXAS1	3	3	13|13|13	0.5491	0.1624
ACTB	ABRAXAS2	3	2	13|13	0.4827	0.1948
KRT8	ABRAXAS2	3	2	13|13	0.4881	0.1910
MAPRE3	ABRAXAS2	3	2	13|13	0.1526	0.4136
ACTB	ABTB2	3	5	13|13|13|13|13	0.6497	0.1237
KRT8	ABTB2	3	5	13|13|13|13|13	0.9799	0.0107
MAPRE3	ABTB2	3	5	13|13|13|13|13	0.0923	0.4552
ACTB	ACAA1	3	3	13|13|13	0.1006	0.4511
KRT8	ACAA1	3	3	13|13|13	0.2039	0.3745
LMNA	ACAA1	3	3	13|13|13	0.1108	0.4356
ACTB	ACAA2	3	5	13|13|12|13|13	0.3285	0.3054
KRT8	ACAA2	3	5	13|13|12|13|13	0.1093	0.4392
LMNA	ACAA2	3	5	13|13|12|13|13	0.2136	0.3682
ACTB	ACACA	3	133	26|13|13|12|26|26|26|13|13|13|26|13|13|26|13|13|26|26|13|13|13|26|13|26|26|13|13|12|13|26|26|13|26|26|25|13|13|13|39|13|26|13|26|13|26|26|39|12|39|25|13|13|25|25|25|26|13|13|13|26|26|39|26|13|13|26|13|13|26|13|13|25|26|13|13|13|13|13|13|13|13|13|26|26|26|13|13|13|26|13|26|26|13|13|26|26|13|13|13|26|13|13|13|13|13|26|26|26|26|13|13|13|26|13|13|26|13|39|26|26|13|13|13|13|13|13|13|26|13|13|12|23|13	0.7631	0.0810
CTNNA1	ACACA	3	133	26|13|13|12|26|26|26|13|13|13|26|13|13|26|13|13|26|26|13|13|13|26|13|26|26|13|13|12|13|26|26|13|26|26|25|13|13|13|39|13|26|13|26|13|26|26|39|12|39|25|13|13|25|25|25|26|13|13|13|26|26|39|26|13|13|26|13|13|26|13|13|25|26|13|13|13|13|13|13|13|13|13|26|26|26|13|13|13|26|13|26|26|13|13|26|26|13|13|13|26|13|13|13|13|13|26|26|26|26|13|13|13|26|13|13|26|13|39|26|26|13|13|13|13|13|13|13|26|13|13|12|23|13	0.8101	0.0665
KRT8	ACACA	3	133	26|13|13|12|26|26|26|13|13|13|26|13|13|26|13|13|26|26|13|13|13|26|13|26|26|13|13|12|13|26|26|13|26|26|25|13|13|13|39|13|26|13|26|13|26|26|39|12|39|25|13|13|25|25|25|26|13|13|13|26|26|39|26|13|13|26|13|13|26|13|13|25|26|13|13|13|13|13|13|13|13|13|26|26|26|13|13|13|26|13|26|26|13|13|26|26|13|13|13|26|13|13|13|13|13|26|26|26|26|13|13|13|26|13|13|26|13|39|26|26|13|13|13|13|13|13|13|26|13|13|12|23|13	0.8658	0.0490
LMNA	ACACA	3	133	26|13|13|12|26|26|26|13|13|13|26|13|13|26|13|13|26|26|13|13|13|26|13|26|26|13|13|12|13|26|26|13|26|26|25|13|13|13|39|13|26|13|26|13|26|26|39|12|39|25|13|13|25|25|25|26|13|13|13|26|26|39|26|13|13|26|13|13|26|13|13|25|26|13|13|13|13|13|13|13|13|13|26|26|26|13|13|13|26|13|26|26|13|13|26|26|13|13|13|26|13|13|13|13|13|26|26|26|26|13|13|13|26|13|13|26|13|39|26|26|13|13|13|13|13|13|13|26|13|13|12|23|13	0.8301	0.0601
MAPRE3	ACACA	3	133	26|13|13|12|26|26|26|13|13|13|26|13|13|26|13|13|26|26|13|13|13|26|13|26|26|13|13|12|13|26|26|13|26|26|25|13|13|13|39|13|26|13|26|13|26|26|39|12|39|25|13|13|25|25|25|26|13|13|13|26|26|39|26|13|13|26|13|13|26|13|13|25|26|13|13|13|13|13|13|13|13|13|26|26|26|13|13|13|26|13|26|26|13|13|26|26|13|13|13|26|13|13|13|13|13|26|26|26|26|13|13|13|26|13|13|26|13|39|26|26|13|13|13|13|13|13|13|26|13|13|12|23|13	0.7166	0.0983
ACTB	ACACB	3	62	13|13|13|13|13|13|26|13|13|13|13|13|13|26|13|13|26|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|12|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|12|13|26|13|13|13|13|13	0.8333	0.0589
CTNNA1	ACACB	3	62	13|13|13|13|13|13|26|13|13|13|13|13|13|26|13|13|26|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|12|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|12|13|26|13|13|13|13|13	0.8636	0.0497
KRT8	ACACB	3	62	13|13|13|13|13|13|26|13|13|13|13|13|13|26|13|13|26|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|12|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|12|13|26|13|13|13|13|13	0.8844	0.0429
LMNA	ACACB	3	62	13|13|13|13|13|13|26|13|13|13|13|13|13|26|13|13|26|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|12|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|12|13|26|13|13|13|13|13	0.8776	0.0449
MAPRE3	ACACB	3	62	13|13|13|13|13|13|26|13|13|13|13|13|13|26|13|13|26|13|13|26|13|13|13|13|13|13|13|13|13|26|13|13|13|12|13|13|13|13|13|13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|12|13|26|13|13|13|13|13	0.7427	0.0891
ACTB	ACAD9	3	5	13|13|13|13|13	0.2184	0.3624
CTNNA1	ACAD9	3	5	13|13|13|13|13	0.2222	0.3566
KRT8	ACAD9	3	5	13|13|13|13|13	0.8770	0.0451
MAPRE3	ACAD9	3	5	13|13|13|13|13	0.2120	0.3697
ACTB	ACADM	3	6	13|13|13|13|13|13	0.1111	0.4265
CTNNA1	ACADM	3	6	13|13|13|13|13|13	0.2210	0.3601
KRT8	ACADM	3	6	13|13|13|13|13|13	0.2217	0.3592
LMNA	ACADM	3	6	13|13|13|13|13|13	0.2210	0.3601
ACTB	ACADVL	3	10	13|13|13|13|13|13|13|13|13|13	0.2605	0.3456
CTNNA1	ACADVL	3	10	13|13|13|13|13|13|13|13|13|13	0.3572	0.2476
KRT8	ACADVL	3	10	13|13|13|13|13|13|13|13|13|13	0.2490	0.3490
LMNA	ACADVL	3	10	13|13|13|13|13|13|13|13|13|13	0.2441	0.3504
MAPRE3	ACADVL	3	10	13|13|13|13|13|13|13|13|13|13	0.1177	0.4251
ACTB	ACAP2	3	4	13|13|13|13	0.3226	0.3168
KRT8	ACAP2	3	4	13|13|13|13	0.3262	0.3095
ACTB	ACAT1	3	7	13|13|13|13|13|13|13	0.6375	0.1327
CTNNA1	ACAT1	3	7	13|13|13|13|13|13|13	0.3985	0.2345
KRT8	ACAT1	3	7	13|13|13|13|13|13|13	0.7318	0.0929
LMNA	ACAT1	3	7	13|13|13|13|13|13|13	0.2341	0.3537
MAPRE3	ACAT1	3	7	13|13|13|13|13|13|13	0.4493	0.2072
ACTB	ACAT2	3	2	13|13	0.1604	0.4084
CTNNA1	ACAT2	3	2	13|13	0.1665	0.3953
KRT8	ACAT2	3	2	13|13	0.4712	0.2001
LMNA	ACAT2	3	2	13|13	0.2873	0.3388
ACTB	ACBD3	3	6	13|13|13|13|13|13	0.6473	0.1257
CTNNA1	ACBD3	3	6	13|13|13|13|13|13	0.5286	0.1737
KRT8	ACBD3	3	6	13|13|13|13|13|13	0.3233	0.3157
LMNA	ACBD3	3	6	13|13|13|13|13|13	0.2092	0.3718
MAPRE3	ACBD3	3	6	13|13|13|13|13|13	0.3139	0.3269
ACTB	ACBD6	3	3	13|13|13	0.6495	0.1239
CTNNA1	ACBD6	3	3	13|13|13	0.0921	0.4553
KRT8	ACBD6	3	3	13|13|13	0.5426	0.1664
LMNA	ACBD6	3	3	13|13|13	0.5336	0.1714
MAPRE3	ACBD6	3	3	13|13|13	0.3116	0.3286
ACTB	ACIN1	3	25	26|13|26|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13	0.6368	0.1332
CTNNA1	ACIN1	3	25	26|13|26|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13	0.1198	0.4244
KRT8	ACIN1	3	25	26|13|26|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13	0.2727	0.3424
LMNA	ACIN1	3	25	26|13|26|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13	0.8689	0.0478
MAPRE3	ACIN1	3	25	26|13|26|13|13|13|13|13|26|13|13|13|13|13|26|13|13|13|13|13|13|13|13|13|13	0.2866	0.3391
KRT8	ACKR3	3	1	13	0.3291	0.3041
ACTB	ACLY	3	35	13|13|13|13|26|13|26|13|13|13|13|26|13|12|13|13|25|13|13|13|13|13|26|13|13|25|13|13|13|13|26|13|26|12|13	0.9613	0.0229
CTNNA1	ACLY	3	35	13|13|13|13|26|13|26|13|13|13|13|26|13|12|13|13|25|13|13|13|13|13|26|13|13|25|13|13|13|13|26|13|26|12|13	0.7287	0.0942
KRT8	ACLY	3	35	13|13|13|13|26|13|26|13|13|13|13|26|13|12|13|13|25|13|13|13|13|13|26|13|13|25|13|13|13|13|26|13|26|12|13	0.9703	0.0186
LMNA	ACLY	3	35	13|13|13|13|26|13|26|13|13|13|13|26|13|12|13|13|25|13|13|13|13|13|26|13|13|25|13|13|13|13|26|13|26|12|13	0.9346	0.0300
MAPRE3	ACLY	3	35	13|13|13|13|26|13|26|13|13|13|13|26|13|12|13|13|25|13|13|13|13|13|26|13|13|25|13|13|13|13|26|13|26|12|13	0.8741	0.0460
ACTB	ACO1	3	10	13|13|13|13|13|13|13|13|13|13	0.4371	0.2133
CTNNA1	ACO1	3	10	13|13|13|13|13|13|13|13|13|13	0.0481	0.4746
KRT8	ACO1	3	10	13|13|13|13|13|13|13|13|13|13	0.6494	0.1240
LMNA	ACO1	3	10	13|13|13|13|13|13|13|13|13|13	0.1543	0.4127
MAPRE3	ACO1	3	10	13|13|13|13|13|13|13|13|13|13	0.1764	0.3841
ACTB	ACO2	3	3	13|13|13	0.3286	0.3051
CTNNA1	ACO2	3	3	13|13|13	0.3197	0.3206
KRT8	ACO2	3	3	13|13|13	0.4380	0.2128
LMNA	ACO2	3	3	13|13|13	0.2182	0.3627
KRT8	ACOT1	3	1	13	0.6647	0.1140
ACTB	ACOT2	3	10	13|26|13|26|13|13|13|13|13|25	0.9706	0.0184
CTNNA1	ACOT2	3	10	13|26|13|26|13|13|13|13|13|25	0.1838	0.3822
KRT8	ACOT2	3	10	13|26|13|26|13|13|13|13|13|25	0.9989	0.0003
LMNA	ACOT2	3	10	13|26|13|26|13|13|13|13|13|25	0.5934	0.1488
MAPRE3	ACOT2	3	10	13|26|13|26|13|13|13|13|13|25	0.7039	0.1019
KRT8	ACOT4	3	1	13	0.3332	0.2754
ACTB	ACOT7	3	9	13|13|26|13|13|13|13|26|13	0.9608	0.0230
CTNNA1	ACOT7	3	9	13|13|26|13|13|13|13|26|13	0.7224	0.0966
KRT8	ACOT7	3	9	13|13|26|13|13|13|13|26|13	0.9715	0.0178
LMNA	ACOT7	3	9	13|13|26|13|13|13|13|26|13	0.9815	0.0095
MAPRE3	ACOT7	3	9	13|13|26|13|13|13|13|26|13	0.9120	0.0354
ACTB	ACOT8	3	2	13|13	0.4770	0.1976
KRT8	ACOT8	3	2	13|13	0.9883	0.0051
LMNA	ACOT8	3	2	13|13	0.6306	0.1365
ACTB	ACOT9	3	15	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13	0.8002	0.0699
CTNNA1	ACOT9	3	15	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13	0.5682	0.1554
KRT8	ACOT9	3	15	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13	0.9856	0.0066
LMNA	ACOT9	3	15	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13	0.9645	0.0216
MAPRE3	ACOT9	3	15	13|13|13|12|13|13|13|13|13|13|13|13|13|13|13	0.5478	0.1630
KRT8	ACOX1	3	2	13|13	0.1663	0.3985
ACTB	ACP1	3	3	13|13|13	0.2141	0.3679
CTNNA1	ACP1	3	3	13|13|13	0.3087	0.3302
KRT8	ACP1	3	3	13|13|13	0.5375	0.1696
LMNA	ACP1	3	3	13|13|13	0.7425	0.0892
MAPRE3	ACP1	3	3	13|13|13	0.3028	0.3335
KRT8	ACRV1	3	1	13	0.3331	0.2825
KRT8	ACSF3	3	2	13|13	0.1663	0.3985
LMNA	ACSL1	3	1	13	0.3333	0.2523
MAPRE3	ACSL1	3	1	13	0.3333	0.2523
ACTB	ACSL3	3	10	13|13|13|13|13|13|13|13|13|13	0.3893	0.2373
CTNNA1	ACSL3	3	10	13|13|13|13|13|13|13|13|13|13	0.1857	0.3814
KRT8	ACSL3	3	10	13|13|13|13|13|13|13|13|13|13	0.5863	0.1508
LMNA	ACSL3	3	10	13|13|13|13|13|13|13|13|13|13	0.9953	0.0013
MAPRE3	ACSL3	3	10	13|13|13|13|13|13|13|13|13|13	0.3814	0.2401
ACTB	ACSL4	3	7	13|13|13|13|13|13|13	0.7198	0.0973
CTNNA1	ACSL4	3	7	13|13|13|13|13|13|13	0.3600	0.2469
KRT8	ACSL4	3	7	13|13|13|13|13|13|13	0.8082	0.0671
LMNA	ACSL4	3	7	13|13|13|13|13|13|13	0.7008	0.1029
MAPRE3	ACSL4	3	7	13|13|13|13|13|13|13	0.3007	0.3346
KRT8	ACSM4	3	1	13	0.3332	0.2754
ACTB	ACTA1	3	14	26|25|13|13|13|13|13|26|13|26|13|13|13|26	0.9964	0.0010
CTNNA1	ACTA1	3	14	26|25|13|13|13|13|13|26|13|26|13|13|13|26	0.7527	0.0851
KRT8	ACTA1	3	14	26|25|13|13|13|13|13|26|13|26|13|13|13|26	0.8158	0.0646
LMNA	ACTA1	3	14	26|25|13|13|13|13|13|26|13|26|13|13|13|26	0.7420	0.0894
MAPRE3	ACTA1	3	14	26|25|13|13|13|13|13|26|13|26|13|13|13|26	0.8030	0.0689
