Bait,Prey
EGFR,ADGRE5
EGFR,SCARB1
EGFR,NUP85
EGFR,SLC30A1
EGFR,HSP90AB2P
EGFR,NPHS2
EGFR,MAP6
EGFR,AP4S1
EGFR,L1CAM
EGFR,CLCN6
EGFR,PRDM14
EGFR,ATP2B1
EGFR,SORBS3
EGFR,RYR2
EGFR,escrt-i_human-1
EGFR,PDLIM1
EGFR,ABCA8
EGFR,STH
EGFR,GPRC5D
EGFR,DOCK6
EGFR,MREG
EGFR,CYB561A3
EGFR,LRRC15
EGFR,CTTN
EGFR,CYP2D7
EGFR,KLHL12
EGFR,PHF20
EGFR,AMPH
EGFR,USP14
EGFR,KANSL3
EGFR,SLC16A5
EGFR,CBLIF
EGFR,GFRA4
EGFR,TGFBR3
EGFR,ABCD3
EGFR,ABCG4
EGFR,SLCO6A1
EGFR,CYP2E1
EGFR,MIB1
EGFR,KLRC3
EGFR,ANOS1
EGFR,ATP13A3
EGFR,AZIN2
EGFR,JUP
EGFR,CEP290
EGFR,PPP1CB
EGFR,TPCN2
EGFR,RB1CC1
EGFR,IDI2
EGFR,PACSIN2
EGFR,ASTN1
EGFR,PPIA
EGFR,SLC17A2
EGFR,RAB23
EGFR,TXLNG
EGFR,AREG
EGFR,LRFN3
EGFR,RAB30
EGFR,CTIF
EGFR,VPS53
EGFR,RUFY1
EGFR,GBP2
EGFR,GPBP1
EGFR,RET
EGFR,RPS3
EGFR,MBL2
EGFR,URS00002C11C3_9606
EGFR,TRIM68
EGFR,PSG8
EGFR,VAMP4
EGFR,BIN1
EGFR,SASH1
EGFR,AIF1L
EGFR,FSCN3
EGFR,LAP3
EGFR,CBX1
EGFR,USP29
EGFR,ANXA3
EGFR,NUPR1
EGFR,SLC39A9
EGFR,ADRA1A
EGFR,GDPD3
EGFR,WARS1
EGFR,STXBP4
EGFR,CAPN5
EGFR,TRADD
EGFR,SLC6A5
EGFR,RACK1
EGFR,TRPV3
EGFR,DIXDC1
EGFR,SNX4
EGFR,ADGRL4
EGFR,VPS26C
EGFR,GM2A
EGFR,ATP1A3
EGFR,PDE6D
EGFR,PAX2
EGFR,DZIP1
EGFR,TRPM2
EGFR,CCND2
EGFR,AMBP
EGFR,ABCA13
EGFR,ATP2C2
EGFR,FRMPD1
EGFR,DOCK8
EGFR,CCR6
EGFR,OSBPL7
EGFR,RUBCNL
EGFR,SLC6A8
EGFR,ARF5
EGFR,TRPC4AP
EGFR,LHX1
EGFR,DYNC1I2
EGFR,NAIP
EGFR,CR2
EGFR,GALNT2
EGFR,MAP1LC3B
EGFR,PLG
EGFR,TRPM8
EGFR,PSD
EGFR,UTRN
EGFR,SLC13A2
EGFR,PSENEN
EGFR,MYO19
EGFR,RCC1
EGFR,AP1M1
EGFR,BET1L
EGFR,RIC3
EGFR,PLPP2
EGFR,LMAN2
EGFR,RTP2
EGFR,PLD2
EGFR,PPARG
EGFR,DYNC1LI1
EGFR,MARCHF8
EGFR,ARHGAP24
EGFR,SIRT3
EGFR,NHERF2
EGFR,FCRL1
EGFR,SLC22A12
EGFR,CTNNB1
EGFR,ZNF383
EGFR,CLIC5
EGFR,SLC3A2
EGFR,COPB1
EGFR,PXMP2
EGFR,MCUB
EGFR,STX8
EGFR,CIB1
EGFR,NEK6
EGFR,EFTUD2
EGFR,SLC39A4
EGFR,KPNA4
EGFR,YIF1A
EGFR,DPH2
EGFR,ANK3
EGFR,CACNG3
EGFR,PUSL1
EGFR,NR3C2
EGFR,PRKACA
EGFR,VPS50
EGFR,FYCO1
EGFR,PSME3IP1
EGFR,RTN4
EGFR,CYP4A22
EGFR,CENPV
EGFR,CHAF1B
EGFR,IL1A
EGFR,GABRP
EGFR,RAB18
EGFR,LRP1B
EGFR,DENND3
EGFR,TNK2
EGFR,LLGL1
EGFR,SMOX
EGFR,UBQLN2
EGFR,CD24
EGFR,WDFY2
EGFR,SLC26A5
EGFR,GIGYF2
EGFR,CAV1
EGFR,LNPEP
EGFR,PALS1
EGFR,TMX3
EGFR,BRCA2
EGFR,CALM1
EGFR,CCR10
EGFR,PPFIA4
EGFR,F7
EGFR,SLC39A13
EGFR,PLEC
EGFR,AVIL
EGFR,P3H4
EGFR,EPN3
EGFR,GID8
EGFR,GPER1
EGFR,ATP6V1C1
EGFR,ABCG8
EGFR,PI4KA
EGFR,TTC5
EGFR,SAC3D1
EGFR,FOXF2
EGFR,HOXD4
EGFR,CNN3
EGFR,SERHL2
EGFR,XIRP1
EGFR,PDE4D
EGFR,TOR1A
EGFR,AMHR2
EGFR,P3H1
EGFR,RPS3A
EGFR,SLC5A10
EGFR,PRICKLE2
EGFR,LPAR4
EGFR,PLA2G4B
EGFR,DLC1
EGFR,ALDH3B1
EGFR,SNX33
EGFR,TP53INP2
EGFR,VPS28
EGFR,NT5E
EGFR,VIM
EGFR,DIP2A
EGFR,FXYD5
EGFR,BTBD1
EGFR,CFAP263
EGFR,DAB1
EGFR,FKBP4
EGFR,HRG
EGFR,TYRP1
EGFR,SLC17A5
EGFR,CORO1A
EGFR,POU2F1
EGFR,SLC2A8
EGFR,RAP1B
EGFR,CCM2
EGFR,LASP1
EGFR,RDX
EGFR,CXCR4
EGFR,SERPINF2
EGFR,TRAPPC2B
EGFR,KLRC2
EGFR,SLC51A
EGFR,USP6NL
EGFR,TOP2A
EGFR,LOXL4
EGFR,RPL9
EGFR,VPS11
EGFR,UBE2D2
EGFR,TP53BP2
EGFR,SCARF1
EGFR,PRAF2
EGFR,IKBKG
EGFR,CIMAP3
EGFR,ZFYVE9
EGFR,PSG5
EGFR,GPSM1
EGFR,AVPR2
EGFR,GABRQ
EGFR,CDK2AP1
EGFR,ARHGAP21
EGFR,NRM
EGFR,MARCHF3
EGFR,MAP1LC3A
EGFR,KCNS1
EGFR,PLCB1
EGFR,SUN1
EGFR,BASP1
EGFR,CCNG1
EGFR,PLCG1
EGFR,BROX
EGFR,HEXA
EGFR,PSAP
EGFR,ATG4B
EGFR,AKAP4
EGFR,CYB5B
EGFR,SLC47A2
EGFR,NMRK2
EGFR,SET
EGFR,RRAS
EGFR,SNF8
EGFR,DENND4C
EGFR,EXOG
EGFR,DESI1
EGFR,NFAM1
EGFR,BBLN
EGFR,PARK7
EGFR,TFPI
EGFR,SLC17A4
EGFR,FADS1
EGFR,PRKDC
EGFR,GLIPR1L1
EGFR,PLEKHA1
EGFR,RBMY1C
EGFR,CDH16
EGFR,FLNC
EGFR,CEP250
EGFR,PLEK
EGFR,EEF1A1
EGFR,ANXA13
EGFR,IL10RA
EGFR,Q6Q795
EGFR,SORT1
EGFR,RPS14
EGFR,SERINC3
EGFR,TFG
EGFR,LURAP1
EGFR,LMO7
EGFR,ASIC3
EGFR,MGAM
EGFR,MUC20
EGFR,COPS8
EGFR,CEACAM8
EGFR,HAVCR1
EGFR,MPEG1
EGFR,RASGRP3
EGFR,STX6
EGFR,L1TD1
EGFR,AUP1
EGFR,NCR2
EGFR,MAD2L1BP
EGFR,CHP1
EGFR,SLC6A2
EGFR,SLC1A4
EGFR,ZC3H18
EGFR,WDR48
EGFR,CARD9
EGFR,CLDND1
EGFR,ANGEL1
EGFR,KCNE1
EGFR,PRKCE
