Bait,Prey
EGFR,CHD6
EGFR,DUSP14
EGFR,MAPK15
EGFR,BBS10
EGFR,CTCFL
EGFR,SERBP1
EGFR,LOC400499
EGFR,ZNF114
EGFR,TOPAZ1
EGFR,DUSP18
EGFR,MRPL43
EGFR,C2orf61
EGFR,TWF1
EGFR,HEXDC
EGFR,LMBR1
EGFR,KBTBD7
EGFR,MUC16
EGFR,DNAH7
EGFR,TTN
EGFR,ROBO4
EGFR,STIM1
EGFR,EDEM1
EGFR,ZNF516
EGFR,DHX38
EGFR,DAZL
EGFR,TMBIM1
EGFR,TMEM159
EGFR,PSTPIP2
EGFR,DOCK10
EGFR,MTBP
EGFR,RNF130
EGFR,TRIML2
EGFR,EFCAB3
EGFR,FAM186A
EGFR,USP34
EGFR,RPL6
EGFR,USP31
EGFR,CYS1
EGFR,SMIM5
EGFR,CD300LB
EGFR,RSRC2
EGFR,SRRM4
EGFR,VAPB
EGFR,PID1
EGFR,SETX
EGFR,OR2W3
EGFR,PRSS42
EGFR,JPH1
EGFR,NEK8
EGFR,UNC80
EGFR,LRRTM4
EGFR,HEATR4
EGFR,ZNF573
EGFR,SLC13A5
EGFR,SSH1
EGFR,HRNR
EGFR,MPZL2
EGFR,CCDC60
EGFR,FAM126B
EGFR,SRRM1
EGFR,CCDC146
EGFR,ZZZ3
EGFR,CENPL
EGFR,MIER1
EGFR,SRSF11
EGFR,DTNA
EGFR,AKAP17A
EGFR,NUP155
EGFR,GPRIN3
EGFR,GSPT1
EGFR,PKP2
EGFR,EPB41L2
EGFR,FOXO3
EGFR,SWAP70
EGFR,HTATSF1
EGFR,SRSF2
EGFR,DYRK3
EGFR,SNX3
EGFR,TXNDC5
EGFR,ZBTB14
EGFR,WASH3P
EGFR,DLG5
EGFR,PMM2
EGFR,PPP2R4
EGFR,PWP1
EGFR,EPN2
EGFR,ZBTB22
EGFR,COBLL1
EGFR,PPP1R13B
EGFR,EDF1
EGFR,CHMP2B
EGFR,ETFB
EGFR,CCDC25
EGFR,VANGL1
EGFR,MAS1
EGFR,SEC16A
EGFR,KRT1
EGFR,HMGN2
EGFR,RPLP2
EGFR,SNRPA
EGFR,DHX16
EGFR,CEP104
EGFR,ABCA1
EGFR,CALD1
EGFR,DCTN1
EGFR,TBKBP1
EGFR,COL1A1
EGFR,SPRR2G
EGFR,SPRR2F
EGFR,SPRR2D
EGFR,SPRR2B
EGFR,HLA-B
EGFR,SPRR2A
EGFR,DHFR
EGFR,MRPS36
EGFR,PAK4
EGFR,HERC2
EGFR,LCA5L
EGFR,PALM2
EGFR,DIAPH1
EGFR,LUC7L3
EGFR,SH3D19
EGFR,RIMS2
EGFR,EIF4EBP1
EGFR,OR2F2
EGFR,DDX17
EGFR,TOMM70A
EGFR,PFDN1
EGFR,SPAG7
EGFR,RABL3
EGFR,DNAJC13
EGFR,NPHP4
EGFR,EIF5B
EGFR,SSB
EGFR,CTSD
EGFR,COL1A2
EGFR,SESN2
EGFR,TUFM
EGFR,ALDH7A1
EGFR,RPL14
EGFR,IDH3G
EGFR,IRAK1
EGFR,ROCK2
EGFR,SUPT5H
EGFR,KCNQ1
EGFR,HDGF
EGFR,BTAF1
EGFR,SUB1
EGFR,MFAP1
EGFR,EIF3B
EGFR,NCOA7
EGFR,KRTAP10-9
EGFR,ELP4
EGFR,RPS20
EGFR,S100A10
EGFR,HNRNPK
EGFR,CNBP
EGFR,TRAPPC10
EGFR,RAB1A
EGFR,TRA2B
EGFR,YBX1
EGFR,NTHL1
EGFR,PGRMC1
EGFR,RBSN
EGFR,PAK2
EGFR,AHSG
EGFR,HIST1H3A
EGFR,GRIK4
EGFR,RPS27
EGFR,KRT16
EGFR,RPS3
EGFR,HMGB1
EGFR,FAM66E
EGFR,ZCCHC18
EGFR,CKMT1A
EGFR,DRD2
EGFR,GLUL
EGFR,HMGA1
EGFR,EIF1AY
EGFR,TCP1
EGFR,RPL7
EGFR,CD58
EGFR,TRAFD1
EGFR,IGHV1-2
EGFR,PPIB
EGFR,EIF4B
EGFR,RPL3
EGFR,TNC
EGFR,PSMA3
EGFR,PSMA4
EGFR,U2AF2
EGFR,CNTF
EGFR,HMGB2
EGFR,DPP4
EGFR,MAP4
EGFR,HSD11B1
EGFR,ACACB
EGFR,POLR2A
EGFR,GABRA3
EGFR,KRT9
EGFR,TRIM23
EGFR,UBE2N
EGFR,RAB11FIP5
EGFR,MTMR8
EGFR,SEPT9
EGFR,SH2D1B
EGFR,SH2B2
EGFR,LCK
EGFR,HSH2D
EGFR,NCKAP1
EGFR,BLNK
EGFR,BCAR3
EGFR,ZNF510
EGFR,NANS
EGFR,RAI14
EGFR,PLEKHA5
EGFR,STX17
EGFR,HSPH1
EGFR,FERMT2
EGFR,ANK2
EGFR,PPM1F
EGFR,SHB
EGFR,CYFIP1
EGFR,SHD
EGFR,SHE
EGFR,NFKBIB
EGFR,TNS1
EGFR,TENC1
EGFR,ABCC3
EGFR,NDUFA4
EGFR,SLC5A9
EGFR,ANK3
EGFR,ITSN1
EGFR,TEC
EGFR,ERBB2IP
EGFR,SUPT6H
EGFR,GPRIN1
EGFR,STAP1
EGFR,PTPN13
EGFR,SOCS2
EGFR,PPP2CB
EGFR,ESYT1
EGFR,PIK3R4
EGFR,ADD2
EGFR,RDX
EGFR,HNRNPA1
EGFR,HNRNPA1L2
EGFR,FCHO2
EGFR,KIDINS220
EGFR,ABCE1
EGFR,SEC23B
EGFR,SEPT8
EGFR,SEC24B
EGFR,HSP90AB3P
EGFR,SEC24A
EGFR,CORO1C
EGFR,CPNE8
EGFR,TRIP6
EGFR,AHCYL2
EGFR,LUC7L2
EGFR,STK38
EGFR,WDR44
EGFR,C9orf156
EGFR,C9orf3
EGFR,CYFIP2
EGFR,HSPA4L
EGFR,MAPK3
EGFR,LLGL1
EGFR,ACBD3
EGFR,HEMGN
EGFR,PLEKHA1
EGFR,FRAT2
EGFR,FANCC
EGFR,MPP7
EGFR,AHCYL1
EGFR,USP6NL
EGFR,CYLC2
EGFR,TSTD2
EGFR,EHBP1
EGFR,TXK
EGFR,RPTOR
EGFR,BAIAP2L1
EGFR,TTC17
