Protein	EIF4A2_1	EIF4A2_2	EIF4A2_3	MEPCE_1	MEPCE_2	MEPCE_3	GFP_1	GFP_2	GFP_3
LOC525947	622.001	707.708	699.329	513.777	736.669	0	618.652	0	472.343
TUBB;TUBB5	37087.6	38762.5	44755.4	68696.7	69319	75722.4	60273.2	60905.7	66712.4
C3	4751.97	4589.5	5787.03	5978.2	5791.43	5228.07	5955.78	5363.75	5618.18
CAP1	0	1095.84	0	1721.12	1483.53	1541.25	2177.96	1787.2	2070.82
ITIH4	0	0	328.828	1228.22	0	0	0	0	1080.52
VTN	431.932	595.057	751.759	688.182	851.604	765.744	929.365	983.489	2334.74
FETUB	561.537	535.919	0	854.826	864.862	820.821	636.235	913.975	1144.18
A2M	4928.28	5348.58	6214.18	8824.15	9360.59	9537.93	10288.2	9910.79	9814.44
NACA	5757.39	6266.58	6893.31	7856.14	8110.83	6722.08	7892.22	8213.14	7882.67
C11orf98	1991.02	1973.04	2222.88	2467.58	2809.35	2840.66	2121.88	2285.01	1992.18
SUMO1;SUMO1P1	683.416	0	526.775	1124.02	989.591	1050.29	824.005	694.308	913.47
MIEF1	0	169.293	0	0	0	242.785	0	0	0
KIF2A	0	687.248	803.269	360.202	0	385.825	0	274.864	827.798
DDX39A	1478.7	1586.77	1935.56	1661.91	1297.15	1358.32	1986.96	1714.45	1464.11
ACOT7	0	0	0	0	0	0	342.669	730.316	857.578
MYO1C	1271.82	1511.35	1329.67	1769.23	1878.5	2174.18	1585.02	2069.47	1709.68
HAX1	576.523	596.933	737.022	752.845	802.938	983.444	857.76	915.442	789.813
AIP	0	0	0	0	0	0	0	434.367	0
GTPBP1	0	0	0	1781.37	0	0	0	0	0
STXBP3	0	0	0	0	239.857	0	0	0	218.32
AP3B1	3599.59	2963.73	3039.87	3866.32	4182.32	3700.47	4459.19	3763.58	3687.07
NDUFS8	784.94	0	511.97	0	812.197	734.098	0	664.973	702.651
PSMD11	3487.82	3496.07	3529.14	3582.34	3970.05	4054.5	5111.77	5065.7	4747.04
PSMD12	4984.37	4935.38	4667.92	6127.09	5929.32	6768.44	7579.44	8167.11	8366.82
CBX4	763.449	619.15	0	0	0	551.741	1112.54	0	0
GET1	0	0	0	814.298	0	474.992	0	259.404	0
PGRMC1	2221.74	2412.49	2896.68	3161.91	2754.83	3596.28	2403.58	2563.62	2816.62
SUPT5H	3270.84	3028.33	3350.26	2554.59	1695.19	1671.48	2800.22	2604.52	2479.47
TAF4	716.215	629.966	770.406	851.031	986.216	1107.33	1176.7	1013.86	727.365
EIF3F	36462.4	42981.5	43314.7	9426.99	8902.94	9360.81	8104.21	7854.48	7888.38
CDC7	0	0	0	0	0	737.2	335.939	0	500.087
WASL	0	0	0	0	0	349.007	625.518	464.655	585.006
IPO5	1023.34	1207.13	1062.65	1807.39	1867.06	1855.11	1411.35	1889.61	1956.58
IGF2BP3	1094.52	1515.95	1843	609.315	458.262	451.765	0	0	0
DNM1L	509.082	0	481.848	542.364	0	568.553	721.171	768.762	650.355
RTCA	0	0	0	882.768	998.951	943.621	0	0	0
IFRD1	515.976	762.677	1033.38	0	447.035	400.694	3903.21	695.029	801.277
EXOC5	1173.83	410.174	429.041	769.468	724.222	574.914	6040.72	850.719	665.922
HMGN4	1248.09	1495.53	4326.16	1447.97	1131.83	0	1239.8	1548.32	897.358
NDUFA4	480.041	0	0	461.185	0	0	423.898	0	582.64
PSMD14	4664.19	4676.59	5216.34	5306.07	5284.16	4875.44	6517.55	6121.4	6240.68
ZNF593	2791.88	2961.46	3038.18	4505.73	4626.16	4421.4	3773.97	3883.12	3692.26
KPNA3	574.628	531.074	472.507	4990.21	5476.5	5038.83	576.908	817.734	971.83
PES1	606.854	829.65	747.901	1125.84	1082.58	1988.87	683.916	692.119	479.307
NOP56	0	0	411.331	721.732	755.966	1212.33	439.7	344.77	271.229
DDX3X	10951.6	12481	13217.6	6039.08	5730.23	6314.35	6952.36	6704.63	7022.8
KPNA4	169.189	237.051	351.852	3343.39	3504.93	3215.86	87.1558	199.383	496.83
PPP6C	782.394	1035.17	1257.7	1239.56	1318.21	1225.69	1439.78	1203.89	1000.54
NME4	280.749	270.559	374.515	1283.56	0	505.019	0	663.924	0
UBE2C	0	0	0	0	0	0	0	0	447.593
TXNDC9	2017.45	1884.34	2103.45	2296.43	2018.61	2552.53	1459.32	1602.65	1825.57
TRAFD1	0	0	0	0	0	0	0	354.911	1983.18
ARHGAP32;ARHGAP33	0	0	0	0	0	0	626.992	0	0
COPE	4972.14	4503.23	5365.78	6947.79	6646.71	7317.64	7005.6	7417.32	7020.36
EIF1AX;EIF1AY	15227.5	15194.9	18008.1	21485.8	26465.6	18166.2	18082.7	21503.3	19837
AP3D1	1692.88	2684.96	2680.8	2686.69	3394.1	3345.62	3112.53	2785.86	2483.12
ABLIM1	0	0	0	0	85.8879	0	270.145	0	0
IRS4	3538.54	4262.26	3968.17	4798.45	4438.33	4731.5	2983.55	3082.3	3150.56
EI24	0	1515.14	1945.24	2553.33	2767.76	2377.39	2050.56	1789.8	1775.73
CDIPT	959.625	754.541	1292.98	1371.59	1310.81	1379.3	1247.59	1288.8	1194.73
PDCD5	1689.22	1742.96	1881.13	1877.08	1374.05	2043.45	2859.63	2804.11	2582
PRMT5	283710	306864	338557	361608	388073	399857	364661	362959	367165
TCERG1	682.35	895.725	964.306	1032.52	1482.47	1368.03	1038.86	1083.8	1739.12
NDC80	0	0	0	0	622.043	425.836	338.177	0	803.617
TNPO2	0	0	0	1046.03	818.096	771.779	912.859	646.65	926.393
POLR3A	1065.35	1157.84	1234.36	3135.61	1944.09	1889.1	2206.31	2712.26	1225.81
PSMA7	7581.54	8410.84	8322.98	15678.4	16190.5	15695.3	12200.3	13022.3	12151.6
SCAMP3	1446.72	1032.16	1260.1	1422.12	1615.16	1258.5	1056.37	1601.76	799.215
BCKDK	717.045	899.833	903.034	1996.23	1962.3	2037.26	1596.67	1435.93	1451.16
IKBKB	1077.92	1229.66	1321.28	1904.45	1902.85	1878.53	1403.94	1609.53	1572.91
HAT1	0	387.357	0	786.154	0	798.316	671.848	512.593	676.958
CASK	0	0	0	0	0	139.655	0	0	0
MYL12A;MYL12B	15312.4	17937.7	19415.6	20038.9	19375.4	19437.1	18854.7	20102	19660.8
HGS	0	0	0	0	0	0	0	0	493.027
VPS26C	0	0	0	857.576	340.354	316.328	349.697	680.48	0
PPP1R12A	1027	907.636	1072.2	1505.13	2029.55	1670.18	1004.11	865.93	1311.69
SLC27A2	0	706.608	882.51	533.712	1138.37	421.523	366.708	688.825	0
HNRNPDL	0	1101.75	1489.49	0	0	0	0	0	0
XPO1	1892.7	2027.42	228386	3646.75	3774.59	3520.7	3175.64	3526.19	3355.24
BTAF1	0	0	0	976.849	272.729	547.272	594.484	692.824	826.797
ARHGEF10	0	0	347.058	0	541.138	240.61	645.312	503.789	300.197
SEC16A	161.854	0	0	0	644.66	591.676	339.329	0	0
KHNYN	513.881	0	505.084	510.094	620.252	0	0	0	598.495
U2SURP	10351.8	10816.6	12344	8396.48	7970.18	8654.54	8120.78	10108	9258.5
PFAS	302.7	0	429.531	0	479.756	495.47	589.659	574.037	536.442
DCLK1	341.563	397.626	380.605	817.248	622.24	763.61	521.797	942.566	307.065
ANKRD28	843.768	1249.25	1952.33	929.433	908.68	1291.04	1290.45	887.413	980.273
PRORP	0	285.304	0	347.16	215.5	0	0	0	0
CHUK	761.751	822.468	745.784	1464.24	1302.29	1684.3	1363.77	1440.81	1365.05
SCAMP2	523.965	905.587	912.259	1050.04	1255.39	1187.31	932.641	0	925.217
ARPC2	914.639	0	1172.19	982.284	1255.88	1206.64	1567.34	1541.92	1385.77
ARPC3	466.883	819.139	664.879	869.92	921.01	1217.92	1132.25	1006.96	1124.39
POLR1C	981.799	2702.87	2703.37	3109.85	3097.33	1337.65	3233.83	2896.46	2955.48
PGRMC2	308.327	0	0	0	0	0	0	0	0
SMAD2;SMAD3;SMAD9	0	550.281	0	721.057	0	723.177	701.531	0	0
PFDN6	0	980.756	0	385.642	0	5315.33	1953.42	2101.77	1815.63
NKRF	376.449	372.036	365.559	1917.28	2118.23	2108.07	1556.06	1304.46	1514.07
GNPAT	0	306.933	0	156.411	0	0	0	496.737	119.81
MRPS12	2553.82	3425.17	3544.9	5042.86	5015.22	5478.33	0	4236.6	4601.98
RER1	1151.8	0	960.294	1475.26	1673.74	1493.48	1392.42	1080.81	1244.02
SURF4	9098.86	11010.4	10904.6	10651.1	10412.1	10302.1	10035.7	9863.76	9689.92
SPTLC1	438.427	0	0	382.119	363.823	2260.7	313.349	0	622.48
SPTLC2	407.321	0	0	357.773	0	729.633	445.943	0	490.449
OGT	692.74	608.39	870.557	1031.9	1261.99	1049.96	1080.91	781.281	917.834
HMGB3	4118.49	11811.6	3994.26	4983.44	5290.94	4903.93	4978.89	4863.52	4757.36
PPM1G	1097.78	828.309	1036.71	1317.79	1437.25	1426.49	1367.31	996.704	959.164
EIF3D	31100.4	29727.1	33862.2	7961.56	7764.24	8157.57	6665.13	6117.36	6525.26
EIF3H	18241.7	18510.5	21327.2	4475.2	4814.44	4754.16	2739.88	3542.2	4042.79
IPO8	1304.14	1460.52	1617.06	1619.25	1509.57	1792.46	1935.7	1359.5	1875.8
STX7	0	0	0	0	627.818	687.09	0	0	324.633
P4HA2	0	0	603.419	521.62	562.968	0	0	0	482.149
ARPC5	0	793.077	630.785	787.839	660.084	696.142	758.093	658.294	707.077
DHX15	4368.45	3630.36	4676.77	7448.51	7918.08	8093.51	6069.7	5959.03	6517.64
TTI1	0	0	0	764.74	857.138	629.587	551.58	624.372	572.798
PRPF4	241.229	0	141.216	5336.13	5400.69	5021.42	304.646	0	966.521
PHGDH	3473.81	3414.35	3479.22	2753.47	3151.15	3177.12	9493.29	8659.76	8952.06
PSMD3	4480.86	4561.63	4903.73	6087.8	5661	6472.62	6892.75	7037.59	6430.46
ZW10	596.6	763.442	822.402	1357.27	1364.46	1224.91	1215.85	1165.41	993.614
SART1	2285.66	2439.14	2685.83	3011.43	2831.33	2844.09	1872.68	2192	2233.61
SPINT2	0	500.417	658.701	582.396	663.028	552.036	663.884	0	608.669
GPAA1	0	0	0	0	0	639.149	0	0	0
PPIP5K2	1159.72	1279.07	1391.51	1732.44	1877.08	1922.64	1215.18	1730.75	1207.28
MAP3K7	0	0	247.56	0	543.211	471.039	1028.9	1147.31	761.698
EEF1E1	826.259	609.775	635.641	955.14	923.674	1024.33	699.5	1085.02	817.998
WDR62	0	0	0	0	0	0	128.465	0	0
HNRNPR	3835	4334.73	4822.3	11003.2	11329.6	10805.5	2326.77	2476.94	2091.63
PRPF3	930.159	1145.79	1292.32	5305.26	4688.76	5388.48	1011.78	1269.02	1281.09
TXNL1	0	0	0	371.738	0	0	381.829	487.178	503.678
TPD52L2	221.171	334.677	0	0	0	348.252	372.367	439.226	222.69
COCH	0	0	0	0	0	541.401	0	0	0
SYNJ1	0	0	0	0	0	533.908	458.175	395.172	0
FIBP	0	0	436.125	631.325	418.497	0	0	774.161	0
EIF4G3	28921.6	30718.7	33015.8	0	472.372	594.138	627.659	513.003	373.951
PPIH	0	0	1827.57	5642.04	6652.7	6622.98	838.245	1061.75	0
EPB41L2	0	0	460.856	412.158	512.313	516.206	442.774	426.798	493.354
DENR	1049.61	1432.07	966.374	1457.64	2125.62	1897.22	1473.44	0	1741.97
XPOT	864.674	2250.04	951.09	711.775	895.514	864.059	1235.03	1168.84	1345.5
TIMM44	6743.65	5952.1	7098.57	11996.7	11348.3	11792.7	11733	12174.8	13647.6
TRAPPC3	931.559	0	830.833	1202.4	1198.18	1139.13	1064.66	3220.56	3274.98
CHMP2A	1398.22	1208.48	1345.29	851.784	1272.74	1223.69	888.297	1791.29	1677.19
PRC1	0	0	0	1810.06	616.21	0	0	0	0
ZNF207	2528.2	1931.6	2358.74	2874.42	2953.84	2884.3	2264.15	2316.04	2488.86
GET3	724.324	919.591	698.79	940.22	1249.78	1040.43	1344.67	1158.7	1051.66
BUB3	1152.77	1334.33	1289.49	1490.44	2074.96	1809.93	1784.68	1877.32	2127.94
ACTN4	6703.15	8049.56	8143.47	8489.29	9030.89	8573.25	7310.62	8077.45	7026.87
BUD23	0	0	0	0	1064.3	1234.48	0	0	0
HTATSF1	1774.08	1716.17	1918.72	2412.78	2100.39	2499.65	2114.33	2062.22	2047.51
AP1G1	497.034	497.991	685.084	530.748	545.849	425.899	815.43	978.812	1024.53
SYNGR2	0	0	0	833.189	942.462	1051.15	804.865	0	0
ENSA	4133.85	4036.81	5121.06	5439.37	4962.2	5276.76	5599.94	4268.75	5462.92
NARS1	661.111	515.428	465.403	1202.23	1166.26	1098.16	925.389	1054.64	1133.31
MYO1B	1257.69	1044.16	1170.48	2141.55	1763.15	1848.43	1290.55	1538.75	1258.07
SLC25A17	252.321	0	123.032	321.024	357.794	1035.62	172.041	0	0
NUDT21	10266.3	10289	12037.5	14941.5	15788.7	16467.7	14164.3	14210.8	13927.6
LANCL1	0	0	0	0	0	0	0	0	255.574
STRN	0	0	265.9	726.372	633.514	918.199	499.193	0	723.907
GTPBP6	0	331.492	2158.03	0	0	0	416.959	329.214	439.816
IDH3B	637.409	673.109	499.749	897.844	872.566	740.3	802.678	699.8	763.787
CALU	1093.62	1383.22	1092.93	2726.76	3025.06	3007.35	2293.46	2629.71	4474.54
AHCYL1	0	0	0	377.457	0	175.891	221.489	0	0
ORC5	0	0	0	0	0	179.403	627.875	0	307.433
PEX1	0	0	0	0	0	0	0	0	281.784
RAD21	0	0	0	730.413	0	0	0	0	0
TIMM8A	0	0	0	397.284	633.189	0	1029.64	1301.5	1026.12
DHX16	1014.29	1037.29	1003.06	1074.3	1470.35	1442.02	857.172	923.938	926.64
ZNRD2	694.727	888.734	1224.42	1209.27	1671.03	1812.77	1210.61	1565.04	1651.54
PRPSAP2	705.155	1616.35	1761.27	1893.28	900.475	1944.56	2423.53	1973.18	2139.76
SPAG9	1774.73	1719.61	1816.98	3334.6	3318.09	3805.62	3262.16	3138.78	3217.06
KIF5C	0	441.77	565.703	560.463	534.95	659.17	2115.49	226.18	2303.11
OPA1	0	0	314.828	417.258	291.095	490.35	0	0	385.828
KDM1A	799.918	757.626	849.851	1155.57	955.673	1577.79	895.884	881.076	1033.95
TBC1D4	469.236	0	464.598	0	267.04	823.417	7406.59	861.847	646.589
ACSL4	0	0	0	442.231	0	0	0	0	0
SNX3	0	0	0	496.639	0	487.609	0	0	0
OGA	527.566	596.301	852.268	662.042	508.267	461.843	1118.29	1104.58	1159.29
SYNCRIP	2603.11	2403.66	2534.42	4750.67	6449.85	5704.31	1122.69	1492.27	1454.19
NEMF	0	0	278.917	585.854	898.731	526.634	899.826	0	0
CCNT1	1036.42	1093.23	994.92	9749.84	9287.9	9396.12	677.17	598.941	663.839
EIF4E2	886.182	1086.71	1749.87	1375.67	1244.82	1401.78	1775.44	1411.25	1912.32
CCNT2	1002.27	1383.74	1346.55	1786.36	2914.03	1679.85	1173.89	1152.55	1048.06
DIAPH1	2214.09	2801.73	3436.79	2719.12	4865.57	3662.6	4539.21	4342.72	3347.45
EXOC3	790.815	1501.44	852.951	1113.6	1399.92	1346.76	1760.37	1398.63	1479.91
PRMT3	1781	1499.28	1996.79	2513.52	2758.76	2543.17	1867.33	2080.5	2038.39
KPNA6	609.789	921.905	825.251	1430.79	1514.74	1383.55	1510.49	1313.73	879.175
CTNND1	377.723	0	424.216	550.127	619.53	312.389	491.933	499.659	388.098
EIF1;EIF1B	2696.81	2384.65	2682	2875.4	3209.49	3283.57	3130.86	2567.97	2211.53
DPM1	3077.06	2932.47	3352.78	4384.74	4658.98	4534.83	4146.9	5230.83	4182.76
USO1	1381.13	1730.78	1577.52	1866.75	1834.14	2143.36	2154.85	2219.93	2039.27
MRPS14	0	0	0	632.937	689.762	320.463	263.602	270.844	362.764
H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	7011.09	7688.34	7995.45	13679	13707.1	13462.7	9545.22	9220.19	9582.69
PFKFB2	0	668.805	0	0	0	0	0	0	693.603
CCDC22	653.588	726.714	721.503	1026.1	1518.22	1506.8	1218.73	1100.79	1174.2
PQBP1	1196.48	1414.23	1548.51	1704.98	1837.08	1945.15	1863.63	1967.25	1515.29
PRAF2	777.518	829.479	754.029	1060.69	1061.57	883.002	800.675	925.398	771.27
DKC1	1931.83	1634.89	2171.72	1738.09	2251.32	2227.36	2467.72	3353.56	2757.29
EIF5B	7335.25	6631.17	8216.77	5616.64	5757.48	6922.44	5127.62	5657.09	5342.96
EDF1	37643.6	37864.3	44604.9	49969.1	48059	49065.6	53184	49224.7	51835.9
KIN	1878.16	1792.2	2368.56	1192	1215.48	1323.95	1611.96	1684.97	1994.48
DNAJA2	3781.92	4308.23	4128.33	3432.47	4714.65	4147.66	5966.13	5682.09	5943.5
PFDN1	0	0	0	0	0	0	2316.8	1987.21	1501.28
PPP1R11	0	0	0	0	0	0	0	0	103.428
RNASEH1	0	0	0	727.723	804.164	0	0	0	0
ABCB7	0	0	309.367	577.188	0	0	0	0	0
ROCK2	0	0	0	689.625	659.445	545.43	645.956	113.39	654.371
CLASP2	1918.79	1843.82	1955.64	1764.22	2288.16	2368.78	2121.4	2074.65	2313.31
CPNE3	0	0	246.512	0	0	210.974	331.42	317.739	0
OBSL1	271.633	0	495.34	711.855	481.669	501.505	0	663.828	0
RNF40	866.922	959.967	1079.88	1616.88	1988.05	2297.12	1381.75	1263.42	1212.59
CLUH	1061.06	1116.33	1131.08	1782.88	1720.1	1830.16	1651.02	1839.83	1583.76
CAND2	0	0	0	553.588	0	441.475	0	472.768	0
TSC22D2	599.631	0	476.528	665.637	724.792	979.448	785.779	654.608	678.632
DNAJC13	0	0	0	470.126	661.355	0	0	226.349	0
PPP6R2	813.082	560.931	267.262	496.911	0	759.195	390.365	0	484.732
CNOT3	0	0	385.579	272.361	900.878	767.515	652.786	704.799	667.428
ANKRD17	313.809	659.539	561.533	871.357	682.339	1013.96	1029.03	1275.74	980.059
DNAJB6;DNAJB8	777.977	1169.74	844.572	1578.41	1286.16	1414.19	1836.86	2036.49	1991.53
NDUFS7	0	0	0	882.864	0	1159.66	0	734.475	995.761
NDUFS2	384.777	461.981	759.056	1181.88	1071.89	732.628	625.387	654.912	726.382
NIPSNAP2	634.749	0	825.999	1006.96	871.648	1149.94	1125.76	1169.49	1173.54
PDCD6	931.27	1309.79	1558.26	1464.37	1418.2	1527.91	1406.51	1604.36	1246.66
TBCA	0	625.779	769.722	933.164	0	0	370.308	0	0
ATP6V1G1	0	0	0	344.402	600.435	539.157	748.004	560.564	593.244
VPS4A;VPS4B	430.585	0	536.374	549.293	654.336	806.329	702.518	896.388	792.965
MPDU1	268.63	354.276	360.237	268.377	345.673	303.156	338.299	224.363	278.253
FLNB	1623.84	1824.31	1878.13	3298.08	3025.31	3209.1	2391.49	2255.25	2115
CS	1267.96	1944.89	1444.99	1577.16	1656.93	1805.77	2034.34	1788.95	2033.91
SEC22B	1295.79	1109.52	1823.11	1472.71	1709.58	1347.08	1605.65	1486.43	1512.57
PRPF40A	2156.81	2125.46	2332.68	2555.03	1941.38	2391.66	1964.27	2120.66	1557.1
TACC1	0	294.312	0	0	283.505	507.895	0	288.637	0
CDC45	0	0	0	0	0	0	0	0	305.415
PMPCB	360.237	422.878	656.592	366.917	392.716	0	474.662	629.879	0
KATNA1	567.807	464.825	0	643.245	335.295	555.017	794.805	878.116	897.661
PSIP1	1146.52	1099.77	1217.81	1213.72	1325.34	1080.25	1011.2	1056	1228.7
NDUFS3	454.678	542.046	875.409	848.688	937.259	1070.28	586.921	0	629.327
SRSF10	1222.42	1414.9	1492.94	1894.86	2336.63	2292.65	1288.64	1079.69	1170.84
ECI2	452.876	513.389	496.265	806.37	516.06	556.066	752.189	589.015	563.922
KHDRBS3	4698.99	4542.82	5322.21	3708.24	4024.52	4154.27	3525.6	3507.93	3680.73
SF3B1	1682.26	1976.63	1648.37	1932.69	2052.28	2288.91	1752.78	1806.12	1936.05
CSDE1	322.517	0	469.531	610.357	574.614	661.534	541.983	625.774	438.159
CRCP	0	0	458.002	429.772	1645.77	0	1750.7	0	457.215
ERAL1	0	0	0	0	926.254	776.668	0	0	0
SNRNP200	2727.73	2981.68	3533.21	3252.9	3702.37	3836.57	3133.75	3624.01	4172.09
PPM1B	43528.9	39385.3	48902.4	47071.3	48374.3	52754.4	42360	47732	46042.1
NUP155	453.943	0	566.828	519.334	471.251	500.424	631.677	551.731	391.364
WDHD1	0	625.385	817.555	1090.45	1317.38	997.212	703.587	835.515	1106.96
ATP6AP2	0	0	0	852.975	1168.67	0	849.18	0	559.501
CDC123	0	203.657	0	0	636.469	440.667	0	0	594.621
POP7	0	0	0	1364.64	1353.28	0	0	0	0
EIF3G	41864.8	41931.6	45527.7	16136.7	4117.65	17212.2	5363.92	18771.9	5926.59
EIF3J	947.518	730.32	953.268	615.361	0	0	666.185	889.082	0
PSMD10	1009.66	756.625	853.943	1822.46	2080.19	2188.96	1939.21	1996.33	1696.23
ALDH1L1	919.904	1021.04	1265.7	898.709	1197	1160.1	1491.38	1582.8	1643.9
ARL6IP5	0	0	0	380.64	0	0	0	0	0
SERF1A	0	1058.6	1250.97	2972.22	191.151	0	2170.85	1516.89	1628.07
DCTN3	1577.53	1539.85	1615.48	2103.85	2166.61	2298.7	2232.19	2316.54	2134.92
DNAJC8	2319.09	2683.07	2315.93	4444.88	4505.83	5051.99	3752.41	3852.78	4169.55
SMNDC1	877.693	1026.32	922.891	2260.67	1602.77	2058.67	1006.36	1319.94	1285.83
TRIO	0	0	0	0	0	455.318	0	0	244.786
CPD	927.313	865.047	939.665	1436.44	1496.91	1631	1578.06	1145.7	1331.93
GLRX3	912.291	0	997.69	1098.17	1179.49	1079.17	1285.23	1197.07	365.571
RSL1D1	906.013	471.604	963.617	2641.77	2355.87	2631.71	752.824	702.068	716.111
CLPX	723.448	642.496	913.001	1249.66	1209.24	1625.43	797.08	586.19	972.049
CIAO1	0	0	0	1063.66	578.647	737.186	388.83	0	0
SRP72	843.374	1075.37	1002.09	1217.81	1155.44	1069.46	1727.68	1147.11	1617.84
MTA2	1656.01	1634.59	1938.5	2837.73	2853.41	3010.52	2614.49	2629.84	2731.83
ALDH1A2	0	0	0	0	0	0	1340.39	2045.34	2294.81
LTN1	984.148	1214.73	1147.05	1709.09	1910.85	1655.76	1160.67	1352.78	1753.51
IPO13	377.77	0	276.801	0	0	0	523.69	801.428	0
MYO1D	939.33	373.609	664.848	1459.98	1622.55	1478.8	990.081	978.648	959.703
PRPF6	1119.97	1740.42	1989.65	2447.85	2417.22	2541.87	1856.2	2061.43	1850.58
PCF11	856.958	0	964.46	0	715.627	657.402	0	0	0
HAUS5	0	792.412	835.968	784.635	953.872	1082.82	874.287	900.388	5983.01
FBXO21	1219.4	1215.72	1000.47	1408.18	1780.49	1547.57	1585.51	1464.09	1345.37
AP2A2	432.22	234.095	0	751.312	563.164	709.181	640.581	0	727.641
SEC31A	1442.29	1416.39	1470.93	1357	1383.77	1228.4	1487.81	2123.94	1324.63
HEXIM1	803.98	911.43	1102.09	10984.8	12110.8	11750.5	1045.84	1215.77	995.379
UBR5	0	304.317	306.423	334.595	1412.53	528.582	444.948	554.432	1007.03
SCAF4	0	0	0	1010.59	1414.9	1534.84	592.612	704.187	0
ELP1	2045.68	2016.79	2378.16	3136.82	3007.66	3691.09	2806.51	2896.08	2797.54
