Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PSMA4	Q96H86	Q96H86	0.820|1.039|1.012|0.893	3.763	0.941	4	1.332|1.587|1.742|1.580	0.000	0.000	0.000	0.000	0.000	-14.552	0.606	0.839	
PSMA4	Q96HA1	Q96HA1	1.163|2.554|2.891|1.188	7.795	1.949	4	3.822|4.027|4.714|4.103	0.000	0.000	0.000	0.000	0.000	-14.552	0.469	0.839	
PSMA4	Q96HC4	Q96HC4	1.278|3.389|2.590|1.645	8.901	2.225	4	1.573|1.851|1.499|1.313	0.231	0.922	0.231	0.922	0.231	-14.552	1.438	0.398	
PSMA4	Q96HE7	Q96HE7	0.197|0.326|0.324|0.079	0.926	0.232	4	0.391|0.331|0.217|0.256	0.000	0.000	0.000	0.000	0.000	-14.552	0.795	0.809	
PSMA4	Q96HP0	Q96HP0	0.309|0.438|0.455|0.362	1.563	0.391	4	0.369|0.159|0.247|0.153	0.079	0.173	0.079	0.173	0.079	-5.745	1.798	0.482	
PSMA4	Q96HP4	Q96HP4	0.320|2.789|1.570|0.592	5.271	1.318	4	1.186|1.313|1.258|1.305	0.234	0.934	0.234	0.934	0.234	-14.552	1.042	0.393	
PSMA4	Q96HQ2	Q96HQ2	1.240|0.956|1.100|1.546	4.841	1.210	4	1.276|2.416|2.008|1.578	0.000	0.000	0.000	0.000	0.000	-14.552	0.685	0.830	
PSMA4	Q96HR8	Q96HR8	2.514|4.072|2.687|3.473	12.745	3.186	4	3.919|5.425|5.954|4.902	0.000	0.000	0.000	0.000	0.000	-14.552	0.638	0.878	
PSMA4	Q96HS1	Q96HS1	1.505|2.518|2.154|1.130	7.307	1.827	4	1.956|2.207|1.848|2.033	0.000	0.000	0.000	0.000	0.000	-14.552	0.910	0.788	
PSMA4	Q96HW7	Q96HW7	1.131|1.147|1.291|1.594	5.163	1.291	4	0.826|1.210|0.844|0.828	0.000	0.000	0.000	0.000	0.000	-13.690	1.412	0.708	
PSMA4	Q96HY6	Q96HY6	0.188|0.194|0.197|0.139	0.718	0.179	4	0.071|0.114|0.052|0.063	0.724	0.960	0.724	0.960	0.724	-2.568	2.500	0.067	
PSMA4	Q96HY7	Q96HY7	0.472|0.428|0.491|0.506	1.897	0.474	4	0.908|0.771|0.772|0.883	0.000	0.000	0.000	0.000	0.000	-14.552	0.570	0.839	
PSMA4	Q96I15	Q96I15	0.194|0.201|0.250|0.158	0.802	0.201	4	0.202|0.117|0.124|0.138	0.001	0.002	0.001	0.002	0.001	-14.425	1.412	0.650	
PSMA4	Q96I24	Q96I24	1.993|1.357|1.604|1.843	6.797	1.699	4	1.835|1.892|1.845|2.025	0.000	0.000	0.000	0.000	0.000	-14.552	0.895	0.817	
PSMA4	Q96I25	Q96I25	3.476|4.544|5.122|3.116	16.258	4.064	4	2.554|2.714|3.204|2.799	0.000	0.001	0.000	0.001	0.000	-14.314	1.447	0.663	
PSMA4	Q96I51	Q96I51	0.627|0.775|0.980|0.552	2.934	0.734	4	0.917|1.288|1.009|0.987	0.000	0.000	0.000	0.000	0.000	-14.552	0.705	0.839	
PSMA4	Q96I99	Q96I99	1.207|0.604|0.693|1.176	3.680	0.920	4	1.350|1.328|0.885|0.809	0.000	0.000	0.000	0.000	0.000	-14.552	0.864	0.809	
PSMA4	Q96II8	Q96II8	0.952|1.317|1.297|0.892	4.458	1.114	4	0.662|0.505|0.383|0.288	0.598	0.979	0.598	0.979	0.598	-1.805	2.543	0.102	
PSMA4	Q96IJ6	Q96IJ6	1.918|1.824|1.939|2.140	7.821	1.955	4	3.388|3.681|3.932|3.261	0.000	0.000	0.000	0.000	0.000	-14.552	0.550	0.839	
PSMA4	Q96IX5	Q96IX5	0.344|1.183|1.078|0.647	3.252	0.813	4	0.845|1.549|0.960|0.760	0.000	0.000	0.000	0.000	0.000	-14.552	0.822	0.758	
PSMA4	Q96IY1	Q96IY1	0.150|0.214|0.264|0.170	0.798	0.199	4	0.190|0.175|0.141|0.215	0.000	0.000	0.000	0.000	0.000	-14.552	1.120	0.752	
PSMA4	Q96IZ0	Q96IZ0	2.353|1.040|0.875|2.296	6.563	1.641	4	2.714|1.536|2.037|2.821	0.000	0.000	0.000	0.000	0.000	-14.552	0.742	0.817	
