Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
MEPCE	ERC1	ERC1	0.684|0.611|0.635	1.930	0.643	3	0.791|1.030|0.877	0.000	0.000	0.000	0.000	0.000	-16.005	0.720	0.953	
MEPCE	TRAPPC5	TRAPPC5	2.997|2.862|3.003	8.861	2.954	3	3.334|3.305|3.077	0.000	0.000	0.000	0.000	0.000	-16.005	0.913	0.948	
MEPCE	PLD3	PLD3	0.883|0.945|0.761	2.589	0.863	3	0.711|0.780|0.732	0.000	0.001	0.000	0.001	0.000	-15.885	1.166	0.852	
MEPCE	MAP7D3	MAP7D3	2.355|2.256|2.635	7.246	2.415	3	1.802|1.784|1.721	0.020	0.029	0.020	0.029	0.020	-6.708	1.366	0.690	
MEPCE	FOXRED2	FOXRED2	0.504|0.472|.	1.374	0.458	3	0.635|.|0.495	0.000	0.000	0.000	0.000	0.000	-16.005	0.817	0.966	
MEPCE	MGA	MGA	0.399|.|.	1.195	0.398	3	0.091|0.459|0.543	0.005	0.014	0.005	0.014	0.005	-4.264	1.405	0.823	
MEPCE	PHF6	PHF6	2.922|2.910|3.156	8.988	2.996	3	2.321|2.347|2.481	0.009	0.028	0.009	0.028	0.009	-9.703	1.258	0.815	
MEPCE	CHERP	CHERP	1.739|1.722|1.816	5.277	1.759	3	1.286|1.287|1.308	0.029	0.029	0.029	0.029	0.029	-3.505	1.360	0.629	
MEPCE	CDAN1	CDAN1	0.628|0.471|0.691	1.791	0.597	3	.|0.455|0.483	0.000	0.001	0.000	0.001	0.000	-16.003	1.273	0.863	
MEPCE	ANKHD1	ANKHD1	0.535|0.425|0.499	1.460	0.487	3	0.310|0.349|.	0.000	0.001	0.000	0.001	0.000	-13.539	1.478	0.857	
MEPCE	CCAR1	CCAR1	1.527|1.385|1.455	4.367	1.456	3	1.334|1.272|1.295	0.000	0.000	0.000	0.000	0.000	-15.372	1.120	0.905	
MEPCE	DHX40	DHX40	0.689|0.713|0.606	2.008	0.669	3	1.004|0.776|0.704	0.000	0.000	0.000	0.000	0.000	-16.005	0.818	0.954	
MEPCE	DNAJC10	DNAJC10	1.544|1.643|1.452	4.639	1.546	3	1.317|1.517|0.938	0.000	0.000	0.000	0.000	0.000	-15.677	1.254	0.931	
MEPCE	NELFCD	NELFCD	0.390|.|.	1.186	0.395	3	.|.|0.401	0.000	0.000	0.000	0.000	0.000	-16.005	0.985	0.969	
MEPCE	MSRB3	MSRB3	0.968|0.965|0.970	2.903	0.968	3	1.174|1.123|1.248	0.000	0.000	0.000	0.000	0.000	-16.005	0.820	0.957	
MEPCE	MRPL41	MRPL41	0.312|0.286|0.499	1.098	0.366	3	0.260|.|.	0.008	0.024	0.008	0.024	0.008	-15.750	1.405	0.816	
MEPCE	PLPP6	PLPP6	0.538|.|0.538	1.474	0.491	3	0.382|.|0.417	0.000	0.000	0.000	0.000	0.000	-16.005	1.231	0.900	
MEPCE	RAVER1	RAVER1	1.025|0.752|0.557	2.333	0.778	3	0.800|0.821|0.679	0.000	0.000	0.000	0.000	0.000	-16.005	1.018	0.887	
MEPCE	SRRM1	SRRM1	1.266|1.239|1.434	3.939	1.313	3	0.902|0.941|0.917	0.029	0.029	0.029	0.029	0.029	-3.505	1.427	0.554	
MEPCE	GSPT2	GSPT2	0.586|0.602|0.578	1.766	0.589	3	0.785|0.686|0.871	0.000	0.000	0.000	0.000	0.000	-16.005	0.758	0.953	
MEPCE	EXOC8	EXOC8	0.602|.|0.890	1.890	0.630	3	0.487|0.671|.	0.010	0.029	0.010	0.029	0.010	-16.005	1.102	0.799	
MEPCE	THNSL1	THNSL1	0.312|.|.	1.108	0.369	3	0.409|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.903	0.968	
MEPCE	ALDH16A1	ALDH16A1	0.455|0.398|0.495	1.349	0.450	3	0.643|0.652|0.675	0.000	0.000	0.000	0.000	0.000	-16.005	0.685	0.957	
MEPCE	ABI1	ABI1	0.681|0.745|0.736	2.163	0.721	3	0.798|0.816|0.738	0.000	0.000	0.000	0.000	0.000	-16.005	0.920	0.957	
MEPCE	SELENOH	SELENOH	1.092|1.264|1.110	3.466	1.155	3	0.827|0.886|1.007	0.000	0.001	0.000	0.001	0.000	-13.317	1.278	0.863	
MEPCE	RBIS	RBIS	1.615|1.732|1.662	5.009	1.670	3	1.442|1.556|1.400	0.000	0.000	0.000	0.000	0.000	-14.495	1.140	0.902	
MEPCE	VKORC1L1	VKORC1L1	0.304|0.485|.	1.187	0.396	3	0.133|.|0.134	0.600	1.000	0.600	1.000	0.600	1.382	2.960	0.076	
MEPCE	RBFA	RBFA	0.615|0.563|0.553	1.731	0.577	3	0.551|0.475|0.540	0.000	0.000	0.000	0.000	0.000	-15.596	1.108	0.914	
MEPCE	SPART	SPART	0.934|0.848|0.890	2.672	0.891	3	0.541|0.402|0.719	0.000	0.001	0.000	0.001	0.000	-9.362	1.654	0.853	
MEPCE	CYP4X1	CYP4X1	0.604|0.508|0.426	1.538	0.513	3	.|.|.	0.010	0.029	0.010	0.029	0.010	-15.310	1.287	0.756	
MEPCE	CCAR2	CCAR2	2.154|2.325|2.296	6.776	2.259	3	2.127|2.300|2.292	0.000	0.000	0.000	0.000	0.000	-16.005	1.009	0.942	
MEPCE	VPS52	VPS52	0.740|0.661|0.663	2.064	0.688	3	0.829|0.858|0.729	0.000	0.000	0.000	0.000	0.000	-16.005	0.857	0.957	
MEPCE	NUP93	NUP93	0.203|0.378|0.284	0.864	0.288	3	0.803|0.770|0.519	0.000	0.000	0.000	0.000	0.000	-16.005	0.421	0.957	
MEPCE	LRRC47	LRRC47	1.415|1.540|1.540	4.495	1.498	3	1.321|1.522|1.260	0.000	0.000	0.000	0.000	0.000	-15.896	1.099	0.928	
MEPCE	H2BC26	H2BC26	0.377|.|.	1.173	0.391	3	0.264|.|0.372	0.000	0.000	0.000	0.000	0.000	-14.805	1.246	0.942	
MEPCE	ABHD12	ABHD12	0.375|.|.	1.171	0.390	3	.|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.980	0.970	
MEPCE	STAG2	STAG2	0.505|0.718|0.489	1.712	0.571	3	0.408|0.427|0.687	0.000	0.000	0.000	0.000	0.000	-16.005	1.158	0.902	
MEPCE	ZGPAT	ZGPAT	0.912|0.976|0.885	2.773	0.924	3	0.571|0.517|0.674	0.003	0.007	0.003	0.007	0.003	-8.731	1.584	0.829	
MEPCE	NKAP	NKAP	3.245|3.349|3.391	9.984	3.328	3	3.535|3.477|3.446	0.000	0.000	0.000	0.000	0.000	-16.005	0.955	0.962	
MEPCE	NOPCHAP1	NOPCHAP1	0.399|0.486|.	1.284	0.428	3	0.325|.|0.439	0.000	0.000	0.000	0.000	0.000	-15.883	1.133	0.918	
MEPCE	CISD2	CISD2	0.701|0.776|0.695	2.173	0.724	3	0.579|0.657|0.809	0.000	0.000	0.000	0.000	0.000	-15.983	1.072	0.939	
MEPCE	RPP25L	RPP25L	0.953|1.028|1.256	3.237	1.079	3	0.877|0.834|0.698	0.002	0.005	0.002	0.005	0.002	-14.388	1.350	0.835	
MEPCE	MRPL50	MRPL50	0.384|.|.	1.181	0.394	3	.|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.988	0.970	
MEPCE	CPSF7	CPSF7	2.054|1.699|1.495	5.249	1.750	3	2.174|2.729|2.211	0.000	0.000	0.000	0.000	0.000	-16.005	0.742	0.951	
MEPCE	PAF1	PAF1	0.756|0.670|0.659	2.086	0.695	3	0.508|0.591|0.597	0.000	0.000	0.000	0.000	0.000	-13.766	1.233	0.867	
MEPCE	ENAH	ENAH	1.152|1.106|1.144	3.403	1.134	3	1.195|1.144|1.230	0.000	0.000	0.000	0.000	0.000	-16.005	0.954	0.957	
MEPCE	MRPL43	MRPL43	0.279|0.337|.	1.014	0.338	3	.|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.849	0.967	
MEPCE	FAM133A	FAM133A	0.695|0.853|0.826	2.374	0.791	3	0.586|1.025|.	0.000	0.000	0.000	0.000	0.000	-16.005	1.021	0.934	
MEPCE	SREK1IP1	SREK1IP1	3.998|5.040|.	9.436	3.145	3	6.262|7.259|7.180	0.000	0.000	0.000	0.000	0.000	-16.005	0.457	0.967	
MEPCE	PRPF38A	PRPF38A	3.583|3.740|3.469	10.793	3.598	3	3.444|3.042|3.010	0.000	0.000	0.000	0.000	0.000	-14.837	1.139	0.907	
MEPCE	ZNF511	ZNF511	1.262|1.228|1.251	3.741	1.247	3	.|.|.	0.413	0.615	0.413	0.615	0.413	-1.655	3.132	0.094	
MEPCE	COLGALT1	COLGALT1	0.323|0.461|0.412	1.195	0.398	3	0.455|0.485|0.471	0.000	0.000	0.000	0.000	0.000	-16.005	0.847	0.957	
MEPCE	TXNDC5	TXNDC5	1.949|1.813|1.835	5.596	1.865	3	1.815|1.765|1.719	0.000	0.000	0.000	0.000	0.000	-15.898	1.056	0.929	
MEPCE	SPC24	SPC24	0.245|.|0.234	0.878	0.293	3	0.576|0.615|0.317	0.000	0.000	0.000	0.000	0.000	-16.005	0.607	0.967	
MEPCE	SCCPDH	SCCPDH	0.587|0.584|0.468	1.640	0.547	3	0.534|0.455|0.487	0.000	0.000	0.000	0.000	0.000	-16.005	1.113	0.905	
MEPCE	SERBP1	SERBP1	8.305|7.921|7.587	23.813	7.938	3	8.420|8.567|8.778	0.000	0.000	0.000	0.000	0.000	-16.005	0.924	0.962	
MEPCE	KCT2	KCT2	0.375|0.441|0.303	1.119	0.373	3	.|0.239|.	0.001	0.002	0.001	0.002	0.001	-14.530	1.561	0.844	
MEPCE	FAM98A	FAM98A	1.273|1.212|1.443	3.928	1.309	3	1.481|1.222|1.237	0.000	0.000	0.000	0.000	0.000	-16.005	1.001	0.938	
MEPCE	NFATC2IP	NFATC2IP	1.569|1.464|1.366	4.398	1.466	3	1.318|1.557|1.432	0.000	0.000	0.000	0.000	0.000	-16.005	1.024	0.935	
MEPCE	DYNC2H1	DYNC2H1	0.602|1.507|0.516	2.625	0.875	3	0.686|0.518|0.531	0.324	0.971	0.324	0.971	0.324	-16.005	1.526	0.257	
MEPCE	LSM14A	LSM14A	28.758|29.739|30.270	88.767	29.589	3	26.716|25.873|26.713	0.000	0.000	0.000	0.000	0.000	-14.886	1.119	0.914	
MEPCE	C1orf131	C1orf131	1.756|2.208|1.969	5.933	1.978	3	1.266|1.448|1.219	0.020	0.029	0.020	0.029	0.020	-8.030	1.513	0.693	
MEPCE	ABCF1	ABCF1	1.259|1.302|1.256	3.818	1.273	3	1.555|1.251|1.114	0.000	0.000	0.000	0.000	0.000	-16.005	0.983	0.948	
MEPCE	SLC30A7	SLC30A7	0.871|0.890|0.865	2.626	0.875	3	0.837|0.813|0.945	0.000	0.000	0.000	0.000	0.000	-16.004	1.014	0.945	
MEPCE	LPCAT1	LPCAT1	0.624|0.198|0.263	1.086	0.362	3	0.338|.|0.306	0.010	0.029	0.010	0.029	0.010	-16.005	1.126	0.794	
MEPCE	FLAD1	FLAD1	0.277|.|.	1.073	0.358	3	.|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.899	0.970	
MEPCE	NUP43	NUP43	0.603|0.631|0.800	2.034	0.678	3	0.622|0.555|0.628	0.010	0.029	0.010	0.029	0.010	-16.003	1.128	0.790	
MEPCE	CMAS	CMAS	2.002|2.230|2.282	6.514	2.171	3	0.906|0.924|0.872	0.029	0.029	0.029	0.029	0.029	-3.505	2.411	0.554	
MEPCE	MOSPD2	MOSPD2	0.491|0.488|0.543	1.522	0.507	3	0.440|0.501|0.571	0.000	0.000	0.000	0.000	0.000	-16.005	1.012	0.942	
MEPCE	THOC2	THOC2	1.789|1.700|2.533	6.022	2.007	3	1.031|1.261|1.009	0.016	0.029	0.016	0.029	0.016	-6.396	1.834	0.730	
MEPCE	COQ8A	COQ8A	0.823|0.868|0.948	2.638	0.879	3	1.019|0.715|0.729	0.000	0.000	0.000	0.000	0.000	-16.000	1.086	0.939	
MEPCE	RP9	RP9	4.036|4.123|4.223	12.382	4.127	3	5.857|5.763|5.673	0.000	0.000	0.000	0.000	0.000	-16.005	0.716	0.962	
MEPCE	SNIP1	SNIP1	0.900|0.842|0.827	2.569	0.856	3	0.857|0.780|0.857	0.000	0.000	0.000	0.000	0.000	-16.005	1.031	0.934	
MEPCE	GADD45GIP1	GADD45GIP1	0.800|1.024|0.907	2.731	0.910	3	0.809|0.817|0.770	0.001	0.002	0.001	0.002	0.001	-16.004	1.140	0.848	
MEPCE	EXOC6	EXOC6	0.294|0.210|0.371	0.875	0.292	3	.|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.733	0.957	
MEPCE	MPLKIP	MPLKIP	0.634|0.490|.	1.522	0.507	3	0.459|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	1.106	0.890	
MEPCE	SMARCC2	SMARCC2	0.532|0.623|0.733	1.888	0.629	3	0.680|0.396|0.595	0.000	0.000	0.000	0.000	0.000	-16.005	1.159	0.923	
MEPCE	FBXO30	FBXO30	0.475|0.292|0.203	0.970	0.323	3	0.583|0.583|0.516	0.000	0.000	0.000	0.000	0.000	-16.005	0.577	0.951	
MEPCE	SLC35B2	SLC35B2	0.388|0.492|0.460	1.341	0.447	3	.|0.199|.	0.638	0.982	0.638	0.982	0.638	-5.026	2.243	0.070	
MEPCE	TBC1D15	TBC1D15	0.829|0.889|0.698	2.417	0.806	3	0.485|0.512|0.444	0.029	0.029	0.029	0.029	0.029	-3.505	1.679	0.471	
MEPCE	RDH11	RDH11	0.281|0.264|0.611	1.155	0.385	3	0.188|0.272|0.309	0.310	0.930	0.310	0.930	0.310	-15.978	1.534	0.272	
MEPCE	PNPT1	PNPT1	0.504|0.446|0.524	1.474	0.491	3	0.545|0.487|0.488	0.000	0.000	0.000	0.000	0.000	-16.005	0.970	0.943	
MEPCE	HM13	HM13	1.175|1.051|1.167	3.393	1.131	3	0.905|0.883|0.880	0.011	0.022	0.011	0.022	0.011	-11.593	1.272	0.750	
MEPCE	DYNC2LI1	DYNC2LI1	0.171|0.289|.	0.858	0.286	3	.|.|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.718	0.967	
MEPCE	NEK9	NEK9	0.600|0.616|0.641	1.856	0.619	3	0.633|0.538|0.599	0.000	0.000	0.000	0.000	0.000	-15.967	1.051	0.936	
MEPCE	DDX54	DDX54	6.020|5.955|6.067	18.042	6.014	3	5.560|6.574|5.398	0.000	0.000	0.000	0.000	0.000	-15.971	1.033	0.943	
