Bait	PreyGene	#Rep	AvgP	BFDR
MEPCE	PSMA7	3	0.0454	0.4476
EIF4A2	SCAMP3	3	0.0000	0.6827
MEPCE	SCAMP3	3	0.0002	0.6444
EIF4A2	BCKDK	3	0.0000	0.6827
MEPCE	BCKDK	3	0.5702	0.1212
EIF4A2	IKBKB	3	0.0000	0.6827
MEPCE	IKBKB	3	0.0002	0.6444
EIF4A2	HAT1	3	0.0000	0.6827
MEPCE	HAT1	3	0.0026	0.5691
MEPCE	CASK	3	0.3333	0.2157
EIF4A2	MYL12A;MYL12B	3	0.0000	0.6827
MEPCE	MYL12A;MYL12B	3	0.0000	0.6827
MEPCE	VPS26C	3	0.0590	0.4325
EIF4A2	PPP1R12A	3	0.0000	0.6827
MEPCE	PPP1R12A	3	0.2198	0.3745
EIF4A2	SLC27A2	3	0.0577	0.4337
MEPCE	SLC27A2	3	0.2021	0.3794
EIF4A2	HNRNPDL	3	0.6667	0.0325
EIF4A2	XPO1	3	0.3357	0.1875
MEPCE	XPO1	3	0.0086	0.5199
MEPCE	BTAF1	3	0.0232	0.4799
EIF4A2	ARHGEF10	3	0.0000	0.6827
MEPCE	ARHGEF10	3	0.0004	0.6296
EIF4A2	SEC16A	3	0.0001	0.6560
MEPCE	SEC16A	3	0.6667	0.0325
EIF4A2	KHNYN	3	0.0000	0.6827
MEPCE	KHNYN	3	0.0000	0.6827
EIF4A2	U2SURP	3	0.0004	0.6296
MEPCE	U2SURP	3	0.0000	0.6827
EIF4A2	PFAS	3	0.0000	0.6827
MEPCE	PFAS	3	0.0000	0.6827
EIF4A2	DCLK1	3	0.0000	0.6827
MEPCE	DCLK1	3	0.0102	0.5134
EIF4A2	ANKRD28	3	0.2080	0.3775
MEPCE	ANKRD28	3	0.0002	0.6444
EIF4A2	PRORP	3	0.3333	0.2157
MEPCE	PRORP	3	0.6667	0.0325
EIF4A2	CHUK	3	0.0000	0.6827
MEPCE	CHUK	3	0.0016	0.5874
EIF4A2	SCAMP2	3	0.0000	0.6827
MEPCE	SCAMP2	3	0.2186	0.3752
EIF4A2	ARPC2	3	0.0000	0.6827
MEPCE	ARPC2	3	0.0000	0.6827
EIF4A2	ARPC3	3	0.0000	0.6827
MEPCE	ARPC3	3	0.0000	0.6827
EIF4A2	POLR1C	3	0.0003	0.6354
MEPCE	POLR1C	3	0.0006	0.6203
EIF4A2	PGRMC2	3	0.3333	0.2157
EIF4A2	SMAD2;SMAD3;SMAD9	3	0.0000	0.6827
MEPCE	SMAD2;SMAD3;SMAD9	3	0.0000	0.6827
EIF4A2	PFDN6	3	0.0008	0.6093
MEPCE	PFDN6	3	0.3335	0.2079
EIF4A2	NKRF	3	0.0003	0.6354
MEPCE	NKRF	3	0.7605	0.0139
EIF4A2	GNPAT	3	0.0100	0.5147
MEPCE	GNPAT	3	0.0001	0.6560
EIF4A2	MRPS12	3	0.0000	0.6827
MEPCE	MRPS12	3	0.0023	0.5748
EIF4A2	RER1	3	0.0000	0.6827
MEPCE	RER1	3	0.0002	0.6444
EIF4A2	SURF4	3	0.0000	0.6827
MEPCE	SURF4	3	0.0000	0.6827
EIF4A2	SPTLC1	3	0.0085	0.5202
MEPCE	SPTLC1	3	0.3451	0.1692
EIF4A2	SPTLC2	3	0.0000	0.6827
MEPCE	SPTLC2	3	0.3328	0.3328
EIF4A2	OGT	3	0.0000	0.6827
MEPCE	OGT	3	0.0003	0.6354
EIF4A2	HMGB3	3	0.3334	0.2112
MEPCE	HMGB3	3	0.0003	0.6354
EIF4A2	PPM1G	3	0.0000	0.6827
MEPCE	PPM1G	3	0.0001	0.6560
EIF4A2	EIF3D	3	1.0000	0.0000
MEPCE	EIF3D	3	0.1457	0.3959
EIF4A2	EIF3H	3	1.0000	0.0000
MEPCE	EIF3H	3	0.0547	0.4350
EIF4A2	IPO8	3	0.0000	0.6827
MEPCE	IPO8	3	0.0000	0.6827
MEPCE	STX7	3	0.6667	0.0325
EIF4A2	P4HA2	3	0.0035	0.5600
MEPCE	P4HA2	3	0.0001	0.6560
EIF4A2	ARPC5	3	0.0000	0.6827
MEPCE	ARPC5	3	0.0000	0.6827
EIF4A2	DHX15	3	0.0000	0.6827
MEPCE	DHX15	3	0.0412	0.4528
MEPCE	TTI1	3	0.2666	0.3637
EIF4A2	PRPF4	3	0.0161	0.4992
MEPCE	PRPF4	3	0.9724	0.0006
EIF4A2	PHGDH	3	0.0000	0.6827
MEPCE	PHGDH	3	0.0000	0.6827
EIF4A2	PSMD3	3	0.0000	0.6827
MEPCE	PSMD3	3	0.0000	0.6827
EIF4A2	ZW10	3	0.0000	0.6827
MEPCE	ZW10	3	0.0011	0.5991
EIF4A2	SART1	3	0.0001	0.6560
MEPCE	SART1	3	0.0274	0.4732
EIF4A2	SPINT2	3	0.0000	0.6827
MEPCE	SPINT2	3	0.0000	0.6827
MEPCE	GPAA1	3	0.3333	0.2157
EIF4A2	PPIP5K2	3	0.0000	0.6827
MEPCE	PPIP5K2	3	0.0002	0.6444
EIF4A2	MAP3K7	3	0.0000	0.6827
MEPCE	MAP3K7	3	0.0000	0.6827
EIF4A2	EEF1E1	3	0.0000	0.6827
MEPCE	EEF1E1	3	0.0000	0.6827
EIF4A2	HNRNPR	3	1.0000	0.0000
MEPCE	HNRNPR	3	1.0000	0.0000
EIF4A2	PRPF3	3	0.0063	0.5328
MEPCE	PRPF3	3	1.0000	0.0000
MEPCE	TXNL1	3	0.0000	0.6827
EIF4A2	TPD52L2	3	0.0000	0.6827
