Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
PLK4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRAF5	0	1	0	1	0	0	10	1	6	0	0	0	5	5	5	1	0	0	0	0	0	0	0	0
PLOD2	2	0	4	2	3	0	0	6	4	4	9	4	1	2	0	0	3	1	1	1	0	0	2	5
EXOC5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELL2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0
NDUFA4	1	1	1	0	0	0	0	1	1	0	2	0	1	1	1	3	1	2	2	1	1	1	1	2
PSMD14	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	0	1	0	0	0	0	0	0	0
BIN1	1	1	1	0	0	0	4	7	5	0	0	0	2	2	4	0	0	0	0	0	1	0	0	0
KPNA3	8	10	9	0	1	2	10	10	10	0	0	1	9	5	7	13	10	8	5	5	2	0	0	0
PES1	1	1	1	0	0	0	3	4	3	0	0	0	0	0	0	2	4	3	0	0	0	0	0	0
SDCBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PITPNM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MPHOSPH10	0	0	0	0	0	0	5	4	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
NOP56	0	0	0	2	3	1	0	1	2	4	2	0	1	0	0	3	3	3	0	2	2	2	1	3
DDX3X	59	52	55	23	22	29	47	46	53	16	23	16	67	69	72	28	30	22	40	32	35	19	21	18
KPNA4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4	5	5	0	0	0	0	0	0
NFIB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	7	0	0	0	0	0	0
E2F3	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
PPP6C	0	0	1	0	0	0	0	0	2	0	0	0	0	1	2	4	5	2	0	0	0	0	0	0
PIK3C2B	1	0	0	0	0	0	0	1	0	1	0	0	2	1	2	0	0	0	0	0	1	0	0	0
ACACB	15	19	16	45	51	49	18	20	16	72	101	67	16	27	29	39	42	37	27	26	28	67	54	76
SCD	0	0	1	0	0	0	3	3	1	0	0	0	0	1	3	6	12	5	0	0	0	0	0	0
ARID1A	0	0	1	0	0	0	19	16	22	0	0	0	0	0	0	4	12	6	0	0	0	0	0	0
BHLHE40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
NCKAP5	0	0	0	0	0	0	0	2	0	0	0	0	2	1	2	0	0	0	10	6	2	0	0	0
NEMP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TXNDC9	2	1	3	0	0	0	1	1	2	0	0	0	1	2	1	1	1	0	0	0	2	0	0	0
DPYSL4	0	1	2	0	0	0	2	0	0	0	0	0	2	0	1	0	3	1	0	0	0	0	0	0
UBFD1	2	4	1	1	5	1	0	1	2	4	11	3	1	0	0	2	2	1	0	0	1	4	3	2
CIT	0	0	0	0	0	0	4	2	4	0	0	0	1	2	4	0	0	0	1	0	0	1	0	0
CTDSP2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTY	0	0	1	0	1	2	0	0	1	0	1	0	1	0	0	2	1	0	0	0	1	0	1	1
CDC42EP2	0	2	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	2	0	1	0	0	0
AP3D1	15	14	13	2	5	2	16	18	26	0	0	0	16	19	18	19	22	18	9	18	10	0	0	0
CCS	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
ZNF195	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	6	4	6	0	0	0	0	0	0
ABLIM1	46	49	43	4	3	1	24	18	21	0	0	0	22	19	27	0	0	0	4	5	3	0	0	0
DVL1	5	7	4	0	0	0	7	5	6	0	0	0	8	8	15	0	0	0	3	3	0	0	0	0
DVL2	46	39	34	16	13	17	33	40	45	0	0	1	43	46	50	10	11	9	29	30	26	0	0	1
CHD1	1	0	0	0	0	0	17	13	17	0	0	0	0	0	2	21	29	22	0	0	0	0	0	0
CHD2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
GOSR2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0
EI24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KMT2D	0	0	0	0	0	0	5	4	6	0	0	0	1	1	0	3	3	0	0	0	0	0	0	0
RGPD8	0	0	0	0	0	0	1	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
RIOK3	0	2	1	0	0	0	0	5	3	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0
IMPA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
CDIPT	2	0	0	0	0	0	0	1	1	0	0	0	4	5	9	3	2	1	1	1	1	0	0	0
PDCD5	1	1	1	0	0	0	2	1	1	0	0	0	1	1	2	1	0	1	0	0	0	0	0	0
SLC9A3R1	0	1	1	1	0	1	1	1	1	1	3	4	0	0	0	1	3	1	0	0	0	1	0	2
CHEK1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	2	2	3	0	0	0	0	0	0
TCERG1	0	1	0	0	0	0	13	12	12	0	0	0	0	0	0	10	12	13	3	0	0	0	0	0
NDC80	1	1	1	0	0	0	1	3	4	0	0	0	13	12	14	0	0	0	5	4	1	0	0	0
TNPO2	0	1	0	0	0	0	0	0	1	0	0	0	35	27	42	0	0	0	0	0	0	0	0	0
UNC13B	0	0	0	0	0	0	1	1	3	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0
POLR3A	0	0	0	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0
PSMA7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
SCAMP3	1	1	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MGST3	3	2	0	0	0	0	0	4	3	0	2	1	1	0	3	3	3	4	0	0	0	0	1	4
TAX1BP3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
GIPC1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IKBKB	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
HAT1	6	8	8	5	4	2	10	11	15	1	2	3	6	5	11	15	17	14	6	6	6	6	3	2
MYL12B	8	7	9	10	11	5	6	12	10	7	10	7	9	6	10	7	7	6	7	8	9	6	11	12
AURKA	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	5	8	0	0	0
RAB29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0
VPS26C	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R12A	53	58	55	12	12	17	51	34	46	0	0	0	33	26	30	0	5	1	33	31	29	0	1	0
GAK	6	11	7	1	1	0	15	14	12	0	0	0	17	17	16	2	1	3	7	8	5	0	0	0
HNRNPDL	2	2	5	6	2	1	5	3	4	3	4	5	4	3	4	6	8	4	3	3	5	7	5	6
XPO1	13	18	14	3	3	3	18	17	30	2	2	5	21	23	27	13	14	11	10	8	5	3	3	5
BTAF1	0	0	0	0	0	0	4	7	8	0	0	0	0	1	0	24	25	15	0	0	0	0	0	0
ARHGEF10	7	4	8	0	0	1	11	13	18	0	0	0	10	13	12	0	0	0	1	0	0	0	0	0
ZNF609	0	1	0	0	0	0	19	16	15	0	0	0	0	0	0	34	26	23	0	1	1	0	0	0
PDZD2	3	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPTBN2	23	17	29	0	0	1	7	5	9	0	0	0	4	3	5	1	1	0	0	0	0	0	0	0
SEC16A	54	45	60	5	7	6	65	77	68	0	1	0	101	103	106	10	16	8	29	32	22	3	1	3
PLXNB2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
U2SURP	9	8	6	0	0	1	30	26	36	0	0	1	2	6	3	29	29	29	8	10	6	1	2	1
SETD1A	0	0	0	0	0	0	4	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KDM6B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SYNJ2	81	74	75	48	49	53	82	82	74	3	2	10	68	71	96	20	26	19	85	93	90	10	8	7
SYNM	66	48	45	2	2	2	70	61	69	0	0	3	101	99	99	0	0	1	24	27	15	0	0	0
GARRE1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PFAS	14	17	18	26	29	11	12	17	17	20	34	20	16	17	23	19	15	11	11	10	18	20	32	24
CEP290	0	0	0	0	0	1	0	1	4	0	0	0	8	5	14	0	0	0	5	5	0	0	0	0
ERC2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ANKRD28	20	15	20	1	2	5	19	26	28	0	0	0	22	22	33	1	4	1	4	5	5	0	0	0
ARHGEF11	18	17	22	0	0	0	2	3	4	0	0	0	2	2	4	0	0	0	0	0	0	0	0	0
PRORP	0	1	0	0	0	0	0	0	0	0	0	0	5	4	8	0	1	0	0	0	0	0	0	0
DEGS1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPC1B	4	3	5	0	0	0	2	1	4	0	0	0	5	3	2	0	1	1	0	0	0	0	0	0
ARPC2	4	4	4	0	0	0	2	0	1	0	0	0	1	1	4	0	1	0	0	0	0	0	0	0
BET1	4	2	1	3	2	2	1	2	6	3	2	2	1	1	1	7	7	6	1	0	1	1	3	3
TRIM24	0	0	0	0	0	0	15	16	17	0	0	0	0	0	0	13	17	12	1	0	0	0	0	0
AXIN1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PGRMC2	1	1	6	1	2	0	1	3	1	2	2	1	5	3	1	2	4	4	1	2	1	2	2	1
PFDN6	3	3	3	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0
WDR46	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKRF	1	3	0	0	1	1	12	5	9	0	0	0	10	10	9	4	10	2	0	0	0	0	1	1
ZNF185	30	25	22	0	0	0	10	6	9	0	0	0	3	2	4	0	0	0	0	0	0	0	0	0
RER1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
SURF4	6	6	6	2	3	2	4	10	8	1	2	3	11	10	6	8	10	5	6	3	7	3	2	4
SPTLC1	0	1	2	0	0	0	2	1	1	0	0	0	4	7	4	2	8	2	0	0	0	0	0	0
OGT	3	7	12	1	0	0	6	14	12	0	0	0	8	7	13	7	7	7	5	6	7	0	0	0
PMM2	0	0	0	2	4	1	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	2	1	3
PPM1G	2	0	1	0	2	1	3	2	3	3	2	2	0	0	1	10	8	10	1	0	2	1	0	2
INPPL1	34	30	32	6	12	6	30	23	35	1	3	1	26	35	30	4	10	8	15	11	24	1	2	5
FANCA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3D	6	6	6	4	6	3	10	12	11	7	8	5	6	9	16	7	16	8	6	5	6	9	3	6
EIF3H	7	3	8	2	3	3	10	6	10	0	3	3	19	13	24	6	12	6	6	4	6	1	0	2
NVL	0	0	0	0	0	0	6	13	10	0	0	0	0	0	0	8	10	7	0	0	0	0	0	0
IPO8	10	8	9	0	0	0	20	14	15	0	0	0	21	21	22	11	14	13	6	6	2	0	0	0
SLC16A3	4	1	4	1	0	2	0	0	1	2	4	1	4	5	3	4	1	1	1	1	1	0	0	2
POLR1G	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YKT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	3	0	0	0	0	0	0
NUP42	0	2	0	0	0	0	4	2	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0
ARPC5	3	3	4	0	1	0	2	4	3	0	0	0	2	4	6	0	5	2	2	0	0	0	1	0
TAPBP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0
RNF113A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	6	10	0	1	0	0	0	0
KDM6A	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DHX15	18	24	28	33	25	28	24	38	39	44	46	31	18	15	19	54	47	39	32	25	27	36	44	37
RNMT	2	2	4	0	0	0	4	3	7	2	4	2	0	0	0	6	9	4	1	1	0	0	0	3
ZZEF1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ASAP2	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
TTI1	2	1	1	0	0	0	1	1	2	0	0	0	1	4	4	0	0	0	0	0	0	0	0	0
RRP8	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0
PJA2	0	0	0	0	0	0	0	0	0	0	0	0	5	4	8	0	0	0	0	0	0	0	0	0
SIPA1L1	88	90	87	0	3	0	42	39	46	0	0	0	39	39	49	0	0	0	3	3	0	0	0	0
CYB5B	3	5	1	1	0	0	2	4	2	0	0	0	1	1	2	1	3	1	1	0	0	0	0	0
PRPF4	0	0	1	0	0	0	7	6	6	0	0	0	1	0	0	5	7	8	0	0	0	0	0	0
PHGDH	8	10	9	8	6	9	4	5	5	4	6	9	5	7	6	7	4	5	4	7	3	4	5	6
DYNC1LI2	12	13	18	1	0	2	14	14	14	0	0	0	9	8	10	0	0	0	3	1	2	0	0	0
PSMD3	5	4	6	1	0	0	4	3	6	0	0	0	4	4	4	1	4	0	2	2	2	0	0	0
PAPSS1	2	0	2	0	0	0	4	1	4	0	0	0	0	0	1	6	6	6	0	0	0	0	0	0
ZW10	0	0	1	0	0	0	0	1	2	0	0	0	2	1	1	1	0	0	1	0	0	0	0	0
SART1	15	15	13	2	1	0	66	65	65	0	0	2	5	5	5	62	75	54	16	13	18	4	2	8
DAPK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TGFB1I1	5	4	4	1	2	2	3	3	3	0	0	0	2	7	4	0	3	0	1	0	1	0	0	0
CCP110	1	5	5	1	1	0	3	4	4	0	0	0	6	5	7	0	0	0	9	7	4	0	0	0
CTIF	1	1	0	0	0	0	2	2	6	0	0	0	3	2	5	0	0	0	0	1	0	0	0	0
PPIP5K2	1	5	3	0	0	0	8	1	9	0	0	0	2	2	3	4	5	3	2	1	1	0	0	0
MAP3K7	1	0	1	0	0	0	0	2	1	0	0	0	1	5	5	0	0	0	0	0	0	0	0	0
EEF1E1	1	1	1	4	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	3
RIPK2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR62	0	0	0	0	0	0	3	1	2	0	0	0	10	5	14	0	0	0	0	0	0	0	0	0
HNRNPR	7	6	13	9	11	10	14	17	17	13	11	11	8	10	14	11	15	9	6	7	9	7	7	9
PRPF3	13	7	11	0	1	0	74	61	55	2	0	1	6	5	2	52	60	46	15	15	13	3	1	3
TXNL1	3	3	3	0	0	0	3	3	3	0	0	3	1	2	2	0	0	0	0	0	0	0	0	0
TPD52L2	10	12	10	4	5	4	12	12	11	0	0	0	13	11	13	6	8	6	10	5	5	1	0	1
EMC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GRID2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
SYNJ1	1	1	0	0	0	0	1	1	1	0	0	0	2	1	6	0	0	0	0	1	0	0	0	0
EIF4G3	21	16	24	1	0	0	16	23	25	0	0	0	13	17	18	0	0	0	16	15	19	0	0	0
PPIH	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MGAM	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OIP5	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0
EPB41L2	28	30	36	17	18	22	29	22	38	0	0	0	10	16	16	0	0	1	9	6	3	0	0	2
RAD51C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0
LAMTOR5	2	0	0	2	4	1	0	0	2	3	4	6	1	1	1	3	0	2	2	0	0	3	3	3
FOXO3	1	0	0	0	0	0	4	1	9	0	0	0	0	0	4	1	3	0	0	0	0	0	0	0
TGM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AKAP10	3	0	0	0	0	0	3	1	1	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0
DENR	0	0	0	2	1	1	0	0	2	1	3	2	0	0	0	0	0	0	0	0	0	2	3	2
XPOT	4	1	3	0	0	0	3	2	2	0	0	0	27	26	29	9	16	8	0	0	0	0	0	0
