Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
LMNA	P62910	RPL32	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	P68036	UBE2L3	0|1|0	1	0.33	3	0|1|1|2|1|2|1|0|0	0.00	0.00	0.00	0.00	0.00	-4.73	0.38	0.75	
LMNA	P78345	RPP38	0|1|0	1	0.33	3	5|2|2|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-4.48	0.33	0.75	
LMNA	P82921	MRPS21	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	Q00796	SORD	0|1|0	1	0.33	3	1|1|5|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-4.62	0.43	0.75	
LMNA	Q01850	CDR2	0|2|0	2	0.67	3	11|11|12|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-16.10	0.18	0.75	
LMNA	Q01968	OCRL	0|1|0	1	0.33	3	27|19|16|0|1|2|0|0|0	0.00	0.00	0.00	0.00	0.00	-30.79	0.05	0.75	
LMNA	Q03135	CAV1	0|1|1	2	0.67	3	4|4|7|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-7.50	0.40	0.75	
LMNA	Q04721	NOTCH2	0|3|0	3	1.00	3	15|14|13|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-19.82	0.21	0.75	
LMNA	Q04726	TLE3	0|1|0	1	0.33	3	3|1|1|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-3.62	0.60	0.75	
LMNA	Q05397	PTK2	0|1|0	1	0.33	3	0|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.89	3.33	0.75	
LMNA	Q06323	PSME1	0|1|1	2	0.67	3	1|2|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-2.76	2.00	0.75	
LMNA	Q06587	RING1	0|2|0	2	0.67	3	0|0|0|0|0|0|0|0|0	0.31	0.93	0.31	0.93	0.31	-1.89	6.67	0.35	
