Bait	PreyGene	predicted_probability	FDR	background_flag_protein
KRT8	GREB1L	0.0566	1	
KRT8	GRHPR	0.5417	0.350064452	
KRT8	GRIPAP1	0.7778	0.136908893	
KRT8	GRK2	0.7072	0.160118577	
KRT8	GRSF1	0.8321	0.062240664	
KRT8	GRWD1	0.5934	0.225964982	likely background
KRT8	GSDMA	0.0074	1	
KRT8	GSDME	0.764	0.136908893	
KRT8	GSE1	0.471	0.501259772	
KRT8	GSK3A	0.7183	0.158189916	
KRT8	GSK3B	0.9549	0.001113586	
KRT8	GSN	0.717	0.158189916	
KRT8	GSPT1	0.8334	0.058842548	
KRT8	GSPT2	0.8103	0.095796676	
KRT8	GSR	0.5982	0.222998762	likely background
KRT8	GSTCD	0.5377	0.350064452	
KRT8	GSTK1	0.7218	0.158189916	
KRT8	GSTM3	0.7325	0.156629742	likely background
KRT8	GSTP1	0.5297	0.356631124	likely background
KRT8	GTF2A1	0.4734	0.495504224	
KRT8	GTF2B	0	1	
KRT8	GTF2E1	0.0084	1	
KRT8	GTF2E2	0.4587	0.534059156	
KRT8	GTF2F1	0	1	
KRT8	GTF2F2	0	1	
KRT8	GTF2H1	0	1	
KRT8	GTF2H2;GTF2H2C	0.704	0.160118577	
KRT8	GTF2I	0.0101	1	
KRT8	GTF2IRD1	0	1	
KRT8	GTF3C1	0.7615	0.137717487	
KRT8	GTF3C2	0.4598	0.532275292	
KRT8	GTF3C3	0.7548	0.142644222	
KRT8	GTF3C4	0.0644	1	
KRT8	GTF3C5	0.6792	0.160118577	
KRT8	GTF3C6	0.046	1	
KRT8	GTPBP1	0.5848	0.23896128	
KRT8	GTPBP10	0.9331	0.003937008	
KRT8	GTPBP2	0.5584	0.299911877	
KRT8	GTPBP4	0.7758	0.136908893	likely background
KRT8	GTPBP6	0.9738	0	
KRT8	GTSE1	0.7886	0.134254521	
KRT8	GULP1	0.6874	0.160118577	
KRT8	GYS1	0.5386	0.350064452	
KRT8	H1-10	0	1	likely background
KRT8	H1-2;H1-3;H1-4	0.6056	0.21818978	likely background
KRT8	H1-5	0.462	0.528250526	likely background
KRT8	H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ	0.4665	0.518544519	likely background
KRT8	H2AZ1;H2AZ2	0	1	
KRT8	H2BC1	0.7213	0.158189916	likely background
KRT8	H2BC11;H2BC17;H2BC21;H2BC26;H2BC3	0.0021	1	likely background
KRT8	H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9	0.368	0.617583114	likely background
KRT8	H3-7	0.723	0.158189916	likely background
KRT8	H4C1	0.4869	0.466878419	likely background
KRT8	HACD3	0.799	0.119349387	likely background
KRT8	HACL1	0.6134	0.211630782	
KRT8	HADHA	0.5551	0.314694159	likely background
KRT8	HADHB	0.5432	0.348058338	
KRT8	HAL	0	1	
KRT8	HARS1	0.7554	0.142511428	likely background
KRT8	HAT1	0.7118	0.159359327	likely background
KRT8	HAUS1	0.8571	0.028169014	
KRT8	HAUS2	0.8185	0.079762519	
KRT8	HAUS3	0.7669	0.136908893	
KRT8	HAUS4	0.9778	0	
KRT8	HAUS5	0.8357	0.056578507	
KRT8	HAUS6	0.8011	0.115840281	likely background
KRT8	HAUS7	0.6963	0.160118577	
KRT8	HAUS8	0.7828	0.136908893	likely background
KRT8	HBA1	0.5459	0.340942023	
KRT8	HBB	0.5147	0.380093476	
KRT8	HBS1L	0.7204	0.158189916	
KRT8	HCCS	0.5181	0.376909727	likely background
KRT8	HCFC1	0.4655	0.523331268	
KRT8	HCFC2	0	1	
KRT8	HDAC1	0.5329	0.352062388	
KRT8	HDAC2	0.6787	0.160130719	likely background
KRT8	HDAC4	0.5581	0.302296492	
KRT8	HDAC5	0.7106	0.160118577	
KRT8	HDAC6	0.7493	0.145427168	
KRT8	HDAC7	0.685	0.160118577	
KRT8	HDGF	0.3655	0.621433474	likely background
KRT8	HDGFL2	0.0108	1	
KRT8	HDHD2	0.5054	0.391717776	
KRT8	HDLBP	0.7649	0.136908893	likely background
KRT8	HDX	0.4753	0.490791504	
KRT8	HEATR1	0.7711	0.136908893	
KRT8	HEATR5A	0.6962	0.160118577	
KRT8	HEATR5B	0.6848	0.160118577	
KRT8	HEBP1	0.6807	0.160118577	
KRT8	HECTD1	0.94	0.002702703	
KRT8	HELLS	0.6918	0.160118577	
KRT8	HELZ	0.7354	0.15514264	
KRT8	HELZ2	0.6834	0.160118577	
KRT8	HENMT1	0.6773	0.160513141	
KRT8	HERC1	0.7957	0.128478497	
KRT8	HERC2	0.8357	0.056578507	
KRT8	HERC4	0.6768	0.160876871	
KRT8	HERC5	0.704	0.160118577	
KRT8	HEXIM1	0.0099	1	
KRT8	HGS	0.6064	0.217464339	
KRT8	HIBCH	0.571	0.260885188	
KRT8	HIP1R	0.7649	0.136908893	
KRT8	HIRA	0.4761	0.488674985	
KRT8	HIRIP3	0	1	
KRT8	HIVEP1	0.0429	1	
KRT8	HIVEP2	0.795	0.128478497	
KRT8	HJURP	0.2334	1	
KRT8	HK1	0.4888	0.461628865	
KRT8	HK2	0.6098	0.214762643	
KRT8	HLA-B	0.5911	0.22884256	likely background
KRT8	HLCS	0.7667	0.136908893	likely background
KRT8	HLTF	0.0484	1	
KRT8	HM13	0.7368	0.154666667	likely background
KRT8	HMBOX1	0.7484	0.145427168	
KRT8	HMCES	0.0103	1	
KRT8	HMGB1	0	1	
KRT8	HMGCL	0.5379	0.350064452	
KRT8	HMGCS1	0.7846	0.136908893	
KRT8	HMGXB4	0	1	
KRT8	HMMR	0.7948	0.128478497	
KRT8	HMOX2	0	1	
KRT8	HNRNPA0	0.5349	0.350064452	
KRT8	HNRNPA1	0.6604	0.170424694	
KRT8	HNRNPA2B1	0.5846	0.239523876	
KRT8	HNRNPA3	0.0196	1	likely background
KRT8	HNRNPAB	0.7307	0.156659856	likely background
KRT8	HNRNPC	0.8492	0.035189482	likely background
KRT8	HNRNPD	0.5961	0.224575197	
KRT8	HNRNPDL	0.504	0.39492661	likely background
KRT8	HNRNPF	0.4916	0.453637904	
KRT8	HNRNPH1	0.7154	0.158189916	likely background
KRT8	HNRNPH2	0.5722	0.257738538	likely background
KRT8	HNRNPH3	0.5416	0.350064452	
KRT8	HNRNPK	0.8272	0.069476744	likely background
KRT8	HNRNPL	0.5337	0.351030724	likely background
KRT8	HNRNPLL	0.5698	0.264584734	likely background
KRT8	HNRNPM	0.6716	0.163317916	likely background
KRT8	HNRNPR	0.4916	0.453495745	likely background
KRT8	HNRNPU	0.8047	0.110282117	likely background
KRT8	HNRNPUL1	0.0067	1	
KRT8	HNRNPUL2	0.5966	0.224234551	
KRT8	HOOK1	0.6854	0.160118577	
KRT8	HOOK2	0.6751	0.162564063	
KRT8	HOOK3	0.947	0.001915709	
KRT8	HP	0	1	
KRT8	HP1BP3	0.5389	0.350064452	
KRT8	HPCAL1	0.6178	0.208526717	likely background
KRT8	HPF1	0.5373	0.350064452	
KRT8	HPRT1	0.5878	0.234511178	likely background
KRT8	HPS3	0.7209	0.158189916	
KRT8	HPS5	0.6987	0.160118577	
KRT8	HPS6	0.7636	0.136908893	
KRT8	HRNR	0.5146	0.380093476	
KRT8	HSBP1	0.7154	0.158189916	
KRT8	HSD17B10	0.7267	0.158189916	likely background
KRT8	HSD17B11	0.5486	0.333400377	
KRT8	HSD17B12	0.6788	0.160130719	
KRT8	HSD17B4	0.7083	0.160118577	
KRT8	HSD17B7	0.6481	0.181726908	
KRT8	HSD17B8	0.5019	0.401488065	
KRT8	HSDL2	0.7701	0.136908893	likely background
KRT8	HSF1	0.0064	1	
KRT8	HSP90AA1	0.8129	0.09039269	likely background
KRT8	HSP90AB1	0.7875	0.135062311	likely background
KRT8	HSP90AB2P	0.6451	0.184579039	
KRT8	HSP90B1	0.7512	0.144508671	likely background
KRT8	HSPA1A;HSPA1B	0.8578	0.027580443	likely background
KRT8	HSPA4	0.6058	0.218021821	
KRT8	HSPA4L	0.7975	0.124096634	
KRT8	HSPA5	0.8558	0.028723841	likely background
KRT8	HSPA8	0.9778	0	likely background
KRT8	HSPA9	0.7543	0.142644222	likely background
KRT8	HSPB1	0.7521	0.14416787	likely background
KRT8	HSPB8	0.8195	0.078940535	
KRT8	HSPBP1	0.5802	0.246698909	
KRT8	HSPD1	0.7611	0.13799511	likely background
KRT8	HSPE1	0.9034	0.012117347	
KRT8	HSPH1	0.9742	0	likely background
KRT8	HTATSF1	0.0002	1	
KRT8	HTT	0.767	0.136908893	
KRT8	HUWE1	0.8276	0.069476744	
KRT8	HYCC1	0.6204	0.207117287	
KRT8	IAH1	0.3731	0.609795739	
KRT8	IARS1	0.796	0.128478497	likely background
KRT8	IARS2	0.9399	0.002702703	
KRT8	IBTK	0.881	0.016452442	
KRT8	ICE1	0.6013	0.22069348	
KRT8	ICE2	0.5961	0.224575197	
KRT8	ICMT	0.9776	0	
KRT8	IDE	0.685	0.160118577	
KRT8	IDH1	0.6717	0.163317916	
KRT8	IDH2	0.048	1	
KRT8	IDH3A	0.6848	0.160118577	
KRT8	IDI1	0.5257	0.365557441	
KRT8	IFFO2	0.9434	0.001915709	
KRT8	IFI16	0.8445	0.040620384	likely background
KRT8	IFI44	0.6335	0.194716053	likely background
KRT8	IFI44L	0.7689	0.136908893	
KRT8	IFIT5	0.6462	0.183397418	likely background
KRT8	IFRD1	0.4747	0.491741164	
KRT8	IFRD2	0.7391	0.152929423	
KRT8	IFT122	0.8201	0.078030898	
KRT8	IFT140	0.7209	0.158189916	
KRT8	IFT172	0.9656	0	
KRT8	IFT20	0.5934	0.22590607	
KRT8	IFT56	0.7276	0.157894737	
KRT8	IFT57	0.7669	0.136908893	
KRT8	IFT74	0.5585	0.299369048	
KRT8	IFT81	0.9293	0.003937008	
KRT8	IGBP1	0.8517	0.031809145	likely background
KRT8	IGF2BP1	0.5368	0.350064452	
KRT8	IGF2BP3	0.7411	0.151279442	
KRT8	IGF2R	0.5185	0.375977773	
KRT8	IGHA1	0	1	
KRT8	IGHA2	0	1	
KRT8	IGHG1	0	1	
KRT8	IGHM	0	1	
KRT8	IGHMBP2	0.7758	0.136908893	
KRT8	IGKC	0	1	
KRT8	IGKV3D-20	0	1	
KRT8	IGLC2;IGLC3;IGLC6;IGLC7	0	1	
KRT8	IK	0.0001	1	
KRT8	IKBKB	0.7226	0.158189916	
KRT8	IKBKG	0.7054	0.160118577	
KRT8	IL18	0.5476	0.336347164	likely background
KRT8	IL6ST	0	1	
KRT8	ILF2	0.6116	0.213337889	
KRT8	ILF3	0.0004	1	
KRT8	ILK	0.5874	0.2350495	likely background
KRT8	ILKAP	0.0069	1	
KRT8	ILRUN	0.6011	0.220894656	likely background
KRT8	ILVBL	0.7153	0.158189916	
KRT8	IMMT	0.5398	0.350064452	
KRT8	IMP3	0.0098	1	
KRT8	IMPA2	0	1	
KRT8	IMPDH2	0.9069	0.010589014	likely background
KRT8	INA	0.9	0.012217471	
KRT8	INCENP	0.6737	0.163317916	
KRT8	INF2	0.5494	0.332001547	
KRT8	ING3	0	1	
KRT8	INO80	0.043	1	
KRT8	INPP5B	0.721	0.158189916	
KRT8	INPP5F	0.5294	0.35683874	
KRT8	INPP5K	0.7573	0.141918163	
KRT8	INPPL1	0.9492	0.001915709	likely background
KRT8	INTS1	0.5116	0.380093476	
KRT8	INTS10	0.0002	1	
KRT8	INTS11	0.4983	0.422131249	
KRT8	INTS12	0	1	
KRT8	INTS13	0.5941	0.225869684	
KRT8	INTS14	0.0004	1	
KRT8	INTS3	0.6837	0.160118577	
KRT8	INTS4	0.5358	0.350064452	
KRT8	INTS5	0.7636	0.136908893	
KRT8	INTS6	0.0166	1	
KRT8	INTS7	0.6911	0.160118577	
KRT8	INTS8	0.7097	0.160118577	
KRT8	INTS9	0.3665	0.6202018	
KRT8	INVS	0.6862	0.160118577	
KRT8	IP6K1	0.6848	0.160118577	
KRT8	IPMK	0	1	
KRT8	IPO11	0.7481	0.145960035	
KRT8	IPO13	0.7636	0.136908893	
KRT8	IPO4	0.8209	0.077963405	
KRT8	IPO5	0.7293	0.157285844	likely background
KRT8	IPO7	0.8935	0.012694749	
KRT8	IPO8	0.9184	0.006451613	
KRT8	IPO9	0.8205	0.078030898	likely background
KRT8	IQCE	0.6078	0.216275578	
KRT8	IQGAP1	0.7362	0.154998959	
KRT8	IQGAP2	0.5589	0.296676096	
KRT8	IQGAP3	0.7061	0.160118577	
KRT8	IRAK1	0.7628	0.136908893	
KRT8	IRAK4	0.6962	0.160118577	
KRT8	IREB2	0.6046	0.218837392	likely background
KRT8	IRF2BP1	0.0728	1	
KRT8	IRF2BP2	0	1	
KRT8	IRF2BPL	0.0033	1	
KRT8	IRS1	0.7154	0.158189916	
KRT8	IRS2	0.6884	0.160118577	
KRT8	ISCA2	0	1	
KRT8	ISG15	0.5867	0.236915119	likely background
KRT8	ISOC1	0.0512	1	
KRT8	IST1	0.6269	0.200018808	
KRT8	ISY1	0.7	0.160118577	
KRT8	ITCH	0.7943	0.128478497	
KRT8	ITGA11	0.5399	0.350064452	
KRT8	ITGB1	0.0704	1	
KRT8	ITGB4	0.8271	0.069545059	
KRT8	ITGB5	0	1	
KRT8	ITPK1	0.6848	0.160118577	
KRT8	ITPKC	0.5449	0.343285968	
KRT8	ITPR1	0.753	0.143153527	
KRT8	ITPR2	0.7362	0.154998959	
KRT8	ITPR3	0.8012	0.115840281	
KRT8	ITPRID2	0.9501	0.001915709	
KRT8	ITPRIP	0	1	
KRT8	ITPRIPL2	0	1	
KRT8	ITSN1	0.5311	0.353613921	
KRT8	ITSN2	0.7645	0.136908893	
KRT8	IVNS1ABP	0.737	0.15440298	likely background
KRT8	IWS1	0.0059	1	
KRT8	JADE1	0.0658	1	
KRT8	JADE2	0.7628	0.136908893	
KRT8	JADE3	0.0101	1	
KRT8	JAK1	0.695	0.160118577	
KRT8	JCHAIN	0	1	
KRT8	JDP2	0	1	
KRT8	JMJD1C	0.043	1	
KRT8	JMY	0.7079	0.160118577	
KRT8	JPH2	0.7307	0.156659856	
KRT8	JPT1	0.7709	0.136908893	likely background
KRT8	JPT2	0.7918	0.129916355	likely background
KRT8	JUN	0	1	
KRT8	JUNB	0.0001	1	
KRT8	JUND	0	1	
KRT8	JUP	0.7601	0.139097744	
KRT8	KANK1	0.7896	0.132444598	likely background
KRT8	KANK2	0.8019	0.114724883	
KRT8	KANSL1	0.0001	1	
KRT8	KANSL3	0.0098	1	
KRT8	KARS1	0.643	0.186600109	
KRT8	KAT14	0.0099	1	
KRT8	KAT5	0.6854	0.160118577	
KRT8	KAT7	0.5155	0.380093476	
KRT8	KATNA1	0.7929	0.128478497	
KRT8	KATNAL1	0.6844	0.160118577	
KRT8	KATNB1	0.574	0.253831109	
KRT8	KATNIP	0.7867	0.13554565	
KRT8	KBTBD2	0.6102	0.214457219	
KRT8	KBTBD4	0.5251	0.365557441	
KRT8	KBTBD6	0.0164	1	
KRT8	KBTBD7	0.0096	1	
KRT8	KCNN4	0	1	
KRT8	KCTD12	0.7682	0.136908893	
KRT8	KCTD20	0.5373	0.350064452	
KRT8	KCTD3	0.772	0.136908893	
KRT8	KCTD9	0.721	0.158189916	
KRT8	KDELR1	0.6679	0.164876156	
KRT8	KDELR2	0.7105	0.160118577	
KRT8	KDELR3	0.602	0.219685708	
KRT8	KDM1A	0.9494	0.001915709	
KRT8	KDM2A	0.5052	0.391717776	
KRT8	KDM2B	0	1	
KRT8	KDM3A	0.0002	1	
KRT8	KDM3B	0.7468	0.146326373	
KRT8	KDM4C	0	1	
KRT8	KDM5A	0.5322	0.352478351	
KRT8	KDM5B	0.7275	0.157894737	
KRT8	KDM5C	0.6862	0.160118577	
KRT8	KDM6A	0	1	
KRT8	KDSR	0.6844	0.160118577	
KRT8	KEAP1	0.7951	0.128478497	
KRT8	KHDC4	0.0048	1	
KRT8	KHDRBS1	0.5533	0.321207636	likely background
KRT8	KHSRP	0.3833	0.601195825	
KRT8	KIAA0232	0.59	0.231405158	
KRT8	KIAA0586	0.7961	0.128478497	
KRT8	KIAA0753	0.9549	0.001113586	
KRT8	KIAA0930	0.5326	0.352351087	
KRT8	KIAA1143	0	1	
KRT8	KIAA1191	0.6326	0.195110925	
KRT8	KIAA1217	0.8056	0.108069844	likely background
KRT8	KIAA1549	0.6807	0.160118577	
KRT8	KIAA1671	0.7874	0.135062311	likely background
KRT8	KIDINS220	0.7758	0.136908893	
KRT8	KIF11	0.9611	0	
KRT8	KIF13A	0.7939	0.128478497	
KRT8	KIF13B	0.5059	0.391717776	
KRT8	KIF14	0.9436	0.001915709	likely background
KRT8	KIF15	0.7221	0.158189916	likely background
KRT8	KIF16B	0.7065	0.160118577	
KRT8	KIF18A	0.4564	0.536310653	
KRT8	KIF18B	0	1	
KRT8	KIF1B	0.8024	0.114266396	likely background
KRT8	KIF1C	0.7691	0.136908893	
KRT8	KIF20A	0.8036	0.112080845	
KRT8	KIF20B	0.6716	0.163317916	
KRT8	KIF21A	0.7484	0.145427168	
KRT8	KIF22	0.4551	0.538161148	
KRT8	KIF23	0.6877	0.160118577	likely background
KRT8	KIF24	0.8278	0.069374444	
KRT8	KIF2A	0.6698	0.164653936	likely background
KRT8	KIF2C	0.8282	0.068120705	
KRT8	KIF3A	0.6846	0.160118577	
KRT8	KIF4A	0.0098	1	
KRT8	KIF5B	0.9173	0.007012623	
KRT8	KIF7	0.7948	0.128478497	
KRT8	KIFBP	0.7965	0.127871519	
KRT8	KIFC1	0.0658	1	
KRT8	KIFC3	0.9492	0.001915709	
KRT8	KIN	0	1	
KRT8	KIRREL1	0.5597	0.294016281	likely background
KRT8	KIZ	0.7714	0.136908893	
KRT8	KLC1	0.7576	0.141634096	likely background
KRT8	KLC2	0.6306	0.196750096	
KRT8	KLC4	0.4586	0.534351234	
KRT8	KLF10	0.0002	1	
KRT8	KLF4	0	1	
KRT8	KLF5	0.502	0.401488065	
KRT8	KLHL13	0.739	0.152929423	
KRT8	KLHL26	0.8202	0.078030898	
KRT8	KLHL5	0.6848	0.160118577	likely background
KRT8	KLHL9	0.5342	0.350296027	
KRT8	KMT2A	0.0001	1	
KRT8	KMT2B	0.0169	1	
KRT8	KMT2C	0.0002	1	
KRT8	KMT2D	0.433	0.555918014	
KRT8	KMT2E	0	1	
KRT8	KNL1	0.728	0.157894737	likely background
KRT8	KNOP1	0.0429	1	
KRT8	KNSTRN	0.7961	0.128478497	
KRT8	KNTC1	0.821	0.077801381	
KRT8	KPNA1	0.5644	0.278839074	
KRT8	KPNA2	0.6685	0.164876156	likely background
KRT8	KPNA3	0.7353	0.15514264	
KRT8	KPNA4	0	1	
KRT8	KPNA6	0.7269	0.158189916	
KRT8	KPNB1	0.7808	0.136908893	likely background
KRT8	KRI1	0.0133	1	
KRT8	KRIT1	0.5539	0.318660196	
KRT8	KRT1	0.8918	0.012694749	
KRT8	KRT10	0.766	0.136908893	
KRT8	KRT13	0.9749	0	
KRT8	KRT14	0.5935	0.225895725	
KRT8	KRT16	0.9183	0.006451613	
KRT8	KRT17	1	0	
KRT8	KRT18	1	0	
KRT8	KRT19	0.997	0	
KRT8	KRT2	0.9127	0.008086253	
KRT8	KRT23	0	1	
KRT8	KRT3	0.7809	0.136908893	
KRT8	KRT31	0	1	
KRT8	KRT33B	0	1	
KRT8	KRT35	0	1	
KRT8	KRT36	0	1	
KRT8	KRT4	0	1	
KRT8	KRT5	0.7484	0.145427168	
KRT8	KRT6A	0.521	0.371078961	
KRT8	KRT6B	0.5164	0.380093476	
KRT8	KRT7	1	0	
KRT8	KRT72	0.9698	0	
KRT8	KRT77	0.732	0.156629742	
KRT8	KRT78	0.6531	0.177370467	
KRT8	KRT80	0.8896	0.013605442	
KRT8	KRT83	0	1	
KRT8	KRT85	0.9092	0.008742434	
KRT8	KRT9	0.7697	0.136908893	likely background
KRT8	KSR1	0.6015	0.220515126	
KRT8	KTN1	0.6844	0.160118577	
KRT8	KYAT3	0.5855	0.238037468	
KRT8	KYNU	0.6807	0.160118577	
KRT8	L1CAM	0.6717	0.163317916	
KRT8	L3MBTL2	0.0462	1	
KRT8	L3MBTL3	0.0486	1	
KRT8	LACTB	0.5374	0.350064452	
KRT8	LAMC1	0.6786	0.160130719	
KRT8	LAMP1	0	1	
KRT8	LAMTOR1	0.0427	1	
KRT8	LANCL1	0.5048	0.392113544	likely background
KRT8	LANCL2	0.4442	0.548671549	likely background
KRT8	LANCL3	0	1	
KRT8	LARP1	0.7557	0.142511428	likely background
KRT8	LARP1B	0.5393	0.350064452	
KRT8	LARP4	0.694	0.160118577	
KRT8	LARP4B	0.6395	0.189469112	
KRT8	LARP6	0.5378	0.350064452	
KRT8	LARP7	0	1	
KRT8	LARS1	0.7219	0.158189916	likely background
KRT8	LARS2	0.5535	0.319975679	
KRT8	LAS1L	0.7019	0.160118577	
KRT8	LASP1	0.7747	0.136908893	likely background
KRT8	LATS1	0.7746	0.136908893	
KRT8	LATS2	0.821	0.077801381	
KRT8	LBR	0.769	0.136908893	
KRT8	LCA5	0.6865	0.160118577	
KRT8	LCLAT1	0.685	0.160118577	
KRT8	LCMT2	0	1	
KRT8	LCN1	0.5247	0.366271876	
KRT8	LCN15	0	1	
KRT8	LCN2	0	1	
KRT8	LCP1	0	1	
KRT8	LDAH	0.6133	0.211630782	likely background
KRT8	LDB1	0	1	
KRT8	LDHA	0.8034	0.112659963	likely background
KRT8	LDHAL6B	0.5333	0.351670466	likely background
KRT8	LDHB	0.6975	0.160118577	
KRT8	LDLRAP1	0.0512	1	
KRT8	LEMD3	0.5336	0.351265274	
KRT8	LENG1	0	1	
KRT8	LENG8	0.3907	0.594431534	
KRT8	LEO1	0	1	
KRT8	LETM1	0.6536	0.176838419	
KRT8	LGALS1	0.5135	0.380093476	likely background
KRT8	LGALS3BP	0.6802	0.160118577	
KRT8	LGALS7	0	1	
KRT8	LGALS8	0.5513	0.327474543	
KRT8	LGR4	0.5344	0.350097757	
KRT8	LIG1	0.4523	0.540495658	
KRT8	LIG3	0.0103	1	
KRT8	LIG4	0.0429	1	
KRT8	LIMA1	0.7537	0.142644222	
KRT8	LIMCH1	0.828	0.068872987	
KRT8	LIMD1	0.7515	0.144366197	
KRT8	LIN54	0.017	1	
KRT8	LIN9	0.4863	0.4682868	
KRT8	LLGL1	0.5111	0.380093476	
KRT8	LMAN1	0.5507	0.329574634	
KRT8	LMNA	0.8445	0.040620384	
KRT8	LMNB1	0.5626	0.283345481	
KRT8	LMNB2	0	1	
KRT8	LMO7	0.8302	0.064634146	
KRT8	LMTK2	0.5366	0.350064452	
KRT8	LNPEP	0.5285	0.359268425	
KRT8	LONP1	0.7457	0.147402152	
KRT8	LPCAT1	0.7845	0.136908893	
KRT8	LPCAT2	0.544	0.345368473	likely background
KRT8	LPCAT3	0.4969	0.426760476	
KRT8	LPIN1	0.0622	1	
KRT8	LPIN2	0.6804	0.160118577	
KRT8	LPIN3	0.5359	0.350064452	
KRT8	LPP	0.79	0.131647777	
KRT8	LRBA	0.7923	0.129916355	
KRT8	LRCH1	0.7144	0.158189916	
KRT8	LRCH3	0.7251	0.158189916	
KRT8	LRCH4	0.6084	0.215953525	
KRT8	LRIF1	0.0001	1	
KRT8	LRIG3	0.5795	0.247495462	
KRT8	LRP1	0.7913	0.130081301	
KRT8	LRP5	0.0651	1	
KRT8	LRP6	0	1	
KRT8	LRPPRC	0.7645	0.136908893	
KRT8	LRR1	0.0429	1	
KRT8	LRRC40	0.7537	0.142644222	
KRT8	LRRC41	0.065	1	
KRT8	LRRC42	0.0002	1	
KRT8	LRRC47	0.528	0.360300426	
KRT8	LRRC49	0.7625	0.136908893	
KRT8	LRRC57	0.5128	0.380093476	likely background
KRT8	LRRC59	0.5018	0.401488065	
KRT8	LRRFIP1	0.6253	0.202222706	
KRT8	LRRFIP2	0.5299	0.356095479	
KRT8	LRSAM1	0.7016	0.160118577	
KRT8	LRWD1	0.4865	0.467717219	
KRT8	LSG1	0.7323	0.156629742	
KRT8	LSM12	0.6888	0.160118577	likely background
KRT8	LSM14A	0.6844	0.160118577	
KRT8	LSM14B	0.6869	0.160118577	
KRT8	LSS	0.5519	0.325626422	
KRT8	LTA4H	0.3827	0.601195825	
KRT8	LTF	0	1	
KRT8	LTN1	0.7713	0.136908893	
KRT8	LTV1	0.7307	0.156659856	
KRT8	LUC7L2	0.5429	0.349128932	
KRT8	LUC7L3	0.4973	0.425472713	likely background
KRT8	LUZP1	0.849	0.035276074	likely background
KRT8	LYPLA1	0.5585	0.299911877	likely background
KRT8	LYPLA2	0.7657	0.136908893	likely background
KRT8	LYPLAL1	0.547	0.338040107	
KRT8	LYRM7	0.8837	0.015715034	
KRT8	LYSMD2	0.5972	0.223982595	likely background
KRT8	LYST	0.0688	1	
KRT8	LZIC	0.5635	0.280989212	
KRT8	LZTFL1	0.5932	0.226080095	
KRT8	LZTS2	0.947	0.001915709	
KRT8	MACF1	0.8285	0.067085954	
KRT8	MACO1	0.5462	0.339815744	
KRT8	MACROH2A1	0.4727	0.497398506	likely background
KRT8	MAD1L1	0.5133	0.380093476	
KRT8	MADD	0.789	0.133424798	likely background
KRT8	MAFG	0	1	
KRT8	MAGEA1	0.7707	0.136908893	
KRT8	MAGED2	0.7742	0.136908893	likely background
KRT8	MAGOH	0.6902	0.160118577	
KRT8	MAIP1	0.8357	0.056578507	
KRT8	MALT1	0.7495	0.145427168	
KRT8	MAML1	0.9637	0	
KRT8	MAML2	0	1	
KRT8	MAMLD1	0.5604	0.290360463	
KRT8	MAN1B1	0.5353	0.350064452	
KRT8	MAP1A	0.5272	0.362075435	
KRT8	MAP1B	0.9464	0.001915709	likely background
KRT8	MAP1S	0.5347	0.350064452	
KRT8	MAP2	0.5938	0.225895725	
KRT8	MAP2K2	0.5895	0.232103392	
KRT8	MAP2K3	0.7644	0.136908893	
KRT8	MAP2K6	0	1	
KRT8	MAP3K1	0.5173	0.379113242	likely background
KRT8	MAP3K11	0.6081	0.216104171	
KRT8	MAP3K20	0.7939	0.128478497	
KRT8	MAP3K4	0.618	0.208278737	
KRT8	MAP3K5	0.6135	0.211498559	
KRT8	MAP3K6	0.7628	0.136908893	
KRT8	MAP3K7	0.6204	0.207117287	
KRT8	MAP4	0.9876	0	likely background
KRT8	MAP4K4	0.6794	0.160118577	
KRT8	MAP7	0.5524	0.323856986	
KRT8	MAP7D1	0.6839	0.160118577	
KRT8	MAP7D2	0.714	0.158316961	
KRT8	MAP7D3	0.7766	0.136908893	likely background
KRT8	MAPK1	0.5419	0.350064452	
KRT8	MAPK14	0	1	
KRT8	MAPK6	0.6862	0.160118577	
KRT8	MAPK7	0.5053	0.391717776	
KRT8	MAPKAP1	0.6033	0.219123399	
KRT8	MAPKBP1	0.7457	0.147402152	
KRT8	MAPRE1	0.7329	0.156309234	
KRT8	MAPRE2	0.6802	0.160118577	
KRT8	MAPRE3	0.5613	0.286954087	
KRT8	MARCHF7	0	1	
KRT8	MARCKS	0.5194	0.374402906	
KRT8	MARF1	0.769	0.136908893	
KRT8	MARK2	0.6844	0.160118577	
KRT8	MARS1	0.7138	0.158316961	
KRT8	MAST2	0.753	0.143017823	
KRT8	MAST3	0.685	0.160118577	
KRT8	MAST4	0.7484	0.145427168	
KRT8	MASTL	0.003	1	
KRT8	MAT2A	0.7052	0.160118577	likely background
KRT8	MAT2B	0.7636	0.136908893	
KRT8	MATR3	0.5249	0.366010375	
KRT8	MAU2	0.5138	0.380093476	
KRT8	MAVS	0.531	0.353869075	
KRT8	MAX	0	1	
KRT8	MB21D2	0.6315	0.196113018	
KRT8	MBD2	0	1	
KRT8	MBD3	0.0002	1	
KRT8	MBD4	0	1	
